6 
0.0  0.4
 23
210   230  219.3  1.633       0.8          +12.1 -11.4
230   250  239.4  0.7570      1.0          +12.7 -12.0
250   270  259.4  0.3551      1.4          +13.4 -12.7
270   300  283.6  0.1430      1.8          +14.5 -13.7
300   335  315.6  0.04104     3.0          +16.2 -15.3
335   375  352.5  0.01030     5.2          +18.8 -17.7
375   415  392.4  0.002388    9.9          +22.8 -21.2
415   520  449.5  0.0001565   19.6         +29.8 -27.1
1.2  1.6
17
 50    60   54.5  15113       0.9          +13.6 -13.0
 60    70   64.6  5225        1.5          +13.0 -12.3
 70    80   74.6  2179        2.3          +12.6 -12.1
 80    90   84.6  956.5       0.9          +11.9 -11.3
 90   100   94.7  460.1       0.4          +11.7 -11.1
100   110  104.7  233.1       0.5          +11.8 -11.2
110   125  116.9  109.9       0.6          +11.9 -11.3
125   140  131.9  45.48       1.0          +12.3 -11.6
140   155  147.0  19.83       0.7          +12.4 -11.8
155   170  162.0  9.136       1.1          +12.8 -12.1
170   190  179.2  3.734       1.4          +13.3 -12.6
190   215  201.2  1.230       0.8          +15.0 -14.4
215   240  226.2  0.3532      1.4          +16.3 -15.6
240   265  251.2  0.1083      2.1          +18.2 -17.4
265   290  276.2  0.02910     3.7          +20.7 -19.7
290   325  304.8  0.007082    5.6          +24.3 -22.9
325   415  352.3  0.0003741   11.5         +31.9 -29.5
1.6  2.0
15
 50    60   54.5  11591       1.0          +13.5 -12.9
 60    70   64.5  4020        1.8          +13.0 -12.3
 70    80   74.6  1555        0.7          +12.7 -12.1
 80    90   84.6  664.2       1.1          +12.8 -12.2
 90   100   94.7  293.3       0.5          +13.0 -12.4
100   110  104.7  135.0       0.7          +13.3 -12.7
110   125  116.8  56.40       0.4          +13.7 -13.1
125   140  131.8  20.13       0.7          +14.5 -13.9
140   160  148.9  6.279       1.1          +15.6 -14.9
160   175  166.9  1.910       0.9          +17.1 -16.3
175   190  181.9  0.6805      1.4          +18.7 -17.8
190   210  198.9  0.2176      1.8          +21.0 -20.0
210   235  220.7  0.04463     3.3          +25.1 -23.7
235   260  245.5  0.006544    7.6          +32.0 -29.7
260   320  278.4  0.0003747   16.4         +44.6 -39.6
2.0  2.4
13
 50    60   54.5  7154        1.3          +15.1 -14.3
 60    70   64.5  2263        2.3          +14.9 -14.2
 70    80   74.5  734.7       1.0          +15.2 -14.5
 80    90   84.6  268.5       1.7          +15.7 -15.0
 90   100   94.6  98.47       0.8          +16.4 -15.7
100   110  104.6  38.31       1.3          +17.4 -16.5
110   120  114.6  14.53       2.1          +18.5 -17.6
120   130  124.6  5.643       1.6          +19.8 -18.8
130   145  136.6  1.787       2.2          +21.6 -20.5
145   160  151.6  0.3752      4.6          +24.7 -23.3
160   175  166.5  0.07923     3.5          +28.9 -27.0
175   200  184.7  0.01048     6.5          +35.7 -32.9
200   230  210.0  0.0003314   18.9         +51.6 -46.2

