coalition_labels,size,chi2,is_outlier
sbar|ubar|dbar|d,4,0.03978453,0
cbar|sbar|ubar|g|s|c,6,0.03968383,0
ubar|dbar|g|u|s|c,6,0.03949280,0
cbar|sbar|ubar|dbar|g|s,6,0.03945859,0
cbar|sbar|d|u|s|c,6,0.03935164,0
cbar|sbar|dbar|u|s,5,0.03908744,0
cbar|dbar|g|d|s|c,6,0.03906386,0
cbar|d|s|c,4,0.03896473,0
ubar|dbar|d|u,4,0.03875653,0
cbar|sbar|ubar|dbar|u,5,0.03853467,0
sbar|ubar|g|u|s,5,0.03845168,0
cbar|sbar|ubar|u|s|c,6,0.03833622,0
g|d|s|c,4,0.03824809,0
sbar|dbar|g|d|s,5,0.03820962,0
ubar|dbar|d,3,0.03819067,0
sbar|ubar|dbar|u,4,0.03799409,0
sbar|g|d|s,4,0.03770440,0
dbar|g|d|u|s,5,0.03732806,0
cbar|sbar|d|u|s,5,0.03707877,0
sbar|g|d|s|c,5,0.03690574,0
dbar|g|u|c,4,0.03670389,0
ubar|dbar|d|c,4,0.03666933,0
sbar|ubar|dbar|g|s|c,6,0.03660629,0
cbar|sbar|dbar|d|u,5,0.03652530,0
cbar|sbar|d|s,4,0.03650115,0
cbar|sbar|ubar|g|u|c,6,0.03640483,0
cbar|ubar|s,3,0.03620194,0
sbar|dbar|d|u,4,0.03593499,0
cbar|sbar|g|d|u|c,6,0.03577328,0
cbar|dbar|d|u|s|c,6,0.03561538,0
g|d|u|s|c,5,0.03559271,0
cbar|sbar|dbar|d|s|c,6,0.03533528,0
cbar|sbar|ubar|u|s,5,0.03521397,0
ubar|dbar|g|u|s,5,0.03520246,0
g|d|u|s,4,0.03514310,0
cbar|sbar|d|s|c,5,0.03503160,0
cbar|ubar|dbar|u|s|c,6,0.03498206,0
cbar|ubar|dbar|g|u|c,6,0.03477472,0
ubar|g|s,3,0.03419347,0
cbar|ubar|dbar|g|s|c,6,0.03407795,0
cbar|ubar|dbar|g|s,5,0.03401063,0
cbar|d|u|s,4,0.03385212,0
cbar|sbar|dbar|d|s,5,0.03381492,0
sbar|d|u|s|c,5,0.03377987,0
cbar|dbar|g|d|u|c,6,0.03375454,0
cbar|d|u|s|c,5,0.03363513,0
sbar|ubar|dbar|g|s,5,0.03356911,0
d|s,2,0.03326022,0
cbar|ubar|s|c,4,0.03310323,0
sbar|g|u|c,4,0.03310118,0
cbar|dbar|g|u|c,5,0.03301871,0
sbar|ubar|g|u|c,5,0.03294676,0
cbar|dbar|d|u|s,5,0.03284652,0
sbar|ubar|u|s|c,5,0.03280585,0
ubar|g|u|s|c,5,0.03278604,0
dbar|g|u|s|c,5,0.03254769,0
ubar|dbar|g|u|c,5,0.03234702,0
dbar|u|c,3,0.03234357,0
sbar|g|d|u|c,5,0.03227025,0
cbar|sbar|dbar|g|d|c,6,0.03226464,0
cbar|sbar|g|d|u,5,0.03224510,0
dbar|g|d|s,4,0.03223135,0
cbar|sbar|ubar|dbar|s|c,6,0.03217897,0
cbar|sbar|ubar|g|u,5,0.03202969,0
dbar|g|d|s|c,5,0.03192837,0
ubar|g|s|c,4,0.03175666,0
cbar|dbar|g|u|s|c,6,0.03160774,0
sbar|ubar|g|s|c,5,0.03155902,0
sbar|ubar|g|s,4,0.03151276,0
ubar|g|u|s,4,0.03148271,0
cbar|ubar|u|s|c,5,0.03146426,0
cbar|ubar|dbar|u|s,5,0.03135635,0
dbar|g|d|u|c,5,0.03128136,0
cbar|sbar|g|u|s|c,6,0.03118367,0
sbar|g|u|s|c,5,0.03109472,0
dbar|d|u|s|c,5,0.03107352,0
sbar|d|u|s,4,0.03102244,0
