player,coalition_without,v_without,v_with,delta_v,is_outlier
d,cbar|sbar|dbar|g,0.01925309,0.01417093,-0.00508216,0
s,cbar|sbar|dbar|c,0.02211713,0.01704175,-0.00507537,0
ubar,g,0.00194673,0.00700853,0.00506179,0
cbar,sbar|g|d|s|c,0.01972862,0.02478847,0.00505985,0
u,cbar|d|s,0.03219743,0.02714367,-0.00505377,0
ubar,sbar|dbar|d|u|c,0.02937354,0.03442157,0.00504803,0
u,cbar|ubar|c,0.00804362,0.01308861,0.00504499,0
cbar,sbar|g|d|s,0.02006155,0.02510329,0.00504174,0
dbar,sbar|ubar|d|u,0.02497749,0.03001425,0.00503676,0
cbar,sbar|d|s|c,0.01868238,0.02371223,0.00502984,0
dbar,cbar|sbar|ubar|g|d|u|c,0.03463841,0.03966315,0.00502474,0
cbar,ubar|g|s|c,0.01411103,0.01913550,0.00502447,0
cbar,sbar|d|s,0.01907568,0.02408701,0.00501133,0
dbar,cbar|sbar|g|d|s,0.02510329,0.02009382,-0.00500947,0
cbar,ubar|g|s,0.01469533,0.01969918,0.00500385,0
dbar,cbar|ubar|g|s|c,0.01913550,0.01413579,-0.00499970,0
c,cbar|dbar|g|u,0.02105520,0.02605411,0.00499891,0
cbar,ubar|s|c,0.01216477,0.01715853,0.00499376,0
ubar,sbar|dbar,0.02034071,0.01535686,-0.00498384,0
d,sbar|dbar|u|s,0.03181188,0.02682837,-0.00498351,0
c,dbar|g|u,0.02297477,0.02795114,0.00497637,0
dbar,ubar|s,0.01280875,0.00783458,-0.00497417,0
cbar,ubar|s,0.01280875,0.01778150,0.00497275,0
cbar,ubar|dbar|g|d|c,0.01889117,0.02384459,0.00495342,0
sbar,cbar|ubar|g|d|u|s,0.05240904,0.04746451,-0.00494453,0
sbar,dbar|g|d,0.00802428,0.01296324,0.00493896,0
c,cbar|dbar|u,0.01916453,0.02410198,0.00493744,0
ubar,cbar|dbar|g|u|s,0.01689471,0.02183009,0.00493538,0
cbar,ubar|dbar|g|d,0.01834540,0.02327588,0.00493048,0
cbar,ubar|dbar|d|c,0.01726967,0.02219214,0.00492247,0
c,dbar|u,0.02111251,0.02602702,0.00491451,0
u,cbar|g|d|s,0.03346501,0.02855801,-0.00490700,0
sbar,c,0.00034347,0.00524844,0.00490497,0
cbar,ubar|dbar|d,0.01678410,0.02168323,0.00489914,0
d,sbar|ubar|dbar|g|u|s|c,0.03794325,0.04283364,0.00489040,0
u,g,0.00194673,0.00683370,0.00488697,0
u,g|s|c,0.00386982,0.00875328,0.00488346,0
c,cbar|sbar|dbar|g|d|u,0.02669610,0.03157623,0.00488014,0
ubar,cbar|sbar|g,0.00448767,0.00935787,0.00487020,0
c,sbar|dbar|g|d|u,0.02578556,0.03064504,0.00485948,0
s,sbar|ubar|g,0.00701426,0.01183863,0.00482437,0
s,ubar|g|u|c,0.01251607,0.01733924,0.00482317,0
c,cbar|sbar|dbar|d|u,0.02545770,0.03027617,0.00481847,0
s,dbar|g|d|u,0.01444787,0.01926352,0.00481565,0
ubar,,0.00000000,0.00481507,0.00481507,0
sbar,cbar|ubar|dbar|d|u|s,0.03841518,0.04322259,0.00480741,0
dbar,sbar|ubar|g|d|u,0.02666385,0.03146928,0.00480544,0
c,sbar|dbar|d|u,0.02457613,0.02937354,0.00479741,0
dbar,cbar|sbar|d|s,0.02408701,0.01930898,-0.00477803,0
s,cbar|sbar|dbar|g,0.01925309,0.01448051,-0.00477258,0
s,cbar|dbar|g|u|c,0.02605411,0.02128578,-0.00476833,0
dbar,cbar|ubar|s|c,0.01715853,0.01239054,-0.00476800,0
u,ubar|dbar|g|d|s|c,0.03091338,0.03568046,0.00476709,0
d,cbar|dbar|g|u,0.02105520,0.01628869,-0.00476650,0
u,ubar|dbar|g|d,0.01834540,0.02311154,0.00476614,0
cbar,sbar|g|d|u|s|c,0.02377201,0.02853603,0.00476402,0
u,d|s,0.02625439,0.02149670,-0.00475769,0
cbar,sbar|g|d|u|s,0.02184866,0.02659403,0.00474537,0
dbar,cbar|sbar|ubar|s|c,0.01528050,0.02002330,0.00474280,0
u,,0.00000000,0.00474072,0.00474072,0
ubar,sbar|dbar|g,0.02180580,0.01706668,-0.00473911,0
u,s|c,0.00217056,0.00690655,0.00473599,0
cbar,sbar|d|u|s|c,0.02257848,0.02731280,0.00473431,0
cbar,ubar|g|u|s|c,0.01733924,0.02206838,0.00472914,0
cbar,sbar|d|u|s,0.02071608,0.02543133,0.00471525,0
cbar,ubar|g|u|s,0.01566966,0.02037763,0.00470797,0
cbar,ubar|u|s|c,0.01524614,0.01994486,0.00469872,0
dbar,ubar|g|d|u,0.02780779,0.02311154,-0.00469624,0
sbar,cbar|ubar|d|u|s,0.05074471,0.04605297,-0.00469174,0
ubar,cbar|dbar|u|s,0.01531057,0.01999872,0.00468815,0
dbar,d|u|c,0.01142595,0.01611132,0.00468537,0
d,cbar|sbar|dbar,0.01775999,0.01307867,-0.00468132,0
ubar,g|c,0.00235066,0.00703094,0.00468028,0
cbar,ubar|u|s,0.01363679,0.01831395,0.00467716,0
cbar,ubar|dbar|g|d|u|c,0.02591262,0.03056995,0.00465733,0
sbar,g|c,0.00235066,0.00700495,0.00465428,0
u,sbar|ubar|g|d|c,0.02415496,0.02880405,0.00464909,0
cbar,ubar|dbar|g|d|u,0.02311154,0.02774540,0.00463386,0
cbar,ubar|dbar|d|u|c,0.02414461,0.02877131,0.00462669,0
ubar,cbar|sbar,0.00276376,0.00738703,0.00462328,0
u,ubar|dbar|d,0.01678410,0.02140433,0.00462023,0
u,ubar|dbar|d|s|c,0.02960007,0.03422009,0.00462002,0
c,cbar|ubar|dbar|g|u,0.02042511,0.02504441,0.00461930,0
u,g|d|s,0.02749086,0.02288022,-0.00461063,0
cbar,ubar|dbar|d|u,0.02140433,0.02600715,0.00460282,0
s,cbar|sbar|ubar|u,0.01657994,0.02117675,0.00459681,0
c,ubar|dbar|g|u,0.01955640,0.02415261,0.00459621,0
u,cbar|g,0.00243378,0.00702542,0.00459164,0
u,cbar|g|s|c,0.00610164,0.01068920,0.00458756,0
sbar,g|d,0.01466596,0.01010263,-0.00456333,0
c,cbar|ubar|dbar|u,0.01828797,0.02284630,0.00455833,0
ubar,cbar|dbar|g|u|s|c,0.02128578,0.02584150,0.00455572,0
sbar,cbar|ubar|dbar|g|d|u|s,0.03984671,0.04440199,0.00455528,0
d,cbar|dbar|u|s|c,0.01964050,0.02418330,0.00454281,0
c,ubar|dbar|u,0.01744895,0.02198379,0.00453484,0
dbar,sbar|ubar|s,0.01020368,0.01473210,0.00452842,0
sbar,cbar|ubar|u|s|c,0.01994486,0.02446910,0.00452424,0
s,sbar|ubar|c,0.00669817,0.01122064,0.00452247,0
s,dbar|d|u|c,0.01611132,0.02062899,0.00451768,0
dbar,cbar|sbar|ubar|g|s|c,0.01700583,0.02151759,0.00451176,0
s,sbar|dbar|d,0.01190026,0.01640965,0.00450939,0
u,sbar|ubar|d|c,0.02255385,0.02705695,0.00450310,0
c,cbar|sbar|ubar|dbar|g|d|u,0.03517308,0.03966315,0.00449007,0
dbar,cbar|ubar|g|d|u|c,0.03505523,0.03056995,-0.00448527,0
ubar,cbar|sbar|g|c,0.00658026,0.01106317,0.00448291,0
u,cbar|ubar|dbar|g|d|s|c,0.03759358,0.04206336,0.00446978,0
u,cbar|ubar|dbar|g|d,0.02327588,0.02774540,0.00446952,0
c,sbar|ubar|dbar|g|d|u,0.03146928,0.03593814,0.00446886,0
s,cbar|sbar|dbar,0.01775999,0.01329372,-0.00446626,0
dbar,ubar|d|u,0.02586852,0.02140433,-0.00446418,0
s,cbar|dbar|u|c,0.02410198,0.01964050,-0.00446148,0
dbar,g|d|u|c,0.01317803,0.01763303,0.00445500,0
u,cbar|ubar|d|s|c,0.05503456,0.05058056,-0.00445400,0
u,cbar|ubar|d,0.03702953,0.03258113,-0.00444840,0
u,cbar,0.00045778,0.00490344,0.00444567,0
u,cbar|s|c,0.00437299,0.00881337,0.00444038,0
ubar,c,0.00034347,0.00477750,0.00443403,0
c,cbar|sbar|ubar|dbar|d|u,0.03368774,0.03811667,0.00442893,0
c,cbar|sbar|dbar|g,0.01925309,0.02367180,0.00441871,0
c,sbar|ubar|dbar|d|u,0.03001425,0.03442157,0.00440731,0
c,sbar|dbar|g,0.02180580,0.02620478,0.00439898,0
c,cbar|dbar|g|u|s,0.01689471,0.02128578,0.00439107,0
c,dbar|g|u|s,0.01709497,0.02146489,0.00436992,0
d,cbar|dbar|u,0.01916453,0.01479860,-0.00436594,0
c,cbar|sbar|dbar,0.01775999,0.02211713,0.00435714,0
u,cbar|sbar|ubar|g|d|c,0.03028350,0.03463841,0.00435491,0
c,cbar|sbar|g|u,0.01548063,0.01982973,0.00434910,0
c,sbar|dbar,0.02034071,0.02467771,0.00433700,0
c,cbar|dbar|u|s,0.01531057,0.01964050,0.00432993,0
c,sbar|g|u,0.01621979,0.02054916,0.00432937,0
u,cbar|ubar|dbar|d,0.02168323,0.02600715,0.00432391,0
u,cbar|ubar|dbar|d|s|c,0.03624874,0.04057177,0.00432303,0
dbar,g|d|c,0.01327753,0.00895482,-0.00432271,0
sbar,d,0.01312079,0.00880891,-0.00431189,0
ubar,cbar|dbar|u|s|c,0.01964050,0.02394949,0.00430899,0
c,dbar|u|s,0.01553978,0.01984815,0.00430838,0
u,cbar|ubar|g|d|s|c,0.05661153,0.05230417,-0.00430736,0
u,cbar|ubar|g|d,0.03885497,0.03455205,-0.00430292,0
dbar,sbar|ubar|g|s,0.01183863,0.01613580,0.00429717,0
s,cbar|sbar|ubar|g|u,0.01869586,0.02298782,0.00429196,0
c,cbar|sbar|u,0.01361101,0.01789874,0.00428772,0
sbar,cbar|ubar|g|u|s|c,0.02206838,0.02634073,0.00427234,0
