ID,PTO,FNS,DAMP,IC,ModEv,XIR,XIF,NfFF,MaxNfAs,MaxNfPdf,Q0,alphas,Qref,QED,alphaqed,Qedref,SxRes,SxOrd,HQ,mc,Qmc,kcThr,mb,Qmb,kbThr,mt,Qmt,ktThr,CKM,MZ,MW,GF,SIN2TW,TMC,MP,Comments,global_nx,EScaleVar
11,2,FONLL-C,1,0,TRN,1.0,1.0,5,5,5,1.0,0.1195,91.2,0,0.007496252,1.777,0,LL,MSBAR,0.986,3.0,1.0,4.18,4.18,1.0,162.7,162.7,1.0,"0.97428 0.22530 0.003470 0.22520 0.97345 0.041000 0.00862 0.04030 0.999152",91.1876,80.398,1.1663787e-05,0.23126,1,0.938,"3.0 NNLO MSBAR (+1sig alpha_S)",0,1
12,1,FONLL-B,1,0,TRN,1.0,1.0,5,5,5,1.0,0.118,91.2,0,0.007496252,1.777,0,LL,MSBAR,0.934,3.0,1.0,4.18,4.18,1.0,162.7,162.7,1.0,"0.97428 0.22530 0.003470 0.22520 0.97345 0.041000 0.00862 0.04030 0.999152",91.1876,80.398,1.1663787e-05,0.23126,1,0.938,"3.0 NLO MSBAR (-2sig mb)",0,1
13,2,FONLL-C,1,0,TRN,1.0,1.0,5,5,5,1.0,0.118,91.2,0,0.007496252,1.777,0,LL,MSBAR,0.934,3.0,1.0,4.18,4.18,1.0,162.7,162.7,1.0,"0.97428 0.22530 0.003470 0.22520 0.97345 0.041000 0.00862 0.04030 0.999152",91.1876,80.398,1.1663787e-05,0.23126,1,0.938,"3.0 NNLO MSBAR (-2sig mb)",0,1
14,1,FONLL-B,1,0,TRN,1.0,1.0,5,5,5,1.0,0.118,91.2,0,0.007496252,1.777,0,LL,MSBAR,1.038,3.0,1.0,4.18,4.18,1.0,162.7,162.7,1.0,"0.97428 0.22530 0.003470 0.22520 0.97345 0.041000 0.00862 0.04030 0.999152",91.1876,80.398,1.1663787e-05,0.23126,1,0.938,"3.0 NLO MSBAR (+2sig mb)",0,1
15,2,FONLL-C,1,0,TRN,1.0,1.0,5,5,5,1.0,0.118,91.2,0,0.007496252,1.777,0,LL,MSBAR,1.038,3.0,1.0,4.18,4.18,1.0,162.7,162.7,1.0,"0.97428 0.22530 0.003470 0.22520 0.97345 0.041000 0.00862 0.04030 0.999152",91.1876,80.398,1.1663787e-05,0.23126,1,0.938,"3.0 NNLO MSBAR (+2sig mb)",0,1
16,1,FONLL-B,1,0,TRN,1.0,1.0,5,5,5,1.0,0.118,91.2,0,0.007496252,1.777,0,LL,MSBAR,0.986,3.0,1.0,4.12,4.12,1.0,162.7,162.7,1.0,"0.97428 0.22530 0.003470 0.22520 0.97345 0.041000 0.00862 0.04030 0.999152",91.1876,80.398,1.1663787e-05,0.23126,1,0.938,"3.0 NLO MSBAR (-2sig mc)",0,1
17,2,FONLL-C,1,0,TRN,1.0,1.0,5,5,5,1.0,0.118,91.2,0,0.007496252,1.777,0,LL,MSBAR,0.986,3.0,1.0,4.12,4.12,1.0,162.7,162.7,1.0,"0.97428 0.22530 0.003470 0.22520 0.97345 0.041000 0.00862 0.04030 0.999152",91.1876,80.398,1.1663787e-05,0.23126,1,0.938,"3.0 NNLO MSBAR (-2sig mc)",0,1
18,1,FONLL-B,1,0,TRN,1.0,1.0,5,5,5,1.0,0.118,91.2,0,0.007496252,1.777,0,LL,MSBAR,0.986,3.0,1.0,4.24,4.24,1.0,162.7,162.7,1.0,"0.97428 0.22530 0.003470 0.22520 0.97345 0.041000 0.00862 0.04030 0.999152",91.1876,80.398,1.1663787e-05,0.23126,1,0.938,"3.0 NLO MSBAR (+2sig mc)",0,1
19,2,FONLL-C,1,0,TRN,1.0,1.0,5,5,5,1.0,0.118,91.2,0,0.007496252,1.777,0,LL,MSBAR,0.986,3.0,1.0,4.24,4.24,1.0,162.7,162.7,1.0,"0.97428 0.22530 0.003470 0.22520 0.97345 0.041000 0.00862 0.04030 0.999152",91.1876,80.398,1.1663787e-05,0.23126,1,0.938,"3.0 NNLO MSBAR (+2sig mc)",0,1
20,1,FONLL-B,1,0,TRN,1.0,1.0,5,5,5,1.0,0.118,91.2,0,0.007496252,1.777,0,LL,MSBAR,1.275,1.275,1.0,4.18,4.18,1.0,173.07,173.07,1.0,"0.97428 0.22530 0.003470 0.22520 0.97345 0.041000 0.00862 0.04030 0.999152",91.1876,80.398,1.1663787e-05,0.23126,1,0.938,"3.0 NLO - MSBar masses with Pole values",0,1
21,2,FONLL-C,1,0,TRN,1.0,1.0,5,5,5,1.0,0.118,91.2,0,0.007496252,1.777,0,LL,MSBAR,1.275,1.275,1.0,4.18,4.18,1.0,173.07,173.07,1.0,"0.97428 0.22530 0.003470 0.22520 0.97345 0.041000 0.00862 0.04030 0.999152",91.1876,80.398,1.1663787e-05,0.23126,1,0.938,"3.0 NNLO - MSBar masses with Pole values",0,1
22,0,ZM-VFNS,0,0,EXA,1.0,1.0,5,5,5,1.275,0.118,91.2,0,0.007496252,1.777,0,LL,POLE,1.275,1.275,1.0,4.18,4.18,1.0,173.07,173.07,1.0,"0.97428 0.22530 0.003470 0.22520 0.97345 0.041000 0.00862 0.04030 0.999152",91.1876,80.398,1.1663787e-05,0.23126,1,0.938,"LO baseline for small-x res",0,1
23,0,ZM-VFNS,0,0,EXA,1.0,1.0,5,5,5,1.275,0.118,91.2,0,0.007496252,1.777,1,LL,POLE,1.275,1.275,1.0,4.18,4.18,1.0,173.07,173.07,1.0,"0.97428 0.22530 0.003470 0.22520 0.97345 0.041000 0.00862 0.04030 0.999152",91.1876,80.398,1.1663787e-05,0.23126,1,0.938,"LO+LL for small-x res",0,1
24,1,FONLL-B,1,0,EXA,1.0,1.0,5,5,5,1.275,0.118,91.2,0,0.007496252,1.777,0,LL,POLE,1.275,1.275,1.0,4.18,4.18,1.0,173.07,173.07,1.0,"0.97428 0.22530 0.003470 0.22520 0.97345 0.041000 0.00862 0.04030 0.999152",91.1876,80.398,1.1663787e-05,0.23126,1,0.938,"NLO baseline for small-x res",0,1
25,1,FONLL-B,1,0,EXA,1.0,1.0,5,5,5,1.275,0.118,91.2,0,0.007496252,1.777,1,NLL,POLE,1.275,1.275,1.0,4.18,4.18,1.0,173.07,173.07,1.0,"0.97428 0.22530 0.003470 0.22520 0.97345 0.041000 0.00862 0.04030 0.999152",91.1876,80.398,1.1663787e-05,0.23126,1,0.938,"NLO+NLL for small-x res",0,1
26,1,FONLL-B,1,0,EXA,1.0,1.0,5,5,5,1.6,0.118,91.2,0,0.007496252,1.777,0,LL,POLE,1.6,1.6,1.0,4.18,4.18,1.0,173.07,173.07,1.0,"0.97428 0.22530 0.003470 0.22520 0.97345 0.041000 0.00862 0.04030 0.999152",91.1876,80.398,1.1663787e-05,0.23126,1,0.938,"NLO baseline for small-x, mc=1.6",0,1
27,1,FONLL-B,1,0,EXA,1.0,1.0,5,5,5,1.414,0.118,91.2,0,0.007496252,1.777,1,NLL,POLE,1.414,1.414,1.0,4.18,4.18,1.0,173.07,173.07,1.0,"0.97428 0.22530 0.003470 0.22520 0.97345 0.041000 0.00862 0.04030 0.999152",91.1876,80.398,1.1663787e-05,0.23126,1,0.938,"NLO+NLL for small-x, mc=1.414",0,1
28,1,FONLL-B,1,0,TRN,1.0,1.0,5,5,5,1.6,0.118,91.2,0,0.007496252,1.777,1,NLL,POLE,1.6,1.6,1.0,4.18,4.18,1.0,173.07,173.07,1.0,"0.97428 0.22530 0.003470 0.22520 0.97345 0.041000 0.00862 0.04030 0.999152",91.1876,80.398,1.1663787e-05,0.23126,1,0.938,"NLO+NLL for small-x, mc = 1.6",0,1
29,1,FONLL-B,1,0,EXA,1.0,1.0,5,5,5,1.6,0.118,91.2,0,0.007496252,1.777,1,NLL,POLE,1.6,1.6,1.0,4.18,4.18,1.0,173.07,173.07,1.0,"0.97428 0.22530 0.003470 0.22520 0.97345 0.041000 0.00862 0.04030 0.999152",91.1876,80.398,1.1663787e-05,0.23126,1,0.938,"NLO+NLL for small-x, mc = 1.6",0,1
30,1,FONLL-B,1,0,EXA,1.0,1.0,5,5,5,1.0,0.118,91.2,0,0.007496252,1.777,0,LL,POLE,1.6,1.6,1.0,4.18,4.18,1.0,173.07,173.07,1.0,"0.97428 0.22530 0.003470 0.22520 0.97345 0.041000 0.00862 0.04030 0.999152",91.1876,80.398,1.1663787e-05,0.23126,1,0.938,"NLO baseline for small-x, Q0=1, mc = 1.6",0,1
31,1,FONLL-B,1,0,EXA,1.0,1.0,5,5,5,1.43,0.118,91.2,0,0.007496252,1.777,0,LL,POLE,1.43,1.43,1.0,4.18,4.18,1.0,173.07,173.07,1.0,"0.97428 0.22530 0.003470 0.22520 0.97345 0.041000 0.00862 0.04030 0.999152",91.1876,80.398,1.1663787e-05,0.23126,1,0.938,"NLO+NLL for small-x, Q0=mc=1.43",0,1
32,1,FONLL-B,1,1,TRN,1.0,1.0,5,5,5,1.5,0.118,91.2,0,0.007496252,1.777,0,LL,POLE,1.275,1.275,1.0,4.18,4.18,1.0,173.07,173.07,1.0,"0.97428 0.22530 0.003470 0.22520 0.97345 0.041000 0.00862 0.04030 0.999152",91.1876,80.398,1.1663787e-05,0.23126,1,0.938,"Intrinsic Charm NLO - Pole masses",0,1
33,2,FONLL-C,1,1,TRN,1.0,1.0,5,5,5,1.5,0.118,91.2,0,0.007496252,1.777,0,LL,POLE,1.275,1.275,1.0,4.18,4.18,1.0,173.07,173.07,1.0,"0.97428 0.22530 0.003470 0.22520 0.97345 0.041000 0.00862 0.04030 0.999152",91.1876,80.398,1.1663787e-05,0.23126,1,0.938,"Intrinsic Charm NNLO - Pole masses",0,1
34,1,FONLL-B,1,1,TRN,1.0,1.0,5,5,5,1.276,0.118,91.2,0,0.007496252,1.777,0,LL,POLE,1.275,1.275,1.0,4.18,4.18,1.0,173.07,173.07,1.0,"0.97428 0.22530 0.003470 0.22520 0.97345 0.041000 0.00862 0.04030 0.999152",91.1876,80.398,1.1663787e-05,0.23126,1,0.938,"NLO IC Q0=mc+eps",0,1
35,1,FONLL-B,1,1,TRN,1.0,1.0,5,5,5,1.274,0.118,91.2,0,0.007496252,1.777,0,LL,POLE,1.275,1.275,1.0,4.18,4.18,1.0,173.07,173.07,1.0,"0.97428 0.22530 0.003470 0.22520 0.97345 0.041000 0.00862 0.04030 0.999152",91.1876,80.398,1.1663787e-05,0.23126,1,0.938,"NLO IC Q0=mc-eps (bline for 34)",0,1
36,1,FONLL-B,1,1,TRN,1.0,1.0,5,5,5,1.2403,0.118,91.2,0,0.007496252,1.777,0,LL,MSBAR,0.986,3.0,1.0,4.18,4.18,1.0,162.7,162.7,1.0,"0.97428 0.22530 0.003470 0.22520 0.97345 0.041000 0.00862 0.04030 0.999152",91.1876,80.398,1.1663787e-05,0.23126,1,0.938,"NLO IC MSbar Q0=mc(mc)+eps",0,1
37,1,FONLL-B,1,1,TRN,1.0,1.0,5,5,5,1.2401,0.118,91.2,0,0.007496252,1.777,0,LL,MSBAR,0.986,3.0,1.0,4.18,4.18,1.0,162.7,162.7,1.0,"0.97428 0.22530 0.003470 0.22520 0.97345 0.041000 0.00862 0.04030 0.999152",91.1876,80.398,1.1663787e-05,0.23126,1,0.938,"NLO IC MSbar Q0=mc(mc)-eps (bline for 36)",0,1
38,1,FONLL-B,1,1,TRN,1.0,1.0,5,5,5,1.11,0.118,91.2,0,0.007496252,1.777,0,LL,MSBAR,1.275,1.275,1.0,4.18,4.18,1.0,162.7,162.7,1.0,"0.97428 0.22530 0.003470 0.22520 0.97345 0.041000 0.00862 0.04030 0.999152",91.1876,80.398,1.1663787e-05,0.23126,1,0.938,"Final IC NLO - MSbar Central mc baseline",0,1
39,1,FONLL-B,1,1,TRN,1.0,1.0,5,5,5,1.11,0.118,91.2,0,0.007496252,1.777,0,LL,MSBAR,1.15,1.15,1.0,4.18,4.18,1.0,162.7,162.7,1.0,"0.97428 0.22530 0.003470 0.22520 0.97345 0.041000 0.00862 0.04030 0.999152",91.1876,80.398,1.1663787e-05,0.23126,1,0.938,"Final IC NLO - MSbar Lower mc baseline",0,1
40,1,FONLL-B,1,1,TRN,1.0,1.0,5,5,5,1.11,0.118,91.2,0,0.007496252,1.777,0,LL,MSBAR,1.4,1.4,1.0,4.18,4.18,1.0,162.7,162.7,1.0,"0.97428 0.22530 0.003470 0.22520 0.97345 0.041000 0.00862 0.04030 0.999152",91.1876,80.398,1.1663787e-05,0.23126,1,0.938,"Final IC NLO - MSbar Upper mc baseline",0,1
41,1,FONLL-B,1,1,TRN,1.0,1.0,5,5,5,1.65,0.118,91.2,0,0.007496252,1.777,0,LL,MSBAR,1.275,1.275,1.0,4.18,4.18,1.0,162.7,162.7,1.0,"0.97428 0.22530 0.003470 0.22520 0.97345 0.041000 0.00862 0.04030 0.999152",91.1876,80.398,1.1663787e-05,0.23126,1,0.938,"Final IC NLO - MSbar Central mc FC",0,1
42,1,FONLL-B,1,1,TRN,1.0,1.0,5,5,5,1.65,0.118,91.2,0,0.007496252,1.777,0,LL,MSBAR,1.15,1.15,1.0,4.18,4.18,1.0,162.7,162.7,1.0,"0.97428 0.22530 0.003470 0.22520 0.97345 0.041000 0.00862 0.04030 0.999152",91.1876,80.398,1.1663787e-05,0.23126,1,0.938,"Final IC NLO - MSbar Lower mc FC",0,1
43,1,FONLL-B,1,1,TRN,1.0,1.0,5,5,5,1.65,0.118,91.2,0,0.007496252,1.777,0,LL,MSBAR,1.4,1.4,1.0,4.18,4.18,1.0,162.7,162.7,1.0,"0.97428 0.22530 0.003470 0.22520 0.97345 0.041000 0.00862 0.04030 0.999152",91.1876,80.398,1.1663787e-05,0.23126,1,0.938,"Final IC NLO - MSbar Upper mc FC",0,1
44,1,FONLL-B,1,1,TRN,1.0,1.0,5,5,5,1.11,0.118,91.2,0,0.007496252,1.777,0,LL,POLE,1.47,1.47,1.0,4.18,4.18,1.0,173.07,173.07,1.0,"0.97428 0.22530 0.003470 0.22520 0.97345 0.041000 0.00862 0.04030 0.999152",91.1876,80.398,1.1663787e-05,0.23126,1,0.938,"Final IC NLO - POLE baseline",0,1
45,1,FONLL-B,1,1,TRN,1.0,1.0,5,5,5,1.65,0.118,91.2,0,0.007496252,1.777,0,LL,POLE,1.47,1.47,1.0,4.18,4.18,1.0,173.07,173.07,1.0,"0.97428 0.22530 0.003470 0.22520 0.97345 0.041000 0.00862 0.04030 0.999152",91.1876,80.398,1.1663787e-05,0.23126,1,0.938,"Final IC NLO - POLE FC",0,1
46,1,FONLL-B,0,0,TRN,1.0,1.0,5,5,5,1.65,0.118,91.2,0,0.007496252,1.777,0,LL,MSBAR,1.275,1.275,1.0,4.18,4.18,1.0,162.7,162.7,1.0,"0.97428 0.22530 0.003470 0.22520 0.97345 0.041000 0.00862 0.04030 0.999152",91.1876,80.398,1.1663787e-05,0.23126,1,0.938,"Final IC NLO - MSbar FC dIC off DAMP off",0,1
47,1,FONLL-B,1,0,TRN,1.0,1.0,5,5,5,1.65,0.118,91.2,0,0.007496252,1.777,0,LL,MSBAR,1.275,1.275,1.0,4.18,4.18,1.0,162.7,162.7,1.0,"0.97428 0.22530 0.003470 0.22520 0.97345 0.041000 0.00862 0.04030 0.999152",91.1876,80.398,1.1663787e-05,0.23126,1,0.938,"Final IC NLO - MSbar FC dIC off DAMP on",0,1
48,1,FONLL-B,1,1,TRN,1.0,1.0,5,5,5,1.11,0.118,91.2,0,0.007496252,1.777,0,LL,POLE,1.61,1.61,1.0,4.18,4.18,1.0,173.07,173.07,1.0,"0.97428 0.22530 0.003470 0.22520 0.97345 0.041000 0.00862 0.04030 0.999152",91.1876,80.398,1.1663787e-05,0.23126,1,0.938,"Final IC NLO - POLE baseline Upper mc",0,1
49,1,FONLL-B,1,1,TRN,1.0,1.0,5,5,5,1.11,0.118,91.2,0,0.007496252,1.777,0,LL,POLE,1.33,1.33,1.0,4.18,4.18,1.0,173.07,173.07,1.0,"0.97428 0.22530 0.003470 0.22520 0.97345 0.041000 0.00862 0.04030 0.999152",91.1876,80.398,1.1663787e-05,0.23126,1,0.938,"Final IC NLO - POLE baseline Lower mc",0,1
50,1,FONLL-B,1,1,TRN,1.0,1.0,5,5,5,1.65,0.118,91.2,0,0.007496252,1.777,0,LL,POLE,1.61,1.61,1.0,4.18,4.18,1.0,173.07,173.07,1.0,"0.97428 0.22530 0.003470 0.22520 0.97345 0.041000 0.00862 0.04030 0.999152",91.1876,80.398,1.1663787e-05,0.23126,1,0.938,"Final IC NLO - POLE FC Upper mc",0,1
51,1,FONLL-B,1,1,TRN,1.0,1.0,5,5,5,1.65,0.118,91.2,0,0.007496252,1.777,0,LL,POLE,1.33,1.33,1.0,4.18,4.18,1.0,173.07,173.07,1.0,"0.97428 0.22530 0.003470 0.22520 0.97345 0.041000 0.00862 0.04030 0.999152",91.1876,80.398,1.1663787e-05,0.23126,1,0.938,"Final IC NLO - POLE FC Lower mc",0,1
52,1,FONLL-B,0,1,TRN,1.0,1.0,5,5,5,1.65,0.118,91.2,0,0.007496252,1.777,0,LL,POLE,1.51,1.51,1.0,4.92,4.92,1.0,172.5,172.5,1.0,"0.97428 0.22530 0.003470 0.22520 0.97345 0.041000 0.00862 0.04030 0.999152",91.1876,80.398,1.1663787e-05,0.23126,1,0.938,"NNPDF3.1 NLO central",0,1
53,2,FONLL-C,0,1,TRN,1.0,1.0,5,5,5,1.65,0.118,91.2,0,0.007496252,1.777,0,LL,POLE,1.51,1.51,1.0,4.92,4.92,1.0,172.5,172.5,1.0,"0.97428 0.22530 0.003470 0.22520 0.97345 0.041000 0.00862 0.04030 0.999152",91.1876,80.398,1.1663787e-05,0.23126,1,0.938,"NNPDF3.1 NNLO central",0,1
54,2,FONLL-C,1,0,TRN,1.0,1.0,5,5,5,1.65,0.118,91.2,0,0.007496252,1.777,0,LL,POLE,1.51,1.51,1.0,4.92,4.92,1.0,172.5,172.5,1.0,"0.97428 0.22530 0.003470 0.22520 0.97345 0.041000 0.00862 0.04030 0.999152",91.1876,80.398,1.1663787e-05,0.23126,1,0.938,"NNPDF3.1 NNLO FC central - dIC off, damping on",0,1
55,2,FONLL-C,0,0,TRN,1.0,1.0,5,5,5,1.65,0.118,91.2,0,0.007496252,1.777,0,LL,POLE,1.51,1.51,1.0,4.92,4.92,1.0,172.5,172.5,1.0,"0.97428 0.22530 0.003470 0.22520 0.97345 0.041000 0.00862 0.04030 0.999152",91.1876,80.398,1.1663787e-05,0.23126,1,0.938,"NNPDF3.1 NNLO FC central - dIC and damping off",0,1
56,1,FONLL-B,1,0,TRN,1.0,1.0,5,5,5,1.414,0.118,91.2,1,0.007496252,1.777,0,LL,POLE,1.275,1.275,1.0,4.18,4.18,1.0,173.07,173.07,1.0,"0.97428 0.22530 0.003470 0.22520 0.97345 0.041000 0.00862 0.04030 0.999152",91.1876,80.398,1.1663787e-05,0.23126,1,0.938,"3.0QED NLO setup",0,1
57,2,FONLL-C,1,0,TRN,1.0,1.0,5,5,5,1.414,0.118,91.2,1,0.007496252,1.777,0,LL,POLE,1.275,1.275,1.0,4.18,4.18,1.0,173.07,173.07,1.0,"0.97428 0.22530 0.003470 0.22520 0.97345 0.041000 0.00862 0.04030 0.999152",91.1876,80.398,1.1663787e-05,0.23126,1,0.938,"3.0QED NNLO setup",0,1
58,1,FONLL-B,1,0,EXA,1.0,1.0,5,5,5,1.85,0.118,91.2,0,0.007496252,1.777,1,NLL,POLE,1.47,1.47,1.329,4.58,4.58,1.0,173.07,173.07,1.0,"0.97428 0.22530 0.003470 0.22520 0.97345 0.041000 0.00862 0.04030 0.999152",91.1876,80.398,1.1663787e-05,0.23126,1,0.938,"small-x NLO+NLL, damping, mc=1.47, muc=1.86, Q0=1.85",0,1
59,1,FONLL-B,1,0,EXA,1.0,1.0,5,5,5,1.85,0.118,91.2,0,0.007496252,1.777,0,LL,POLE,1.47,1.47,1.329,4.58,4.58,1.0,173.07,173.07,1.0,"0.97428 0.22530 0.003470 0.22520 0.97345 0.041000 0.00862 0.04030 0.999152",91.1876,80.398,1.1663787e-05,0.23126,1,0.938,"baseline for 58",0,1
60,1,FONLL-B,0,0,EXA,1.0,1.0,5,5,5,1.509,0.118,91.2,0,0.007496252,1.777,0,LL,POLE,1.601,1.601,1.0,4.58,4.58,1.0,173.07,173.07,1.0,"0.97428 0.22530 0.003470 0.22520 0.97345 0.041000 0.00862 0.04030 0.999152",91.1876,80.398,1.1663787e-05,0.23126,1,0.938,"same as 58, but Q0=muc=mc=1.6",0,1
61,1,FONLL-B,0,0,EXA,1.0,1.0,5,5,5,1.509,0.118,91.2,0,0.007496252,1.777,1,NLL,POLE,1.601,1.601,1.0,4.58,4.58,1.0,173.07,173.07,1.0,"0.97428 0.22530 0.003470 0.22520 0.97345 0.041000 0.00862 0.04030 0.999152",91.1876,80.398,1.1663787e-05,0.23126,1,0.938,"same as 58, but Q0=muc=mc=1.6",0,1
62,1,FONLL-B,0,0,EXA,1.0,1.0,5,5,5,1.599,0.118,91.2,0,0.007496252,1.777,1,NLL,POLE,1.6,1.6,1.0,4.58,4.58,1.0,173.07,173.07,1.0,"0.97428 0.22530 0.003470 0.22520 0.97345 0.041000 0.00862 0.04030 0.999152",91.1876,80.398,1.1663787e-05,0.23126,1,0.938,"same as 58, with Q0=muc=mc=1.6",0,1
63,1,FONLL-B,0,0,EXA,1.0,1.0,5,5,5,1.599,0.118,91.2,0,0.007496252,1.777,0,LL,POLE,1.6,1.6,1.0,4.58,4.58,1.0,173.07,173.07,1.0,"0.97428 0.22530 0.003470 0.22520 0.97345 0.041000 0.00862 0.04030 0.999152",91.1876,80.398,1.1663787e-05,0.23126,1,0.938,"same as 59, with Q0=muc=mc=1.6",0,1
64,1,FONLL-B,1,0,TRN,1.0,1.0,5,5,5,1.0,0.118,91.2,0,0.007496252,1.777,0,LL,POLE,1.51,1.51,1.0,4.92,4.92,1.0,172.5,172.5,1.0,"0.97428 0.22530 0.003470 0.22520 0.97345 0.041000 0.00862 0.04030 0.999152",91.1876,80.398,1.1663787e-05,0.23126,1,0.938,"NNPDF3.1 NLO baseline",0,1
65,2,FONLL-C,1,0,TRN,1.0,1.0,5,5,5,1.0,0.118,91.2,0,0.007496252,1.777,0,LL,POLE,1.51,1.51,1.0,4.92,4.92,1.0,172.5,172.5,1.0,"0.97428 0.22530 0.003470 0.22520 0.97345 0.041000 0.00862 0.04030 0.999152",91.1876,80.398,1.1663787e-05,0.23126,1,0.938,"NNPDF3.1 NNLO baseline",0,1
66,1,FONLL-B,0,1,TRN,0.5,0.5,5,5,5,1.65,0.118,91.2,0,0.007496252,1.777,0,LL,POLE,1.51,1.51,1.0,4.92,4.92,1.0,172.5,172.5,1.0,"0.97428 0.22530 0.003470 0.22520 0.97345 0.041000 0.00862 0.04030 0.999152",91.1876,80.398,1.1663787e-05,0.23126,1,0.938,"NNPDF3.1 NLO FC xiF=xiR=0.5",0,1
67,1,FONLL-B,0,1,TRN,2.0,2.0,5,5,5,1.65,0.118,91.2,0,0.007496252,1.777,0,LL,POLE,1.51,1.51,1.0,4.92,4.92,1.0,172.5,172.5,1.0,"0.97428 0.22530 0.003470 0.22520 0.97345 0.041000 0.00862 0.04030 0.999152",91.1876,80.398,1.1663787e-05,0.23126,1,0.938,"NNPDF3.1 NLO FC xiF=xiR=2.0",0,1
