,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55
21,0.002,0.004,0.002,0.003,0.005,0.008,0.011,0.02,0.032,0.048,0.028,0.002,0.003,0.004,0.003,0.002,0.004,0.007,0.011,0.017,1.0,0.014,0.0,0.0,0.001,0.004,0.012,0.081,0.07,0.0,0.0,0.0,0.002,0.007,0.058,0.127,0.0,0.0,0.0,0.0,0.002,0.014,0.074,0.0,0.0,0.0,0.001,0.007,0.039,0.027,0.0,0.0,0.0,0.001,0.005
22,0.001,0.002,0.001,0.001,0.002,0.003,0.005,0.009,0.018,0.032,0.04,0.001,0.001,0.002,0.001,0.002,0.001,0.003,0.005,0.008,0.014,1.0,0.0,0.0,0.0,0.001,0.004,0.03,0.108,0.0,0.0,0.0,0.0,0.003,0.019,0.12,0.0,0.0,0.0,0.0,0.0,0.004,0.037,0.0,0.0,0.0,0.0,0.001,0.013,0.048,0.0,0.0,0.0,0.0,0.001
23,0.014,0.034,0.101,0.091,0.032,0.003,0.0,0.0,0.0,0.0,0.0,0.009,0.021,0.064,0.055,0.018,0.001,0.0,0.0,0.0,0.0,0.0,1.0,0.002,0.001,0.002,0.001,0.0,0.001,0.01,0.004,0.004,0.004,0.002,0.003,0.001,0.002,0.0,0.0,0.0,0.0,0.0,0.0,0.005,0.0,0.0,0.0,0.0,0.0,0.0,0.004,0.0,0.0,0.0,0.0
24,0.003,0.012,0.059,0.105,0.106,0.06,0.017,0.002,0.0,0.0,0.0,0.002,0.007,0.037,0.065,0.065,0.036,0.01,0.001,0.0,0.0,0.0,0.002,1.0,0.003,0.003,0.003,0.001,0.001,0.006,0.016,0.006,0.008,0.004,0.005,0.002,0.0,0.006,0.0,0.0,0.0,0.0,0.0,0.0,0.007,0.0,0.0,0.0,0.0,0.0,0.0,0.004,0.0,0.0,0.0
25,0.0,0.002,0.018,0.063,0.119,0.116,0.066,0.026,0.007,0.001,0.0,0.0,0.001,0.011,0.037,0.069,0.068,0.039,0.015,0.004,0.001,0.0,0.001,0.003,1.0,0.002,0.001,0.0,0.001,0.003,0.005,0.01,0.005,0.002,0.003,0.001,0.0,0.0,0.006,0.0,0.0,0.0,0.0,0.0,0.0,0.005,0.0,0.0,0.0,0.0,0.0,0.0,0.002,0.0,0.0
26,0.0,0.0,0.002,0.015,0.062,0.135,0.132,0.07,0.024,0.008,0.002,0.0,0.0,0.001,0.008,0.034,0.076,0.074,0.039,0.013,0.004,0.001,0.002,0.003,0.002,1.0,0.002,0.0,0.001,0.004,0.005,0.004,0.009,0.003,0.003,0.001,0.0,0.0,0.0,0.004,0.0,0.0,0.0,0.0,0.0,0.0,0.003,0.0,0.0,0.0,0.0,0.0,0.0,0.001,0.0
27,0.0,0.0,0.0,0.001,0.01,0.055,0.145,0.154,0.076,0.022,0.007,0.0,0.0,0.0,0.001,0.005,0.029,0.076,0.083,0.04,0.012,0.004,0.001,0.003,0.001,0.002,1.0,0.0,0.001,0.003,0.005,0.004,0.005,0.009,0.003,0.001,0.0,0.0,0.0,0.0,0.007,0.0,0.0,0.0,0.0,0.0,0.0,0.005,0.0,0.0,0.0,0.0,0.0,0.0,0.001
28,0.0,0.0,0.0,0.0,0.001,0.006,0.042,0.153,0.232,0.162,0.06,0.0,0.0,0.0,0.0,0.0,0.003,0.02,0.073,0.114,0.081,0.03,0.0,0.001,0.0,0.0,0.0,1.0,0.0,0.001,0.001,0.001,0.001,0.001,0.014,0.0,0.0,0.0,0.0,0.0,0.0,0.015,0.0,0.0,0.0,0.0,0.0,0.0,0.007,0.0,0.0,0.0,0.0,0.0,0.0
29,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.003,0.032,0.166,0.266,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.001,0.011,0.07,0.108,0.001,0.001,0.001,0.001,0.001,0.0,1.0,0.001,0.002,0.001,0.002,0.001,0.001,0.005,0.0,0.0,0.0,0.0,0.0,0.0,0.004,0.0,0.0,0.0,0.0,0.0,0.0,0.001,0.0,0.0,0.0,0.0,0.0
30,0.019,0.039,0.111,0.076,0.019,0.001,0.0,0.0,0.0,0.0,0.0,0.01,0.017,0.047,0.02,0.002,0.0,0.0,0.0,0.0,0.0,0.0,0.01,0.006,0.003,0.004,0.003,0.001,0.001,1.0,0.011,0.009,0.011,0.005,0.007,0.003,0.002,0.0,0.0,0.0,0.0,0.0,0.0,0.005,0.0,0.0,0.0,0.0,0.0,0.0,0.003,0.0,0.0,0.0,0.0
