#: table_doi: 10.17182/hepdata.79410.v1/t1
#: name: Table 1
#: description: Triple-differential dijet cross section as a function of the average transverse momentum of the leading two jets with detailed experimental uncertainties (symmetrised).
#: data_file: table_1.yaml
#: keyword observables: D3SIG/DPTAVG/DYBOOST/DYSTAR
#: keyword phrases: Triple Differential Inclusive Dijet Production
#: keyword cmenergies: 8000
#: keyword reactions: P P --> JET JET X
#: YSTAR,,,0.0 <= YSTAR < 1.0
#: SQRT(S) [TeV],,,8
#: YBOOST,,,0.0 <= YBOOST < 1.0
PTAVG [GeV],PTAVG [GeV] LOW,PTAVG [GeV] HIGH,D3(SIG)/DPTAVG/DYBOOST/DYSTAR [pb/GeV],uncor +,uncor -,stat +,stat -,jererr +,jererr -,lumi +,lumi -,nongaussiantails +,nongaussiantails -,AbsoluteScale +,AbsoluteScale -,AbsoluteStat +,AbsoluteStat -,AbsoluteMPFBias +,AbsoluteMPFBias -,Fragmentation +,Fragmentation -,SinglePionECAL +,SinglePionECAL -,SinglePionHCAL +,SinglePionHCAL -,FlavorQCD +,FlavorQCD -,RelativeJEREC1 +,RelativeJEREC1 -,RelativeJEREC2 +,RelativeJEREC2 -,RelativeJERHF +,RelativeJERHF -,RelativePtBB +,RelativePtBB -,RelativePtEC1 +,RelativePtEC1 -,RelativePtEC2 +,RelativePtEC2 -,RelativePtHF +,RelativePtHF -,RelativeFSR +,RelativeFSR -,RelativeStatEC2 +,RelativeStatEC2 -,RelativeStatHF +,RelativeStatHF -,RelativeStatFSR +,RelativeStatFSR -,PileUpDataMC +,PileUpDataMC -,PileUpPtRef +,PileUpPtRef -,PileUpPtBB +,PileUpPtBB -,PileUpPtEC1 +,PileUpPtEC1 -,PileUpPtEC2 +,PileUpPtEC2 -,PileUpPtHF +,PileUpPtHF -
412.5,395.0,430.0,3.53,1.0%,-1.0%,0.2431%,-0.2431%,0.3009%,-0.3009%,2.6%,-2.6%,0.0%,-0.0%,0.5649%,-0.5649%,0.2361%,-0.2361%,1.446%,-1.446%,0.1647%,-0.1647%,0.1619%,-0.1619%,0.4014%,-0.4014%,1.481%,-1.481%,0.0%,-0.0%,0.0%,-0.0%,0.0%,-0.0%,0.08592%,-0.08592%,0.0%,-0.0%,0.0%,-0.0%,0.0%,-0.0%,0.05812%,-0.05812%,0.0%,-0.0%,0.0%,-0.0%,0.1065%,-0.1065%,0.07431%,-0.07431%,0.0%,-0.0%,0.2635%,-0.2635%,0.0%,-0.0%,0.0%,-0.0%,0.0%,-0.0%
449.0,430.0,468.0,2.101,1.0%,-1.0%,0.09863%,-0.09863%,0.2249%,-0.2249%,2.6%,-2.6%,0.0%,-0.0%,0.5699%,-0.5699%,0.2536%,-0.2536%,1.453%,-1.453%,0.1971%,-0.1971%,0.1907%,-0.1907%,0.4665%,-0.4665%,1.359%,-1.359%,0.0%,-0.0%,0.0%,-0.0%,0.0%,-0.0%,0.07122%,-0.07122%,0.0%,-0.0%,0.0%,-0.0%,0.0%,-0.0%,0.05027%,-0.05027%,0.0%,-0.0%,0.0%,-0.0%,0.1074%,-0.1074%,0.07312%,-0.07312%,0.0%,-0.0%,0.3641%,-0.3641%,0.0%,-0.0%,0.0%,-0.0%,0.0%,-0.0%
487.5,468.0,507.0,1.257,1.0%,-1.0%,0.1202%,-0.1202%,0.2692%,-0.2692%,2.6%,-2.6%,0.0%,-0.0%,0.5884%,-0.5884%,0.2964%,-0.2964%,1.504%,-1.504%,0.2433%,-0.2433%,0.2239%,-0.2239%,0.5478%,-0.5478%,1.264%,-1.264%,0.0%,-0.0%,0.0%,-0.0%,0.0%,-0.0%,0.0%,-0.0%,0.0%,-0.0%,0.0%,-0.0%,0.0%,-0.0%,0.05222%,-0.05222%,0.0%,-0.0%,0.0%,-0.0%,0.1091%,-0.1091%,0.06213%,-0.06213%,0.0%,-0.0%,0.4968%,-0.4968%,0.0%,-0.0%,0.0%,-0.0%,0.0%,-0.0%
527.5,507.0,548.0,0.7631,1.0%,-1.0%,0.1423%,-0.1423%,0.2659%,-0.2659%,2.6%,-2.6%,0.0%,-0.0%,0.6031%,-0.6031%,0.3111%,-0.3111%,1.543%,-1.543%,0.2522%,-0.2522%,0.2521%,-0.2521%,0.614%,-0.614%,1.161%,-1.161%,0.0%,-0.0%,0.0%,-0.0%,0.0%,-0.0%,0.0%,-0.0%,0.0%,-0.0%,0.0%,-0.0%,0.0%,-0.0%,0.0%,-0.0%,0.0%,-0.0%,0.0%,-0.0%,0.1096%,-0.1096%,0.05922%,-0.05922%,0.0%,-0.0%,0.5964%,-0.5964%,0.0%,-0.0%,0.0%,-0.0%,0.0%,-0.0%
570.0,548.0,592.0,0.4598,1.0%,-1.0%,0.1774%,-0.1774%,0.2427%,-0.2427%,2.6%,-2.6%,0.0%,-0.0%,0.6133%,-0.6133%,0.3107%,-0.3107%,1.548%,-1.548%,0.2559%,-0.2559%,0.3132%,-0.3132%,0.6698%,-0.6698%,1.028%,-1.028%,0.0%,-0.0%,0.0%,-0.0%,0.0%,-0.0%,0.0%,-0.0%,0.0%,-0.0%,0.0%,-0.0%,0.0%,-0.0%,0.05657%,-0.05657%,0.0%,-0.0%,0.0%,-0.0%,0.1205%,-0.1205%,0.06346%,-0.06346%,0.09584%,-0.09584%,0.6927%,-0.6927%,0.0%,-0.0%,0.0%,-0.0%,0.0%,-0.0%
615.0,592.0,638.0,0.2762,1.0%,-1.0%,0.2227%,-0.2227%,0.303%,-0.303%,2.6%,-2.6%,0.0%,-0.0%,0.6397%,-0.6397%,0.3314%,-0.3314%,1.647%,-1.647%,0.2749%,-0.2749%,0.3275%,-0.3275%,0.7711%,-0.7711%,0.9228%,-0.9228%,0.0%,-0.0%,0.0%,-0.0%,0.0%,-0.0%,0.0%,-0.0%,0.06363%,-0.06363%,0.0%,-0.0%,0.0%,-0.0%,0.0%,-0.0%,0.0%,-0.0%,0.0%,-0.0%,0.1172%,-0.1172%,0.05313%,-0.05313%,0.1085%,-0.1085%,0.8162%,-0.8162%,0.0%,-0.0%,0.0%,-0.0%,0.0%,-0.0%
662.0,638.0,686.0,0.1661,1.0%,-1.0%,0.2792%,-0.2792%,0.1991%,-0.1991%,2.6%,-2.6%,0.0%,-0.0%,0.6654%,-0.6654%,0.4084%,-0.4084%,1.667%,-1.667%,0.3479%,-0.3479%,0.3401%,-0.3401%,0.8522%,-0.8522%,0.781%,-0.781%,0.0%,-0.0%,0.0%,-0.0%,0.0%,-0.0%,0.0%,-0.0%,0.0777%,-0.0777%,0.0%,-0.0%,0.0%,-0.0%,0.0%,-0.0%,0.0%,-0.0%,0.0%,-0.0%,0.1304%,-0.1304%,0.05144%,-0.05144%,0.1239%,-0.1239%,0.9149%,-0.9149%,0.0%,-0.0%,0.0%,-0.0%,0.0%,-0.0%
711.5,686.0,737.0,0.1004,1.0%,-1.0%,0.3487%,-0.3487%,0.3403%,-0.3403%,2.6%,-2.6%,0.0%,-0.0%,0.6644%,-0.6644%,0.4062%,-0.4062%,1.715%,-1.715%,0.3461%,-0.3461%,0.3479%,-0.3479%,0.9335%,-0.9335%,0.6469%,-0.6469%,0.0%,-0.0%,0.0%,-0.0%,0.0%,-0.0%,0.0%,-0.0%,0.07408%,-0.07408%,0.0%,-0.0%,0.0%,-0.0%,0.0%,-0.0%,0.0%,-0.0%,0.0%,-0.0%,0.1209%,-0.1209%,0.0%,-0.0%,0.1175%,-0.1175%,1.053%,-1.053%,0.0%,-0.0%,0.0%,-0.0%,0.0%,-0.0%
763.5,737.0,790.0,0.06007,1.0%,-1.0%,0.4374%,-0.4374%,0.2925%,-0.2925%,2.6%,-2.6%,0.0%,-0.0%,0.6944%,-0.6944%,0.4084%,-0.4084%,1.776%,-1.776%,0.3419%,-0.3419%,0.4175%,-0.4175%,1.031%,-1.031%,0.5404%,-0.5404%,0.0%,-0.0%,0.0%,-0.0%,0.0%,-0.0%,0.0%,-0.0%,0.09526%,-0.09526%,0.0%,-0.0%,0.0%,-0.0%,0.0%,-0.0%,0.0%,-0.0%,0.0%,-0.0%,0.1294%,-0.1294%,0.05254%,-0.05254%,0.1258%,-0.1258%,1.188%,-1.188%,0.0%,-0.0%,0.0%,-0.0%,0.0%,-0.0%
818.0,790.0,846.0,0.03592,1.0%,-1.0%,0.5527%,-0.5527%,0.3595%,-0.3595%,2.6%,-2.6%,0.0%,-0.0%,0.7249%,-0.7249%,0.4633%,-0.4633%,1.828%,-1.828%,0.3954%,-0.3954%,0.4588%,-0.4588%,1.131%,-1.131%,0.4223%,-0.4223%,0.0%,-0.0%,0.0%,-0.0%,0.0%,-0.0%,0.07795%,-0.07795%,0.09448%,-0.09448%,0.0%,-0.0%,0.0%,-0.0%,0.0%,-0.0%,0.0%,-0.0%,0.0%,-0.0%,0.1302%,-0.1302%,0.05291%,-0.05291%,0.1279%,-0.1279%,1.338%,-1.338%,0.0%,-0.0%,0.0%,-0.0%,0.0%,-0.0%
875.5,846.0,905.0,0.02109,1.0%,-1.0%,0.7003%,-0.7003%,0.261%,-0.261%,2.6%,-2.6%,0.0%,-0.0%,0.7618%,-0.7618%,0.523%,-0.523%,1.923%,-1.923%,0.4544%,-0.4544%,0.4425%,-0.4425%,1.292%,-1.292%,0.2697%,-0.2697%,0.0%,-0.0%,0.0%,-0.0%,0.0%,-0.0%,0.1209%,-0.1209%,0.09317%,-0.09317%,0.0%,-0.0%,0.0%,-0.0%,0.0%,-0.0%,0.0%,-0.0%,0.0%,-0.0%,0.1474%,-0.1474%,0.0%,-0.0%,0.1456%,-0.1456%,1.513%,-1.513%,0.0%,-0.0%,0.0%,-0.0%,0.0%,-0.0%
936.0,905.0,967.0,0.01254,1.0%,-1.0%,0.8853%,-0.8853%,0.3386%,-0.3386%,2.6%,-2.6%,0.0%,-0.0%,0.7767%,-0.7767%,0.5575%,-0.5575%,1.974%,-1.974%,0.4886%,-0.4886%,0.4844%,-0.4844%,1.387%,-1.387%,0.1566%,-0.1566%,0.0%,-0.0%,0.0%,-0.0%,0.0%,-0.0%,0.1407%,-0.1407%,0.08875%,-0.08875%,0.0%,-0.0%,0.0%,-0.0%,0.0%,-0.0%,0.0%,-0.0%,0.0%,-0.0%,0.1447%,-0.1447%,0.0%,-0.0%,0.1432%,-0.1432%,1.659%,-1.659%,0.0%,-0.0%,0.0%,-0.0%,0.0%,-0.0%
999.5,967.0,1032.0,0.007197,1.0%,-1.0%,1.136%,-1.136%,0.3759%,-0.3759%,2.6%,-2.6%,0.0%,-0.0%,0.8098%,-0.8098%,0.588%,-0.588%,2.071%,-2.071%,0.4699%,-0.4699%,0.5706%,-0.5706%,1.429%,-1.429%,0.06343%,-0.06343%,0.0%,-0.0%,0.0%,-0.0%,0.0%,-0.0%,0.168%,-0.168%,0.08073%,-0.08073%,0.0%,-0.0%,0.0%,-0.0%,0.0%,-0.0%,0.0%,-0.0%,0.0%,-0.0%,0.1482%,-0.1482%,0.0%,-0.0%,0.1473%,-0.1473%,1.858%,-1.858%,0.0%,-0.0%,0.0%,-0.0%,0.0%,-0.0%
1066.5,1032.0,1101.0,0.004058,1.0%,-1.0%,1.469%,-1.469%,0.3507%,-0.3507%,2.6%,-2.6%,0.0%,-0.0%,0.8239%,-0.8239%,0.6009%,-0.6009%,2.089%,-2.089%,0.5192%,-0.5192%,0.5974%,-0.5974%,1.538%,-1.538%,0.06844%,-0.06844%,0.0%,-0.0%,0.0%,-0.0%,0.0%,-0.0%,0.2191%,-0.2191%,0.0599%,-0.0599%,0.0%,-0.0%,0.0%,-0.0%,0.0%,-0.0%,0.0%,-0.0%,0.0%,-0.0%,0.1438%,-0.1438%,0.0%,-0.0%,0.1431%,-0.1431%,1.997%,-1.997%,0.0%,-0.0%,0.0%,-0.0%,0.0%,-0.0%
1136.5,1101.0,1172.0,0.002391,1.0%,-1.0%,1.867%,-1.867%,0.3486%,-0.3486%,2.6%,-2.6%,0.0%,-0.0%,0.8884%,-0.8884%,0.6402%,-0.6402%,2.285%,-2.285%,0.6194%,-0.6194%,0.6393%,-0.6393%,1.793%,-1.793%,0.2822%,-0.2822%,0.0%,-0.0%,0.0%,-0.0%,0.0%,-0.0%,0.2702%,-0.2702%,0.0%,-0.0%,0.0%,-0.0%,0.0%,-0.0%,0.0%,-0.0%,0.0%,-0.0%,0.0%,-0.0%,0.1604%,-0.1604%,0.0%,-0.0%,0.1596%,-0.1596%,2.36%,-2.36%,0.0%,-0.0%,0.0%,-0.0%,0.0%,-0.0%
1210.0,1172.0,1248.0,0.001419,1.0%,-1.0%,2.347%,-2.347%,0.3894%,-0.3894%,2.6%,-2.6%,0.0%,-0.0%,0.9088%,-0.9088%,0.6592%,-0.6592%,2.33%,-2.33%,0.656%,-0.656%,0.6655%,-0.6655%,1.895%,-1.895%,0.4358%,-0.4358%,0.0%,-0.0%,0.0%,-0.0%,0.0%,-0.0%,0.3371%,-0.3371%,0.0%,-0.0%,0.0%,-0.0%,0.0%,-0.0%,0.0%,-0.0%,0.0%,-0.0%,0.0%,-0.0%,0.1756%,-0.1756%,0.0%,-0.0%,0.1758%,-0.1758%,2.51%,-2.51%,0.0%,-0.0%,0.0%,-0.0%,0.0%,-0.0%
1287.5,1248.0,1327.0,0.0007634,1.0%,-1.0%,3.136%,-3.136%,0.5036%,-0.5036%,2.6%,-2.6%,0.0%,-0.0%,0.9503%,-0.9503%,0.644%,-0.644%,2.476%,-2.476%,0.6427%,-0.6427%,0.6794%,-0.6794%,2.007%,-2.007%,0.5886%,-0.5886%,0.0%,-0.0%,0.0%,-0.0%,0.0%,-0.0%,0.3742%,-0.3742%,0.0%,-0.0%,0.0%,-0.0%,0.0%,-0.0%,0.0%,-0.0%,0.0%,-0.0%,0.0%,-0.0%,0.1849%,-0.1849%,0.0%,-0.0%,0.1852%,-0.1852%,2.755%,-2.755%,0.0%,-0.0%,0.0%,-0.0%,0.0%,-0.0%
1368.5,1327.0,1410.0,0.0003934,1.0%,-1.0%,4.208%,-4.208%,0.52%,-0.52%,2.6%,-2.6%,0.0%,-0.0%,1.042%,-1.042%,0.7606%,-0.7606%,2.615%,-2.615%,0.7603%,-0.7603%,0.7621%,-0.7621%,2.227%,-2.227%,0.8158%,-0.8158%,0.0%,-0.0%,0.0%,-0.0%,0.0%,-0.0%,0.4819%,-0.4819%,0.0%,-0.0%,0.0%,-0.0%,0.0%,-0.0%,0.0%,-0.0%,0.0%,-0.0%,0.0%,-0.0%,0.1644%,-0.1644%,0.0%,-0.0%,0.1638%,-0.1638%,3.08%,-3.08%,0.0%,-0.0%,0.0%,-0.0%,0.0%,-0.0%
1453.5,1410.0,1497.0,0.0002155,1.0%,-1.0%,5.535%,-5.535%,0.5813%,-0.5813%,2.6%,-2.6%,0.0%,-0.0%,1.04%,-1.04%,0.8334%,-0.8334%,2.659%,-2.659%,0.8334%,-0.8334%,0.7213%,-0.7213%,2.39%,-2.39%,0.9627%,-0.9627%,0.0%,-0.0%,0.0%,-0.0%,0.0%,-0.0%,0.5225%,-0.5225%,0.0%,-0.0%,0.0%,-0.0%,0.0%,-0.0%,0.0582%,-0.0582%,0.0%,-0.0%,0.0%,-0.0%,0.2098%,-0.2098%,0.0%,-0.0%,0.2114%,-0.2114%,3.292%,-3.292%,0.0%,-0.0%,0.0%,-0.0%,0.0%,-0.0%
1542.5,1497.0,1588.0,0.0001198,1.0%,-1.0%,7.407%,-7.407%,0.5685%,-0.5685%,2.6%,-2.6%,0.0%,-0.0%,1.073%,-1.073%,0.8613%,-0.8613%,2.742%,-2.742%,0.8608%,-0.8608%,0.7583%,-0.7583%,2.555%,-2.555%,1.12%,-1.12%,0.0%,-0.0%,0.0%,-0.0%,0.0%,-0.0%,0.5552%,-0.5552%,0.0%,-0.0%,0.0%,-0.0%,0.0%,-0.0%,0.05125%,-0.05125%,0.0%,-0.0%,0.0%,-0.0%,0.1881%,-0.1881%,0.0%,-0.0%,0.1934%,-0.1934%,3.567%,-3.567%,0.0%,-0.0%,0.0%,-0.0%,0.0%,-0.0%
1686.0,1588.0,1784.0,4.445e-05,1.0%,-1.0%,10.33%,-10.33%,0.7275%,-0.7275%,2.6%,-2.6%,0.0%,-0.0%,1.246%,-1.246%,1.039%,-1.039%,3.147%,-3.147%,1.037%,-1.037%,1.027%,-1.027%,2.939%,-2.939%,1.585%,-1.585%,0.0%,-0.0%,0.0%,-0.0%,0.0%,-0.0%,0.7788%,-0.7788%,0.0%,-0.0%,0.0%,-0.0%,0.0%,-0.0%,0.1222%,-0.1222%,0.0%,-0.0%,0.0%,-0.0%,0.2374%,-0.2374%,0.0%,-0.0%,0.2556%,-0.2556%,4.14%,-4.14%,0.0%,-0.0%,0.0%,-0.0%,0.0%,-0.0%

