     8.5         9.860e-5            0.85        1.172         2.22        3.75        4.44          0.76          0.09          0.29          0.33          0.00      
     12.0         1.392e-4            0.85        1.304         1.47        3.71        4.09          0.77          0.06          0.28          0.29          0.00      
     12.0         1.578e-4            0.75        1.394         1.72        2.71        3.38          0.98          0.05          0.28          0.25          0.00      
     15.0         1.741e-4            0.85        1.349         1.37        3.71        4.06          0.72          0.34          0.31          0.30          0.00      
     15.0         1.973e-4            0.75        1.400         0.93        2.64        2.83          0.26          0.10          0.25          0.25          0.00      
     15.0         2.276e-4            0.65        1.342         1.80        2.33        2.99          0.37         -0.12          0.26          0.20          0.00      
     20.0         2.321e-4            0.85        1.396         1.52        3.73        4.12          0.71          0.32          0.28          0.25          0.00      
     20.0         2.630e-4            0.75        1.439         0.83        2.63        2.92          0.73          0.50          0.25          0.21          0.00      
     20.0         3.035e-4            0.65        1.391         0.76        2.16        2.35          0.41          0.13          0.24          0.19          0.00      
     25.0         2.901e-4            0.85        1.482         2.46        3.86        4.64          0.65         -0.06          0.32          0.23          0.00      
     25.0         3.288e-4            0.75        1.450         0.88        2.64        2.84          0.33          0.31          0.24          0.20          0.00      
     25.0         3.794e-4            0.65        1.469         0.73        2.16        2.40          0.55          0.43          0.24          0.19          0.00      
     25.0         5.000e-4            0.49        1.403         0.69        1.77        2.12          0.74          0.09          0.22          0.19          0.51      
     25.0         8.000e-4            0.31        1.281         1.10        1.85        2.28          0.70          0.19          0.10          0.12          0.08      
     35.0         4.603e-4            0.75        1.457         1.23        2.68        3.01          0.33          0.36          0.29          0.21          0.00      
     35.0         5.311e-4            0.65        1.483         0.66        2.15        2.34          0.31          0.43          0.26          0.19          0.00      
     35.0         8.000e-4            0.43        1.404         0.48        1.75        2.02          0.78          0.29          0.18          0.17          0.16      
     35.0         1.300e-3            0.27        1.236         0.63        1.77        1.99          0.64          0.01          0.01          0.02          0.01      
     35.0         2.000e-3            0.17        1.112         1.42        1.93        2.73          1.25         -0.35          0.00          0.00          0.00      
     45.0         6.341e-4            0.70        1.470         1.00        2.21        2.58          0.79          0.28          0.28          0.18          0.00      
     45.0         8.000e-4            0.55        1.488         0.69        2.16        2.47          0.85          0.41          0.22          0.19          0.00      
     45.0         1.300e-3            0.34        1.316         0.45        1.75        1.94          0.50          0.45          0.08          0.09          0.04      
     45.0         2.000e-3            0.22        1.182         0.52        1.76        1.94          0.54          0.30          0.00          0.00          0.03      
     60.0         1.302e-3            0.45        1.419         0.61        1.77        1.97          0.42          0.35          0.18          0.14          0.00      
     60.0         2.000e-3            0.30        1.248         0.50        1.76        1.95          0.40          0.56          0.02          0.03          0.02      
     60.0         3.200e-3            0.18        1.102         0.71        1.78        2.12          0.83          0.33          0.00          0.00          0.02      
     90.0         2.004e-3            0.44        1.354         0.79        1.80        2.09          0.56          0.42          0.09          0.08          0.00      
     90.0         3.200e-3            0.28        1.183         0.60        1.77        1.95          0.44          0.32          0.00          0.00          0.00      
     90.0         5.000e-3            0.18        1.018         1.50        1.96        2.50          0.29          0.33   0.00   0.00 0.00      
