THPREDICTIONS NMC  NNPDF30_nlo_as_0118
126  0.291827            0.00363852          
127  0.288031            0.00354062          
128  0.283236            0.00343321          
129  0.254313            0.00376706          
130  0.240536            0.00340566          
131  0.234544            0.0032454           
132  0.229587            0.00312701          
133  0.180702            0.00288859          
134  0.153446            0.00254908          
135  0.141055            0.00236411          
136  0.305798            0.0103144           
137  0.314373            0.00951881          
138  0.328595            0.00899717          
139  0.330377            0.00924816          
140  0.347268            0.00865354          
141  0.356993            0.00809306          
142  0.329179            0.00891041          
143  0.348986            0.00832547          
144  0.364074            0.00772487          
145  0.369512            0.00746576          
146  0.329002            0.00809799          
147  0.347507            0.00756035          
148  0.363841            0.00708399          
149  0.374221            0.00672862          
150  0.37906             0.0064797           
151  0.383032            0.00616901          
152  0.346601            0.00671213          
153  0.360779            0.00640021          
154  0.37105             0.00615921          
155  0.378719            0.00593497          
156  0.384998            0.00571228          
157  0.387607            0.00557769          
158  0.35884             0.00599734          
159  0.366971            0.00571633          
160  0.373739            0.0055206           
161  0.380785            0.00528744          
162  0.385873            0.005058            
163  0.387784            0.0048679           
164  0.363136            0.00542425          
165  0.367846            0.00523478          
166  0.372777            0.00502502          
167  0.37777             0.00482433          
168  0.381312            0.00465663          
169  0.382858            0.00450745          
170  0.363504            0.00487963          
171  0.36704             0.00467297          
172  0.370266            0.00448441          
173  0.37304             0.00432859          
174  0.374932            0.00418027          
175  0.375113            0.00403205          
176  0.362434            0.00447628          
177  0.364477            0.00434759          
178  0.365943            0.00423222          
179  0.367171            0.00411863          
180  0.367385            0.00400478          
181  0.357349            0.00397476          
182  0.357338            0.00388179          
183  0.357271            0.00378679          
184  0.356972            0.00369184          
185  0.356092            0.00360648          
186  0.353811            0.00353636          
187  0.346832            0.00395034          
188  0.344791            0.00387556          
189  0.342104            0.00379051          
190  0.340418            0.00369717          
191  0.337984            0.00361553          
192  0.335061            0.00353601          
193  0.325389            0.00426806          
194  0.320054            0.00411306          
195  0.316219            0.00397153          
196  0.312823            0.0038455           
197  0.308312            0.00370391          
198  0.288387            0.00354162          
199  0.284989            0.00345683          
200  0.279378            0.00333464          
201  0.273719            0.00321845          
202  0.269432            0.00313548          
203  0.235747            0.00325237          
204  0.226565            0.00303967          
205  0.22035             0.00290506          
206  0.213532            0.00278225          
207  0.145724            0.00234397          
208  0.127287            0.00213401          
209  0.12072             0.00204117          
210  0.321312            0.0101381           
211  0.338674            0.00936562          
212  0.348052            0.00886907          
213  0.345132            0.00872837          
214  0.359651            0.0082762           
215  0.368355            0.00781992          
216  0.360743            0.00845067          
217  0.376388            0.00796923          
218  0.382109            0.00764141          
219  0.385648            0.00729737          
220  0.356459            0.00816204          
221  0.374425            0.00766531          
222  0.386263            0.00730488          
223  0.391393            0.00703674          
224  0.395166            0.00675985          
225  0.368587            0.00702666          
226  0.381715            0.00666401          
227  0.390724            0.00639807          
228  0.399144            0.00612062          
229  0.402364            0.00583679          
230  0.403841            0.00549287          
231  0.374341            0.0061103           
232  0.383112            0.00591158          
233  0.392343            0.00567481          
234  0.400731            0.00539952          
235  0.404443            0.00521719          
236  0.404117            0.00509756          
237  0.376653            0.00557259          
238  0.383242            0.00527228          
239  0.391236            0.00503215          
240  0.397277            0.00482098          
241  0.400911            0.00461986          
242  0.399419            0.00444957          
243  0.376391            0.00502011          
244  0.379185            0.00482568          
245  0.384316            0.00464701          
246  0.388781            0.00447371          
247  0.390765            0.00432752          
248  0.388916            0.00420833          
249  0.373011            0.0045968           
250  0.374453            0.00433354          
251  0.377539            0.00418172          
252  0.379893            0.00404521          
253  0.380117            0.00389876          
254  0.367045            0.00421822          
255  0.368522            0.00411304          
256  0.369817            0.0039947           
257  0.369959            0.00388426          
258  0.368472            0.00378488          
259  0.357774            0.0037699           
260  0.358338            0.00366755          
261  0.357414            0.00358842          
262  0.356363            0.00350763          
263  0.354459            0.00344051          
264  0.341141            0.00368811          
265  0.338491            0.00360391          
266  0.336092            0.00352216          
267  0.333141            0.0034556           
268  0.329893            0.00339718          
269  0.317095            0.00398361          
270  0.313182            0.00384411          
271  0.309217            0.0037115           
272  0.305545            0.00359813          
273  0.30119             0.00348386          
274  0.290327            0.00351473          
275  0.280171            0.00334497          
276  0.275188            0.00323934          
277  0.269789            0.00313402          
278  0.265433            0.00305081          
279  0.259512            0.00295207          
280  0.238418            0.0031865           
281  0.221856            0.00292577          
282  0.215986            0.00280742          
283  0.210371            0.00270637          
284  0.202608            0.00259968          
285  0.155357            0.00236943          
286  0.12815             0.00207319          
287  0.120373            0.00196715          
288  0.110151            0.00186263          
