THPREDICTIONS HERACOMBNCEP460  NNPDF30_nlo_as_0118
79   0.773954            0.00512948          
80   1.15781             0.00817335          
81   1.1616              0.00807369          
82   1.15834             0.00796283          
83   1.15149             0.00780462          
84   1.12891             0.00741619          
85   1.10169             0.00704707          
86   1.04576             0.00644883          
87   0.987559            0.0058863           
88   0.874412            0.0052509           
89   0.751838            0.00506815          
90   1.14571             0.00763822          
91   1.1457              0.00745558          
92   1.13959             0.00730016          
93   1.1322              0.00716812          
94   1.1077              0.00683364          
95   1.07871             0.00651464          
96   1.02028             0.0059691           
97   0.9597              0.00558098          
98   0.844057            0.00515434          
99   0.721145            0.00489426          
100  1.10937             0.00676253          
101  1.1046              0.006606            
102  1.09928             0.00650285          
103  1.08715             0.0063194           
104  1.05908             0.00606298          
105  1.02787             0.00582559          
106  0.964699            0.0053964           
107  0.905148            0.00524025          
108  0.815132            0.0050428           
109  0.78844             0.00496083          
110  0.687977            0.00452505          
111  0.669615            0.00447726          
112  1.07168             0.00616301          
113  1.06315             0.00602555          
114  1.05537             0.00594693          
115  1.04618             0.00586242          
116  1.01433             0.00560553          
117  0.982134            0.00541335          
118  0.971835            0.00536931          
119  0.928902            0.00529649          
120  0.859111            0.00509736          
121  0.762023            0.00475198          
122  0.648331            0.00420074          
123  1.03677             0.00580695          
124  1.02803             0.00568857          
125  1.00626             0.00550024          
126  0.94223             0.0053212           
127  0.864914            0.00509828          
128  0.738099            0.00453034          
129  0.639191            0.00414214          
130  0.985876            0.00537275          
131  0.973849            0.0053094           
132  0.947403            0.00529799          
133  0.883914            0.00511889          
134  0.757599            0.00453251          
135  0.654406            0.00410658          
136  0.558761            0.00351041          
137  0.48284             0.00337147          
138  0.416826            0.0033987           
139  0.359106            0.00309564          
140  0.317829            0.00306606          
141  0.145808            0.00203657          
142  0.942148            0.00521885          
143  0.926432            0.00518697          
144  0.900566            0.0051184           
145  0.836775            0.00488762          
146  0.770269            0.00454011          
147  0.665034            0.00408531          
148  0.566021            0.00346856          
149  0.487011            0.00332338          
150  0.418404            0.0033479           
151  0.358499            0.00305716          
152  0.315911            0.00303092          
153  0.142777            0.0019859           
154  0.904994            0.00507489          
155  0.886853            0.0050533           
156  0.860716            0.00496851          
157  0.795514            0.00464687          
158  0.672638            0.00407133          
159  0.571473            0.00343864          
160  0.490176            0.00328716          
161  0.419499            0.00330881          
162  0.357936            0.00302749          
163  0.314342            0.00300386          
164  0.140395            0.00194665          
165  0.840621            0.00485546          
166  0.823375            0.00477805          
167  0.7971              0.0046266           
168  0.733288            0.0042776           
169  0.578881            0.0033976           
170  0.494526            0.00323358          
171  0.420936            0.00324954          
172  0.356929            0.00298211          
173  0.311845            0.00296272          
174  0.136797            0.00188804          
175  0.791458            0.00462486          
176  0.773148            0.00448843          
177  0.745513            0.0043472           
178  0.684706            0.00402898          
179  0.58337             0.00337056          
180  0.497227            0.00319356          
181  0.421705            0.00320441          
182  0.356012            0.00294754          
183  0.309881            0.00293177          
184  0.250728            0.00266091          
185  0.134134            0.00184522          
186  0.021356            0.000706763         
187  0.732257            0.00431626          
188  0.712711            0.00416803          
189  0.686457            0.00404759          
190  0.629109            0.00342324          
191  0.499314            0.00314654          
192  0.422097            0.00315026          
193  0.354699            0.00290667          
194  0.307503            0.00289558          
195  0.247593            0.00260022          
196  0.131135            0.00179742          
197  0.020504            0.000681809         
198  0.686071            0.0040892           
199  0.666124            0.00389882          
200  0.640885            0.00352789          
201  0.584695            0.0033406           
202  0.49983             0.00310905          
203  0.421851            0.0031047           
204  0.353417            0.00287273          
205  0.305525            0.00286646          
206  0.245123            0.00255386          
207  0.128857            0.00176108          
208  0.019874            0.000663243         
