THPREDICTIONS HERACOMBNCEP575  NNPDF30_nlo_as_0118
164  0.869775            0.00518211          
165  0.739163            0.00458432          
166  0.639795            0.0041858           
167  1.06263             0.006009            
168  1.05288             0.00589255          
169  1.03498             0.00574392          
170  1.00962             0.00559675          
171  0.970185            0.00547058          
172  0.894106            0.00523393          
173  0.759976            0.00459032          
174  0.655279            0.00415354          
175  0.558812            0.00353692          
176  0.482866            0.00346002          
177  0.416906            0.00346665          
178  0.359126            0.00308453          
179  0.317833            0.00309771          
180  0.145732            0.00209451          
181  1.01851             0.00564524          
182  1.0045              0.00554714          
183  0.985635            0.0055014           
184  0.95715             0.00539582          
185  0.921231            0.00529514          
186  0.845936            0.00499598          
187  0.774379            0.00460177          
188  0.666581            0.0041355           
189  0.566199            0.00349652          
190  0.487108            0.0034159           
191  0.418521            0.00342018          
192  0.358541            0.00305008          
193  0.315937            0.00306158          
194  0.142703            0.0020404           
195  0.978325            0.0054359           
196  0.965044            0.00539698          
197  0.945686            0.00533084          
198  0.91543             0.00526947          
199  0.87986             0.00512591          
200  0.803664            0.00474068          
201  0.6749              0.0041245           
202  0.571896            0.00346783          
203  0.490308            0.00338253          
204  0.419669            0.00338435          
205  0.358007            0.00302317          
206  0.314399            0.00303337          
207  0.140325            0.00199833          
208  0.91351             0.00519071          
209  0.896561            0.00517333          
210  0.874871            0.00507468          
211  0.847856            0.00495441          
212  0.813349            0.00474932          
213  0.740693            0.00431598          
214  0.579951            0.00342973          
215  0.494887            0.00333328          
216  0.42123             0.00333069          
217  0.357066            0.00298194          
218  0.311978            0.00299066          
219  0.136739            0.0019357           
220  0.860122            0.00500465          
221  0.842597            0.00492647          
222  0.821643            0.00480409          
223  0.795145            0.00460826          
224  0.760068            0.00440881          
225  0.69178             0.00409624          
226  0.585237            0.00340526          
227  0.497942            0.00329736          
228  0.42219             0.00329045          
229  0.356235            0.00295058          
230  0.310082            0.00295889          
231  0.25079             0.00265408          
232  0.13409             0.00188994          
233  0.0213565           0.000710881         
234  0.797555            0.00469178          
235  0.779742            0.00453979          
236  0.758305            0.00441135          
237  0.73182             0.00424271          
238  0.699801            0.00412464          
239  0.634993            0.00347443          
240  0.500741            0.00325637          
241  0.422949            0.00324272          
242  0.355119            0.00291371          
243  0.30784             0.00292226          
244  0.247731            0.00259671          
245  0.131119            0.00183903          
246  0.0205069           0.00068504          
247  0.748016            0.00440992          
248  0.730082            0.00427907          
249  0.709592            0.00416616          
250  0.683463            0.00398628          
251  0.652724            0.00357679          
252  0.590495            0.00337081          
253  0.502219            0.00322407          
254  0.423142            0.00320407          
255  0.354078            0.00288359          
256  0.30603             0.00289325          
257  0.245358            0.00255323          
258  0.128873            0.00180057          
259  0.01988             0.000666039         
