THPREDICTIONS HERA1NCEP  NNPDF30_nlo_as_0118
345  0.424894            0.00329512          
346  0.35497             0.00290154          
347  0.306428            0.0029695           
348  0.245805            0.00256575          
349  0.128979            0.00176814          
350  0.0198887           0.000645839         
351  0.819966            0.00472753          
352  0.711475            0.00404955          
353  0.717101            0.00405341          
354  0.602002            0.0034814           
355  0.507461            0.00313539          
356  0.425465            0.00324773          
357  0.354198            0.00287103          
358  0.304723            0.00294465          
359  0.243474            0.00252145          
360  0.126729            0.00173044          
361  0.019263            0.000628261         
362  0.773192            0.00452778          
363  0.791643            0.00458531          
364  0.707239            0.00406994          
365  0.715572            0.00407376          
366  0.600713            0.00348823          
367  0.603623            0.00348619          
368  0.508744            0.00310881          
369  0.425695            0.00320721          
370  0.353445            0.0028455           
371  0.303362            0.00292401          
372  0.241676            0.00248736          
373  0.124985            0.00170091          
374  0.0187845           0.000614857         
375  0.695004            0.00411357          
376  0.707442            0.00411869          
377  0.598522            0.00351473          
378  0.603245            0.00350708          
379  0.509119            0.00308033          
380  0.425463            0.00315208          
381  0.352343            0.0028129           
382  0.301681            0.00289743          
383  0.239502            0.00244698          
384  0.122972            0.00166619          
385  0.0182355           0.000599382         
386  0.588963            0.00361241          
387  0.596886            0.00358936          
388  0.502926            0.00305678          
389  0.506821            0.00305964          
390  0.423746            0.00306576          
391  0.350366            0.00276678          
392  0.299277            0.00285829          
393  0.236747            0.0023969           
394  0.120557            0.00162266          
395  0.017592            0.000581106         
396  0.485279            0.00313185          
397  0.493258            0.00310566          
398  0.411164            0.00288066          
399  0.415885            0.00291144          
400  0.345147            0.00266552          
401  0.294736            0.00278641          
402  0.232524            0.00231781          
403  0.117338            0.00156113          
404  0.0167837           0.000558834         
405  0.376067            0.0026703           
406  0.386351            0.0026906           
407  0.321115            0.0023939           
408  0.327845            0.00244463          
409  0.283195            0.00263449          
410  0.224617            0.00218261          
411  0.113081            0.00147278          
412  0.0159003           0.000535119         
413  0.275273            0.00213136          
414  0.287884            0.00217176          
415  0.247293            0.00232893          
416  0.256824            0.00239071          
417  0.203681            0.00190665          
418  0.2093              0.00196712          
419  0.107406            0.00135886          
420  0.0150716           0.000514233         
421  0.19821             0.00217871          
422  0.211796            0.00219787          
423  0.171866            0.00158662          
424  0.181869            0.00166797          
425  0.0986916           0.00120804          
426  0.0141504           0.00049489          
427  0.113519            0.00138933          
428  0.123285            0.00138719          
429  0.0712898           0.000877935         
430  0.0773638           0.000931125         
431  0.0122679           0.000477954         
432  0.0444792           0.000815676         
433  0.0506546           0.00080564          
