THPREDICTIONS CHORUSNU  NNPDF30_nlo_as_0118
259  1.5772              0.0235451           
260  1.70075             0.0311864           
261  1.66178             0.0259937           
262  1.62082             0.02466             
263  1.58436             0.0238719           
264  1.55281             0.0227261           
265  1.52582             0.0219134           
266  1.50317             0.0216412           
267  1.55268             0.0301196           
268  1.50563             0.0273901           
269  1.46656             0.0258905           
270  1.43327             0.0240744           
271  1.40478             0.0226459           
272  1.38072             0.0220721           
273  1.36048             0.021674            
274  1.37443             0.0208508           
275  1.32277             0.0204734           
276  1.28388             0.0205967           
277  1.25211             0.0197667           
278  1.22601             0.0192899           
279  1.20424             0.0190769           
280  1.18576             0.018858            
281  1.08064             0.0213337           
282  1.03094             0.017257            
283  0.995484            0.0164258           
284  0.968263            0.0156024           
285  0.946351            0.0153081           
286  0.927933            0.0150113           
287  0.912209            0.0147261           
288  0.708109            0.0170086           
289  0.665266            0.0163529           
290  0.637611            0.0156313           
291  0.616654            0.0150593           
292  0.599835            0.0146114           
293  0.585865            0.0142351           
294  0.573971            0.0139093           
295  0.394597            0.012783            
296  0.366467            0.0114023           
297  0.347918            0.0104686           
298  0.334236            0.0100003           
299  0.323428            0.00968373          
300  0.314524            0.00945034          
301  0.183615            0.010296            
302  0.167247            0.00969247          
303  0.156871            0.00921754          
304  0.14942             0.00890723          
305  0.14365             0.00866704          
306  0.138956            0.00848303          
307  1.20157             0.0406496           
308  1.31367             0.0483701           
309  1.28699             0.0432317           
310  1.2516              0.0435983           
311  1.21471             0.0412075           
312  1.17995             0.0389328           
313  1.63355             0.0488947           
314  1.61857             0.0427774           
315  1.589               0.0388068           
316  1.55061             0.0345969           
317  1.50981             0.0329627           
318  1.47044             0.0325238           
319  1.43573             0.0321544           
320  1.71851             0.0506394           
321  1.77127             0.0385648           
322  1.75358             0.03234             
323  1.71532             0.0281154           
324  1.67324             0.026481            
325  1.63289             0.0263217           
326  1.59693             0.0263201           
327  1.5669              0.0261839           
328  1.7734              0.0445229           
329  1.78709             0.0289891           
330  1.75232             0.0267217           
331  1.71165             0.0277198           
332  1.67311             0.0264487           
333  1.63863             0.0239838           
334  1.60832             0.0228909           
335  1.583               0.0224906           
336  1.73344             0.0380975           
337  1.70328             0.0276549           
338  1.65719             0.0250408           
339  1.61469             0.0239029           
340  1.57757             0.0222847           
341  1.54512             0.0216917           
342  1.51749             0.0213622           
343  1.49453             0.0211099           
344  1.6024              0.0291307           
345  1.53988             0.0288445           
346  1.49145             0.0264751           
347  1.45129             0.0241261           
348  1.41729             0.022527            
349  1.38867             0.0218811           
350  1.36433             0.0214129           
351  1.34385             0.0210535           
352  1.4363              0.0267614           
353  1.35127             0.0208993           
354  1.3008              0.0208139           
355  1.26149             0.019734            
356  1.23033             0.0192046           
357  1.20457             0.0188883           
358  1.18283             0.018595            
359  1.1644              0.0183299           
360  1.14301             0.0274178           
361  1.0533              0.0181417           
362  1.00447             0.0165724           
363  0.97022             0.0155546           
364  0.943855            0.0151527           
365  0.922298            0.0147633           
366  0.904195            0.0144108           
367  0.888708            0.0140983           
368  0.756802            0.0187218           
369  0.681811            0.0166673           
370  0.642118            0.0158501           
371  0.615414            0.0151075           
372  0.595131            0.014548            
373  0.578874            0.0140856           
374  0.565356            0.0136955           
375  0.553818            0.0133646           
376  0.427125            0.0146974           
377  0.376477            0.0121253           
378  0.350088            0.0108258           
379  0.332519            0.0101673           
380  0.319479            0.00973099          
381  0.309165            0.00941236          
382  0.300649            0.0091687           
383  0.293406            0.00897582          
384  0.205442            0.0146004           
385  0.172854            0.010301            
386  0.157786            0.00952406          
387  0.148196            0.00901397          
388  0.141262            0.00863709          
389  0.135868            0.00836839          
390  0.131461            0.00817553          
391  1.39242             0.0498533           
392  1.38267             0.0453278           
393  1.35592             0.0453152           
394  1.3221              0.0421005           
395  1.28581             0.038612            
396  1.67635             0.0448007           
397  1.66445             0.0416563           
398  1.63447             0.035839            
399  1.59455             0.0334613           
400  1.55172             0.0326958           
401  1.51094             0.0321694           
402  1.76454             0.0437363           
403  1.80434             0.0351921           
404  1.77906             0.0295018           
405  1.73757             0.026519            
406  1.69361             0.0260878           
407  1.65206             0.0259611           
408  1.61522             0.0258641           
409  1.80571             0.038654            
410  1.79976             0.0270172           
411  1.76026             0.0280107           
412  1.71815             0.0267649           
413  1.6788              0.0237414           
414  1.64276             0.02276             
415  1.61151             0.0222361           
416  1.73984             0.036686            
417  1.70131             0.0261298           
418  1.65203             0.0245356           
419  1.60867             0.0225402           
420  1.57053             0.0216596           
421  1.53761             0.0212321           
422  1.50961             0.0209341           
423  1.59545             0.029419            
424  1.52899             0.0279445           
425  1.47904             0.0251894           
426  1.438               0.0228016           
427  1.40389             0.0219448           
428  1.37492             0.0213525           
429  1.35036             0.020916            
430  1.41664             0.0236481           
431  1.3342              0.0208606           
432  1.28265             0.020301            
433  1.24381             0.0192822           
434  1.21287             0.0188524           
435  1.18712             0.0184725           
436  1.16541             0.018148            
437  1.11762             0.0232877           
438  1.03186             0.0172286           
439  0.984037            0.0157734           
440  0.950646            0.0151946           
441  0.924599            0.0146992           
442  0.903306            0.0142687           
443  0.885393            0.0139047           
444  0.735356            0.0177673           
445  0.662135            0.016449            
446  0.62432             0.0154077           
447  0.598256            0.0146958           
448  0.578503            0.0141207           
449  0.562644            0.0136476           
450  0.549422            0.013256            
451  0.4119              0.0139775           
452  0.36311             0.0117285           
453  0.337689            0.0105618           
454  0.320786            0.0099459           
455  0.308221            0.00950638          
456  0.298252            0.0091772           
457  0.289998            0.00892557          
458  0.194419            0.0115601           
459  0.164895            0.0100619           
460  0.150777            0.0093509           
461  0.141729            0.00879128          
462  0.135156            0.00839281          
463  0.130019            0.00812057          
464  0.125806            0.00793021          
465  1.44939             0.0497502           
466  1.44317             0.0469954           
467  1.41783             0.043481            
468  1.38405             0.0391026           
469  1.48501             0.0457378           
470  1.71105             0.0452915           
471  1.70404             0.0389419           
472  1.67241             0.0344789           
473  1.63021             0.033116            
474  1.58566             0.0323016           
475  1.79926             0.0412567           
476  1.82913             0.0334128           
477  1.79858             0.027472            
478  1.75479             0.0260862           
479  1.70942             0.0257402           
480  1.66679             0.0255588           
481  1.82296             0.0350244           
482  1.80834             0.0268811           
483  1.76588             0.0277705           
484  1.72269             0.0246865           
485  1.68178             0.0228056           
486  1.6448              0.0221572           
487  1.74432             0.0346905           
488  1.69756             0.0255949           
489  1.64694             0.0236317           
490  1.60258             0.0218595           
491  1.56386             0.0212575           
492  1.53053             0.0208661           
493  1.58635             0.0308317           
494  1.51899             0.0272376           
495  1.468               0.0237969           
496  1.42663             0.0222908           
497  1.39211             0.0214898           
498  1.3629              0.020931            
499  1.39931             0.0216354           
500  1.31929             0.021084            
501  1.26748             0.0196331           
502  1.22909             0.0189954           
503  1.19813             0.0185003           
504  1.17238             0.018091            
505  1.09599             0.0216247           
506  1.01417             0.0167686           
507  0.967545            0.0154523           
508  0.93449             0.0148224           
509  0.908703            0.0142835           
510  0.887585            0.013846            
511  0.717019            0.0173451           
512  0.646839            0.0161134           
513  0.609836            0.0150746           
514  0.584343            0.014342            
515  0.564989            0.0137532           
516  0.549411            0.0132791           
517  0.399469            0.0135776           
518  0.352319            0.0113381           
519  0.327759            0.0103692           
520  0.311369            0.0097554           
521  0.299154            0.00930529          
522  0.289436            0.00896948          
523  0.186151            0.0110249           
524  0.158701            0.0100301           
525  0.145269            0.00917833          
526  0.136621            0.00858559          
527  0.13031             0.0081833           
528  0.125358            0.00791547          
529  1.51611             0.0534136           
530  1.55195             0.0490121           
531  1.54773             0.0441846           
532  1.72266             0.0522592           
533  1.77545             0.0433809           
534  1.76734             0.0357593           
535  1.73161             0.0335365           
536  1.84684             0.0413051           
537  1.86398             0.0297192           
538  1.82732             0.0262272           
539  1.78033             0.0254085           
540  1.84607             0.031132            
541  1.81855             0.0282732           
542  1.77319             0.0251672           
543  1.72719             0.0226612           
544  1.74809             0.0291544           
545  1.68986             0.0247715           
546  1.63715             0.0220667           
547  1.59126             0.0211885           
548  1.57186             0.0298978           
549  1.50172             0.025444            
550  1.44929             0.0226324           
551  1.40722             0.0215294           
552  1.37381             0.0213624           
553  1.29458             0.0203716           
554  1.24352             0.0191288           
555  1.20506             0.0184201           
556  1.06537             0.0192417           
557  0.986752            0.0157816           
558  0.94138             0.0148817           
559  0.908833            0.0141556           
560  0.688812            0.016906            
561  0.623106            0.0155179           
562  0.587288            0.014513            
563  0.562617            0.0137494           
564  0.379892            0.0127874           
565  0.335806            0.0109409           
566  0.312477            0.0100569           
567  0.296824            0.00942486          
568  0.174504            0.0109861           
569  0.149391            0.0097327           
570  0.136956            0.00884615          
571  0.128865            0.00824282          
