THPREDICTIONS BCDMSP  NNPDF30_nlo_as_0118
148  0.151173            0.00238219          
149  0.148645            0.00233448          
150  0.14607             0.00228498          
151  0.143521            0.00223621          
152  0.140763            0.00218409          
153  0.138191            0.0021364           
154  0.1358              0.00209257          
155  0.133406            0.00204937          
156  0.131008            0.00200698          
157  0.128727            0.00196716          
158  0.126616            0.00193073          
159  0.0909393           0.00180719          
160  0.0886163           0.00175717          
161  0.0867022           0.00171581          
162  0.0846975           0.00167246          
163  0.0826775           0.00162911          
164  0.0807025           0.0015872           
165  0.0785938           0.00154284          
166  0.0766549           0.00150271          
167  0.0748735           0.0014666           
168  0.0731128           0.00143091          
169  0.0714161           0.00139716          
170  0.0698085           0.00136554          
171  0.0683003           0.00133615          
172  0.0667776           0.0013068           
173  0.0432943           0.001268            
174  0.0419966           0.00123689          
175  0.0406246           0.00120267          
176  0.0392865           0.00116787          
177  0.0379945           0.00113305          
178  0.0366409           0.00109569          
179  0.0354195           0.0010616           
180  0.0343166           0.00103064          
181  0.0332434           0.00100049          
182  0.0322254           0.000971873         
183  0.0312748           0.000945164         
184  0.0303949           0.000920539         
185  0.0295492           0.000896899         
186  0.0287217           0.000873897         
187  0.012848            0.000698301         
188  0.0122572           0.000666636         
189  0.0117434           0.000640157         
190  0.0112541           0.000615887         
191  0.0108006           0.00059425          
192  0.010386            0.000575164         
193  0.0100094           0.000558342         
194  0.0096538           0.00054291          
195  0.00931163          0.000528483         
196  0.396796            0.0044126           
197  0.399281            0.00434575          
198  0.377605            0.00396297          
199  0.378911            0.00391116          
200  0.380115            0.00386013          
201  0.358756            0.00354498          
202  0.358691            0.00350688          
203  0.358612            0.0034695           
204  0.358465            0.00342986          
205  0.338935            0.00362012          
206  0.337947            0.00358304          
207  0.336916            0.00354688          
208  0.335754            0.00350777          
209  0.334628            0.0034711           
210  0.333516            0.00343721          
211  0.309321            0.00365258          
212  0.307385            0.00359584          
213  0.305525            0.00354347          
214  0.303748            0.00349508          
215  0.301921            0.00344667          
216  0.300095            0.00339943          
217  0.274697            0.00317151          
218  0.272188            0.00312006          
219  0.269793            0.00307276          
220  0.267507            0.00302929          
221  0.265195            0.00298558          
222  0.262882            0.00294399          
223  0.260635            0.00290409          
224  0.258469            0.0028663           
225  0.215001            0.00276892          
226  0.212299            0.00272176          
227  0.209641            0.00267746          
228  0.20706             0.00263499          
229  0.204513            0.00259446          
230  0.202054            0.00255564          
231  0.199695            0.00251934          
232  0.197356            0.00248386          
233  0.194994            0.00244856          
234  0.140763            0.00218409          
235  0.138191            0.0021364           
236  0.1358              0.00209257          
237  0.133406            0.00204937          
238  0.131008            0.00200698          
239  0.128727            0.00196716          
240  0.126616            0.00193073          
241  0.124533            0.00189543          
242  0.122445            0.00186009          
243  0.120225            0.00182312          
244  0.0785938           0.00154284          
245  0.0766549           0.00150271          
246  0.0748735           0.0014666           
247  0.0731128           0.00143091          
248  0.0714161           0.00139716          
249  0.0698085           0.00136554          
250  0.0683003           0.00133615          
251  0.0667776           0.0013068           
252  0.0653253           0.00127903          
253  0.06379             0.00124991          
254  0.0621291           0.00121869          
255  0.0366409           0.00109569          
256  0.0354195           0.0010616           
257  0.0343166           0.00103064          
258  0.0332434           0.00100049          
259  0.0322254           0.000971873         
260  0.0312748           0.000945164         
261  0.0303949           0.000920539         
262  0.0295492           0.000896899         
263  0.0287217           0.000873897         
264  0.0278616           0.000850018         
265  0.0269079           0.000823415         
266  0.0117434           0.000640157         
267  0.0112541           0.000615887         
268  0.0108006           0.00059425          
269  0.010386            0.000575164         
270  0.0100094           0.000558342         
271  0.0096538           0.00054291          
272  0.00931163          0.000528483         
273  0.00896192          0.000514261         
274  0.00859418          0.000499396         
275  0.382648            0.00375565          
276  0.383796            0.00370672          
277  0.358311            0.0033931           
278  0.358088            0.00336001          
279  0.357792            0.0033275           
280  0.357463            0.00329609          
281  0.334628            0.0034711           
282  0.333516            0.00343721          
283  0.332375            0.00340293          
284  0.331196            0.00336976          
285  0.330005            0.00333825          
286  0.305525            0.00354347          
287  0.303748            0.00349508          
288  0.301921            0.00344667          
289  0.300095            0.00339943          
290  0.298281            0.00335484          
291  0.296521            0.00331263          
292  0.294757            0.00327113          
293  0.269793            0.00307276          
294  0.267507            0.00302929          
295  0.265195            0.00298558          
296  0.262882            0.00294399          
297  0.260635            0.00290409          
298  0.258469            0.0028663           
299  0.256303            0.00282935          
300  0.2541              0.00279284          
301  0.251719            0.00275408          
302  0.209641            0.00267746          
303  0.20706             0.00263499          
304  0.204513            0.00259446          
305  0.202054            0.00255564          
306  0.199695            0.00251934          
307  0.197356            0.00248386          
308  0.194994            0.00244856          
309  0.192463            0.00241099          
310  0.189668            0.00237018          
311  0.1358              0.00209257          
312  0.133406            0.00204937          
313  0.131008            0.00200698          
314  0.128727            0.00196716          
315  0.126616            0.00193073          
316  0.124533            0.00189543          
317  0.122445            0.00186009          
318  0.120225            0.00182312          
319  0.117798            0.00178306          
320  0.11458             0.00173066          
321  0.0748735           0.0014666           
322  0.0731128           0.00143091          
323  0.0714161           0.00139716          
324  0.0698085           0.00136554          
325  0.0683003           0.00133615          
326  0.0667776           0.0013068           
327  0.0653253           0.00127903          
328  0.06379             0.00124991          
329  0.0621291           0.00121869          
330  0.0599533           0.00117812          
331  0.057645            0.00113546          
332  0.0332434           0.00100049          
333  0.0322254           0.000971873         
334  0.0312748           0.000945164         
335  0.0303949           0.000920539         
336  0.0295492           0.000896899         
337  0.0287217           0.000873897         
338  0.0278616           0.000850018         
339  0.0269079           0.000823415         
340  0.0257266           0.00079076          
341  0.0244886           0.000756562         
342  0.0108006           0.00059425          
343  0.010386            0.000575164         
344  0.0100094           0.000558342         
345  0.0096538           0.00054291          
346  0.00931163          0.000528483         
347  0.00896192          0.000514261         
348  0.00859418          0.000499396         
349  0.00812854          0.00048073          
350  0.00764569          0.00046124          
