THPREDICTIONS CHORUSNB  NNPDF30_nlo_as_0118
238  0.667262            0.0484876           
239  1.26439             0.0497001           
240  1.169               0.0385849           
241  1.05345             0.0357878           
242  0.940205            0.0331555           
243  0.833878            0.0305886           
244  0.741368            0.0294945           
245  0.667081            0.0291292           
246  1.33956             0.0341296           
247  1.18322             0.0271193           
248  1.02447             0.0255496           
249  0.877064            0.0219054           
250  0.748631            0.0191344           
251  0.642744            0.0181916           
252  0.561578            0.0179865           
253  1.31377             0.0254332           
254  1.107               0.0242561           
255  0.917185            0.0210816           
256  0.751201            0.0187026           
257  0.612258            0.0170893           
258  0.501267            0.0159612           
259  0.418754            0.015427            
260  1.23056             0.0202372           
261  0.997376            0.0164457           
262  0.7962              0.0142017           
263  0.626544            0.0135953           
264  0.487545            0.0127169           
265  0.3784              0.0123367           
266  0.298639            0.0123417           
267  1.09408             0.0225156           
268  0.862548            0.0171815           
269  0.669165            0.0148821           
270  0.50877             0.0123834           
271  0.379014            0.0107017           
272  0.27869             0.0103574           
273  0.206269            0.0102777           
274  0.946337            0.0168442           
275  0.727407            0.0147912           
276  0.549131            0.0133853           
277  0.404555            0.0113149           
278  0.289271            0.0104113           
279  0.200707            0.0103028           
280  0.13752             0.010288            
281  0.707973            0.0169301           
282  0.52823             0.0107518           
283  0.386865            0.00996912          
284  0.274343            0.009553            
285  0.185334            0.00981106          
286  0.117865            0.0100543           
287  0.0703566           0.0102171           
288  0.434612            0.0112925           
289  0.313328            0.0082424           
290  0.221666            0.00690151          
291  0.150024            0.00639064          
292  0.0945794           0.0063609           
293  0.0531881           0.0065227           
294  0.0245038           0.00670038          
295  0.231153            0.00867377          
296  0.160754            0.00592677          
297  0.109818            0.00437677          
298  0.0711211           0.00373569          
299  0.0417681           0.00360205          
300  0.0202001           0.00370678          
301  0.104881            0.00685702          
302  0.0703474           0.00494857          
303  0.0468557           0.00391482          
304  0.0294876           0.00354717          
305  0.0166057           0.00346844          
306  0.00730869          0.00352942          
307  1.027               0.0409178           
308  1.0278              0.0471656           
309  0.954484            0.0456917           
310  0.875597            0.0497948           
311  0.803232            0.0502752           
312  0.741421            0.0502427           
313  1.32714             0.0451206           
314  1.22485             0.0378668           
315  1.10865             0.0338944           
316  0.989014            0.0308562           
317  0.878756            0.029609            
318  0.783951            0.0292607           
319  0.707479            0.0290768           
320  1.50038             0.046581            
321  1.37657             0.0309468           
322  1.21474             0.0275397           
323  1.04992             0.0225339           
324  0.898917            0.0192476           
325  0.768033            0.0181972           
326  0.660577            0.0179489           
327  0.578566            0.018018            
328  1.53856             0.0302205           
329  1.32757             0.0263109           
330  1.11657             0.0228565           
331  0.924206            0.0195343           
332  0.757453            0.0171069           
333  0.61809             0.0156569           
334  0.506514            0.0151124           
335  0.423481            0.0147519           
336  1.49172             0.0291652           
337  1.227               0.0189166           
338  0.993227            0.0153658           
339  0.792637            0.0141161           
340  0.623825            0.012587            
341  0.4855              0.0121165           
342  0.377131            0.0120026           
343  0.298006            0.0120156           
344  1.36981             0.0254074           
345  1.08232             0.0202405           
346  0.852871            0.0162395           
347  0.661105            0.0127906           
348  0.502565            0.0106892           
349  0.374692            0.0100674           
350  0.275556            0.00986561          
351  0.204078            0.00983636          
352  1.20143             0.0222711           
353  0.929743            0.0171935           
354  0.713428            0.0147158           
355  0.538999            0.0117889           
356  0.397226            0.0105355           
357  0.283989            0.0101173           
358  0.19713             0.0099692           
359  0.135184            0.0099261           
360  0.923337            0.0195431           
361  0.689516            0.0131383           
362  0.51509             0.0106244           
363  0.378013            0.00963878          
364  0.267894            0.00954667          
365  0.181105            0.00961498          
366  0.115303            0.00973801          
367  0.0689731           0.0098333           
368  0.589122            0.0160915           
369  0.418441            0.0101801           
370  0.302602            0.00794679          
371  0.214252            0.00676497          
372  0.145132            0.00629842          
373  0.0915993           0.00624367          
374  0.0516186           0.00636992          
375  0.0238975           0.00651921          
376  0.327964            0.0128149           
377  0.219185            0.00773548          
378  0.153147            0.00540721          
379  0.104815            0.0041865           
380  0.0679792           0.00363422          
381  0.0399674           0.00351645          
382  0.0193567           0.00360952          
383  0.00527163          0.00374811          
384  0.155811            0.0111107           
385  0.0975234           0.00628479          
386  0.0661195           0.00461389          
387  0.044125            0.00380435          
388  0.0278505           0.00342131          
389  0.0157318           0.00333164          
390  0.00696388          0.00339002          
391  1.15753             0.0491653           
392  1.09679             0.0468842           
393  1.01852             0.0513257           
394  0.940303            0.0516482           
395  0.867145            0.0510855           
396  1.37448             0.0411855           
397  1.27335             0.0365942           
398  1.15072             0.0319808           
399  1.02724             0.0300262           
400  0.913998            0.0293299           
401  0.816197            0.0290053           
402  1.53282             0.0377732           
403  1.40653             0.0296764           
404  1.23744             0.0254199           
405  1.06873             0.0204351           
406  0.915042            0.0186416           
407  0.782339            0.0180203           
408  0.673581            0.0179121           
409  1.55304             0.0342193           
410  1.33714             0.0258699           
411  1.12266             0.0213971           
412  0.929186            0.0181099           
413  0.761798            0.0159605           
414  0.621445            0.015015            
415  0.509499            0.0145484           
416  1.49026             0.0262863           
417  1.22301             0.018253            
418  0.989324            0.0154415           
419  0.789374            0.0132435           
420  0.621092            0.0122177           
421  0.483519            0.0118165           
422  0.375677            0.0117257           
423  1.35585             0.0279061           
424  1.07286             0.0191428           
425  0.844611            0.0148607           
426  0.654382            0.011488            
427  0.49755             0.010257            
428  0.370878            0.00970022          
429  0.272751            0.00952833          
430  1.18666             0.0210342           
431  0.915039            0.0167277           
432  0.702557            0.0136914           
433  0.531016            0.0111823           
434  0.39126             0.0102564           
435  0.279723            0.00981406          
436  0.194195            0.00965156          
437  0.907588            0.0176438           
438  0.675323            0.0121488           
439  0.505494            0.0102377           
440  0.370635            0.00959121          
441  0.262691            0.00934256          
442  0.177623            0.00932176          
443  0.113139            0.0094055           
444  0.571077            0.0149698           
445  0.406323            0.00987972          
446  0.294273            0.00775495          
447  0.208453            0.0066473           
448  0.141261            0.00617435          
449  0.0892051           0.00610012          
450  0.0503205           0.00621007          
451  0.312004            0.0117522           
452  0.210527            0.00728424          
453  0.147443            0.00517868          
454  0.101033            0.0040619           
455  0.0655672           0.00353875          
456  0.0385662           0.00342088          
457  0.0186877           0.00350761          
458  0.145363            0.00938744          
459  0.0924924           0.0059036           
460  0.0629592           0.00448714          
461  0.0421237           0.00368332          
462  0.0266389           0.0033027           
463  0.0150812           0.00321998          
464  0.00670716          0.00328457          
465  1.21765             0.0489552           
466  1.15493             0.0512884           
467  1.0767              0.0522952           
468  0.996878            0.0516429           
469  1.40892             0.0455533           
470  1.41577             0.0409706           
471  1.31294             0.0343469           
472  1.18519             0.0309945           
473  1.05847             0.029628            
474  0.941903            0.0290051           
475  1.56167             0.0372503           
476  1.42979             0.0300196           
477  1.25522             0.0231794           
478  1.08338             0.01975             
479  0.927577            0.0184009           
480  0.793278            0.0179148           
481  1.56327             0.0303618           
482  1.34414             0.0252915           
483  1.12719             0.0203845           
484  0.932811            0.0169847           
485  0.764325            0.0153822           
486  0.623537            0.0145519           
487  1.48934             0.0252408           
488  1.21936             0.017273            
489  0.985802            0.0149256           
490  0.786219            0.0128596           
491  0.618586            0.0119414           
492  0.481502            0.0115688           
493  1.34398             0.0258145           
494  1.0645              0.0183451           
495  0.837192            0.013501            
496  0.648812            0.0111214           
497  0.493134            0.00995162          
498  0.367495            0.00942002          
499  1.17493             0.0197131           
500  0.903236            0.0166274           
501  0.693994            0.0126549           
502  0.524306            0.0109252           
503  0.386263            0.00998423          
504  0.276117            0.00953295          
505  0.892769            0.018367            
506  0.663787            0.011943            
507  0.497064            0.0101652           
508  0.364482            0.00942222          
509  0.258308            0.00908707          
510  0.174657            0.0090358           
511  0.556803            0.0140287           
512  0.396797            0.00962449          
513  0.287497            0.00761861          
514  0.203698            0.00652155          
515  0.138061            0.00603964          
516  0.0872026           0.00595845          
517  0.30009             0.0110155           
518  0.203768            0.00690326          
519  0.142922            0.00502468          
520  0.0979978           0.00395398          
521  0.0636156           0.00344168          
522  0.0374233           0.00332684          
523  0.137675            0.00877536          
524  0.0887227           0.00572279          
525  0.0605127           0.00437182          
526  0.0405586           0.00357104          
527  0.0256854           0.00320303          
528  0.0145664           0.00313287          
529  1.34268             0.0523645           
530  1.32055             0.0521985           
531  1.25522             0.0531378           
532  1.52186             0.0490972           
533  1.48757             0.0384454           
534  1.37345             0.0323498           
535  1.23902             0.0300219           
536  1.60565             0.035699            
537  1.46354             0.0275165           
538  1.2816              0.0214915           
539  1.10507             0.0191453           
540  1.57965             0.028664            
541  1.3529              0.0232839           
542  1.1334              0.018418            
543  0.936814            0.0159086           
544  1.48444             0.0223003           
545  1.21249             0.017173            
546  0.979384            0.0140286           
547  0.780637            0.0123746           
548  1.32755             0.0234123           
549  1.05041             0.0166144           
550  0.825713            0.0126012           
551  0.639388            0.0106247           
552  1.15306             0.0199254           
553  0.884789            0.0152931           
554  0.679929            0.0121119           
555  0.513492            0.0104456           
556  0.868165            0.0168111           
557  0.646552            0.01141             
558  0.483704            0.00990605          
559  0.354552            0.00900368          
560  0.534223            0.0126658           
561  0.38198             0.00926263          
562  0.276879            0.00735993          
563  0.196185            0.0062661           
564  0.283092            0.00975976          
565  0.193584            0.00649495          
566  0.136012            0.00478923          
567  0.0933099           0.00375913          
568  0.127056            0.00780294          
569  0.0830516           0.00546749          
570  0.0568755           0.00415869          
571  0.0382077           0.00339063          
