1 442 478 1 0.9799 1.1328e+00 0.3159 0.3846 0.2728 0.9660 0.2869 0.1526 1.5054 3.9251 0.0017 0.0017 0.0435 0.0254 0.0166 0.0132 0.0231 0.0259 0.0500 0.0557 0.0935 0.0060 0.0021 0.0061 0.0063 0.0146 0.0216 0.0441 0.1070 0.2222 0.4167 0.3513 0.0326 0.0023 -0.0053 0.0299 0.0708 0.0166 0.0041 -0.0176 -0.0091 -0.0027 0.0000 0.0738 0.5064 0.1854 0.3985 0.3847 0.4809 0.3519 0.3055 0.3525 0.2850 0.1014 0.0579 0.9323 0.8507 -0.3379 -0.2392 -0.9000 0.0000 0.1055 0.0074 0.0540 0.2612 0.1549 0.0083 0.8585 0.0373 0.0100 0.5000 1.8000 
1 478 516 1 0.9806 6.7721e-01 0.2697 0.2495 0.1260 0.9217 0.2654 0.1451 1.2951 4.1209 0.0017 0.0017 0.0407 0.0254 0.0155 0.0148 0.0219 0.0242 0.0434 0.0463 0.0779 0.0063 0.0029 0.0063 0.0061 0.0145 0.0218 0.0395 0.0902 0.1912 0.4074 0.4431 0.1479 0.0017 -0.0046 0.0263 0.0659 0.0225 0.0140 -0.0192 -0.0164 -0.0040 0.0000 0.0661 0.6329 0.1848 0.4275 0.4187 0.4990 0.3832 0.2870 0.3420 0.2791 0.1057 0.0521 0.9731 0.8259 -0.1027 -0.0965 -0.7198 0.0000 0.0919 0.0079 0.0482 0.2261 0.1279 0.0095 0.8430 0.0365 0.0091 0.5000 1.8000 
1 516 556 1 0.9812 4.0486e-01 0.3390 0.2737 0.0406 0.8695 0.2209 0.1382 1.1104 4.4415 0.0017 0.0016 0.0427 0.0246 0.0148 0.0165 0.0221 0.0248 0.0392 0.0405 0.0681 0.0069 0.0035 0.0069 0.0063 0.0158 0.0219 0.0368 0.0792 0.1629 0.3886 0.4744 0.3243 0.0015 -0.0039 0.0217 0.0590 0.0267 0.0334 -0.0069 -0.0214 -0.0051 0.0000 0.0646 0.8922 0.1973 0.4726 0.5072 0.5316 0.4384 0.2910 0.3319 0.2757 0.1115 0.0517 1.0279 0.7896 0.0399 -0.0179 -0.7552 0.0000 0.0836 0.0089 0.0476 0.1954 0.1092 0.0105 0.8394 0.0370 0.0071 0.5000 1.8000 
1 556 598 1 0.9818 2.4107e-01 0.4346 0.2445 0.0053 0.8271 0.2370 0.1322 0.9566 4.8167 0.0016 0.0016 0.0518 0.0238 0.0155 0.0173 0.0250 0.0294 0.0383 0.0415 0.0635 0.0073 0.0040 0.0079 0.0069 0.0183 0.0213 0.0357 0.0748 0.1507 0.3886 0.4573 0.5501 0.0014 -0.0033 0.0172 0.0526 0.0289 0.0565 0.0291 -0.0192 -0.0043 0.0000 0.0720 1.3155 0.2441 0.5527 0.6865 0.5937 0.5313 0.3484 0.3396 0.2902 0.1181 0.0567 1.1019 0.7550 0.0964 0.0039 -0.8926 0.0000 0.0809 0.0099 0.0526 0.1793 0.0991 0.0105 0.8465 0.0395 0.0126 0.5000 1.8000 
1 598 642 1 0.9823 1.4318e-01 0.5428 0.2138 -0.0039 0.7952 0.3058 0.1221 0.8296 5.0545 0.0015 0.0015 0.0659 0.0227 0.0185 0.0171 0.0303 0.0368 0.0399 0.0499 0.0599 0.0073 0.0043 0.0084 0.0073 0.0219 0.0198 0.0341 0.0720 0.1512 0.4098 0.4071 0.7881 0.0012 -0.0029 0.0133 0.0456 0.0280 0.0780 0.0892 -0.0020 0.0012 0.0000 0.0850 1.8960 0.3235 0.6671 0.9643 0.6822 0.6528 0.4629 0.3615 0.3189 0.1213 0.0649 1.1855 0.7217 0.1029 -0.0052 -0.9803 0.0001 0.0793 0.0102 0.0593 0.1756 0.0918 0.0099 0.8575 0.0446 0.0034 0.5000 1.8000 
1 642 688 1 0.9827 8.5768e-02 0.6739 0.2184 -0.0042 0.7676 0.2862 0.1063 0.7249 5.2658 0.0015 0.0015 0.0809 0.0208 0.0245 0.0161 0.0367 0.0442 0.0427 0.0633 0.0549 0.0069 0.0044 0.0082 0.0070 0.0263 0.0178 0.0313 0.0674 0.1559 0.4427 0.3432 0.9990 0.0009 -0.0027 0.0101 0.0376 0.0245 0.0924 0.1652 0.0373 0.0136 0.0000 0.0991 2.6051 0.4237 0.8056 1.3246 0.7879 0.7865 0.6242 0.3871 0.3515 0.1184 0.0731 1.2687 0.6852 0.0939 -0.0155 -0.9669 0.0003 0.0753 0.0098 0.0640 0.1791 0.0835 0.0090 0.8669 0.0504 0.0002 0.5000 1.8000 
1 688 736 1 0.9832 5.1338e-02 0.8879 0.2280 -0.0028 0.7426 0.3497 0.0866 0.6466 5.3533 0.0015 0.0015 0.0931 0.0182 0.0339 0.0145 0.0429 0.0508 0.0453 0.0786 0.0488 0.0062 0.0041 0.0076 0.0065 0.0305 0.0156 0.0277 0.0606 0.1601 0.4833 0.2862 1.1650 0.0007 -0.0025 0.0076 0.0297 0.0199 0.0974 0.2483 0.1004 0.0320 0.0000 0.1114 3.3997 0.5391 0.9630 1.7403 0.9089 0.9256 0.8246 0.4143 0.3857 0.1097 0.0792 1.3511 0.6496 0.0889 -0.0199 -0.9032 0.0009 0.0684 0.0091 0.0661 0.1871 0.0732 0.0079 0.8749 0.0548 0.0284 0.5000 1.8000 
1 736 786 1 0.9835 3.0330e-02 1.0978 0.2510 -0.0018 0.7236 0.3341 0.0670 0.6030 5.6581 0.0016 0.0016 0.1023 0.0153 0.0460 0.0127 0.0481 0.0576 0.0469 0.0949 0.0425 0.0055 0.0036 0.0070 0.0061 0.0342 0.0133 0.0238 0.0524 0.1634 0.5328 0.2513 1.2873 0.0006 -0.0025 0.0057 0.0227 0.0154 0.0953 0.3344 0.1839 0.0539 0.0000 0.1219 4.2277 0.6683 1.1370 2.1842 1.0459 1.0695 1.0565 0.4475 0.4252 0.0985 0.0834 1.4376 0.6235 0.0919 -0.0195 -0.8724 0.0023 0.0598 0.0086 0.0676 0.1997 0.0624 0.0069 0.8943 0.0574 0.0164 0.5000 1.8000 
1 786 838 1 0.9839 1.7885e-02 1.3710 0.2301 -0.0013 0.7114 0.4146 0.0516 0.5968 5.7137 0.0018 0.0018 0.1104 0.0129 0.0594 0.0114 0.0528 0.0649 0.0487 0.1125 0.0375 0.0048 0.0030 0.0065 0.0058 0.0382 0.0114 0.0204 0.0451 0.1677 0.5898 0.2446 1.3702 0.0005 -0.0024 0.0045 0.0177 0.0120 0.0897 0.4180 0.2800 0.0772 0.0000 0.1321 5.0331 0.8023 1.3173 2.6294 1.1902 1.2105 1.3026 0.4869 0.4691 0.0884 0.0873 1.5270 0.6099 0.0976 -0.0171 -0.9210 0.0052 0.0521 0.0084 0.0708 0.2185 0.0534 0.0062 0.9345 0.0592 0.0186 0.5000 1.8000 
1 838 894 1 0.9842 1.0787e-02 1.6157 0.2536 -0.0010 0.7016 0.4684 0.0423 0.6209 5.9370 0.0021 0.0021 0.1187 0.0115 0.0733 0.0107 0.0578 0.0724 0.0519 0.1314 0.0345 0.0043 0.0025 0.0063 0.0058 0.0431 0.0102 0.0183 0.0402 0.1737 0.6471 0.2627 1.4172 0.0005 -0.0022 0.0037 0.0148 0.0099 0.0837 0.4929 0.3789 0.1009 0.0000 0.1429 5.7753 0.9262 1.4883 3.0527 1.3277 1.3374 1.5421 0.5263 0.5115 0.0812 0.0916 1.6121 0.6041 0.1002 -0.0148 -1.0158 0.0345 0.0469 0.0083 0.0761 0.2433 0.0475 0.0059 0.9935 0.0611 0.0290 0.5000 1.8000 
1 894 952 1 0.9844 5.9956e-03 2.2817 0.2931 -0.0008 0.6903 0.5257 0.0383 0.6660 5.9899 0.0022 0.0022 0.1273 0.0112 0.0878 0.0105 0.0635 0.0802 0.0568 0.1512 0.0331 0.0040 0.0021 0.0060 0.0059 0.0490 0.0097 0.0175 0.0376 0.1813 0.6980 0.2969 1.4356 0.0005 -0.0019 0.0034 0.0134 0.0087 0.0785 0.5558 0.4735 0.1240 0.0000 0.1540 6.4330 1.0310 1.6382 3.4345 1.4480 1.4438 1.7590 0.5628 0.5495 0.0768 0.0972 1.6866 0.6027 0.0979 -0.0134 -1.0530 -0.1604 0.0441 0.0081 0.0833 0.2718 0.0444 0.0060 1.0699 0.0630 0.0272 0.5000 1.8000 
1 952 1012 1 0.9847 3.3777e-03 3.1215 0.3567 -0.0008 0.6776 0.5162 0.0368 0.7274 6.1822 0.0021 0.0021 0.1370 0.0112 0.1035 0.0103 0.0698 0.0887 0.0627 0.1724 0.0317 0.0037 0.0019 0.0057 0.0058 0.0552 0.0095 0.0173 0.0360 0.1910 0.7439 0.3400 1.4407 0.0005 -0.0016 0.0033 0.0128 0.0080 0.0747 0.6119 0.5640 0.1468 0.0000 0.1659 7.0267 1.1224 1.7699 3.7772 1.5532 1.5345 1.9540 0.6003 0.5881 0.0743 0.1046 1.7529 0.6076 0.0915 -0.0126 -0.9307 -1.1491 0.0424 0.0076 0.0916 0.3026 0.0423 0.0061 1.1598 0.0645 0.0874 0.5000 1.8000 
