#: table_doi: 10.17182/hepdata.84154.v2/t118
#: name: Table 118
#: description: Relative systematics-only correlation matrix of the full phase-space differential cross-section as a function of the the scalar sum of the hadronic and leptonic top-quark transverse momenta $H_{T}^{t\bar{t}}$.

#: data_file: Table_118.yaml
#: keyword reactions: P P --> TOP TOPBAR X
#: keyword phrases: Inclusive | Top | Proton-Proton Scattering | Top Production
#: keyword cmenergies: 8000.0
#: RE,P P --> TOP TOPBAR X
#: SQRT(S) [GeV],8000.0
H_{T}^{t\bar{t}} bin,H_{T}^{t\bar{t}} bin,
8,9,0.923112910647
9,9,1.0
10,9,0.858216579439
11,9,0.969493417026
12,9,0.971574982797
13,9,0.961956908329
14,9,0.883803999929
15,9,-0.215198785369
1,10,0.383420899305
2,10,-0.614175054027
3,10,-0.67942443641
4,10,-0.617917378867
5,10,-0.05315281321
6,10,0.659741888918
7,10,0.796917567833
8,10,0.822671864518
9,10,0.858216579439
10,10,1.0
11,10,0.939061491031
12,10,0.820271869303
13,10,0.766801471975
14,10,0.934184178282
15,10,0.231819101052
1,11,0.586008151057
2,11,-0.644240791597
3,11,-0.807397821615
4,11,-0.794952913397
5,11,-0.16528143204
6,11,0.705491313005
7,11,0.870135869123
8,11,0.906941960285
9,11,0.969493417026
10,11,0.939061491031
11,11,1.0
12,11,0.938492137455
13,11,0.911390168285
14,11,0.946353391114
15,11,-0.0216570138074
1,12,0.781405497916
2,12,-0.610564743889
3,12,-0.871689952031
4,12,-0.925077473502
5,12,-0.316984966095
6,12,0.672552115866
7,12,0.879560933585
8,12,0.904923734211
9,12,0.971574982797
10,12,0.820271869303
11,12,0.938492137455
12,12,1.0
13,12,0.985737914699
14,12,0.851226917176
15,12,-0.283285442348
1,13,0.819986036424
2,13,-0.600713431331
3,13,-0.885795376345
4,13,-0.955443388644
5,13,-0.344964526446
6,13,0.676064003399
7,13,0.885533480302
8,13,0.915994537462
9,13,0.961956908329
10,13,0.766801471975
11,13,0.911390168285
12,13,0.985737914699
13,13,1.0
14,13,0.826583634393
15,13,-0.358202215979
1,14,0.43483814175
2,14,-0.577129128394
3,14,-0.690860094536
4,14,-0.685161294833
5,14,-0.12653425251
6,14,0.66035911606
7,14,0.811246560666
8,14,0.837591571517
9,14,0.883803999929
10,14,0.934184178282
11,14,0.946353391114
12,14,0.851226917176
13,14,0.826583634393
14,14,1.0
15,14,0.202638265285
1,15,-0.669855769101
2,15,0.147503839115
3,15,0.419327303539
4,15,0.506274632469
5,15,0.297193185939
6,15,-0.142989314419
7,15,-0.228000174419
8,15,-0.238662327472
9,15,-0.215198785369
10,15,0.231819101052
11,15,-0.0216570138074
12,15,-0.283285442348
13,15,-0.358202215979
14,15,0.202638265285
15,15,1.0

