#: table_doi: 10.17182/hepdata.84154.v2/t58
#: name: Table 58
#: description: Relative systematics-only correlation matrix of the fiducial phase-space differential cross-section as a function of the the hadronic top-quark transverse momentum $p_{T}^{t}$.

#: data_file: Table_58.yaml
#: keyword reactions: P P --> TOP TOPBAR X
#: keyword phrases: Inclusive | Top | Proton-Proton Scattering | Top Production
#: keyword cmenergies: 8000.0
#: RE,P P --> TOP TOPBAR X
#: SQRT(S) [GeV],8000.0
p_{T}^{t} bin,p_{T}^{t} bin,
5,13,-0.576854836423
6,13,0.0179059808234
7,13,0.25584270217
8,13,0.468682978053
9,13,0.724494999614
10,13,0.815542934299
11,13,0.758159060096
12,13,0.665396518596
13,13,1.0
14,13,0.817952998037
15,13,0.449550314183
1,14,-0.586289749777
2,14,-0.439763919759
3,14,-0.606014816712
4,14,-0.266955147696
5,14,-0.365669354543
6,14,0.271415765961
7,14,0.600059123071
8,14,0.58510706981
9,14,0.696877542278
10,14,0.885609297914
11,14,0.831354440092
12,14,0.507718107102
13,14,0.817952998037
14,14,1.0
15,14,0.349610178932
1,15,0.251274162611
2,15,0.0809344551137
3,15,0.188692261166
4,15,-0.523531912368
5,15,-0.176803447701
6,15,-0.314924913075
7,15,-0.147183170991
8,15,0.195425898745
9,15,0.14876452463
10,15,0.177896289549
11,15,-0.0245595801982
12,15,0.682545282112
13,15,0.449550314183
14,15,0.349610178932
15,15,1.0

