#: table_doi: 10.17182/hepdata.84154.v2/t77
#: name: Table 77
#: description: Absolute systematics-only correlation matrix of the fiducial phase-space differential cross-section as a function of the longitudinal boost $y_{boost}^{t\bar{t}}$.

#: data_file: Table_77.yaml
#: keyword reactions: P P --> TOP TOPBAR X
#: keyword phrases: Inclusive | Top | Proton-Proton Scattering | Top Production
#: keyword cmenergies: 8000.0
#: RE,P P --> TOP TOPBAR X
#: SQRT(S) [GeV],8000.0
y_{boost}^{t\bar{t}} bin,y_{boost}^{t\bar{t}} bin,
12,15,0.994217599977
13,15,0.992906199564
14,15,0.992286300253
15,15,1.0
16,15,0.989296999219
1,16,0.979007471196
2,16,0.975754384707
3,16,0.981937638974
4,16,0.979025274191
5,16,0.981609558784
6,16,0.986274493592
7,16,0.983153970469
8,16,0.982425387698
9,16,0.987394093164
10,16,0.984390277752
11,16,0.991344567773
12,16,0.992155943521
13,16,0.994247221617
14,16,0.994823824536
15,16,0.989296999219
16,16,1.0

