#: table_doi: 10.17182/hepdata.84154.v2/t76
#: name: Table 76
#: description: Relative statistics-only correlation matrix of the fiducial phase-space differential cross-section as a function of the longitudinal boost $y_{boost}^{t\bar{t}}$.

#: data_file: Table_76.yaml
#: keyword reactions: P P --> TOP TOPBAR X
#: keyword phrases: Inclusive | Top | Proton-Proton Scattering | Top Production
#: keyword cmenergies: 8000.0
#: RE,P P --> TOP TOPBAR X
#: SQRT(S) [GeV],8000.0
y_{boost}^{t\bar{t}} bin,y_{boost}^{t\bar{t}} bin,
3,6,-0.116793471681
4,6,-0.3132076758
5,6,0.0542128396639
6,6,1.0
7,6,0.0700261518039
8,6,-0.294906974118
9,6,-0.103108399718
10,6,-0.035919112146
11,6,-0.0563175769152
12,6,-0.0419074567347
13,6,-0.0550521036323
14,6,-0.0365337208856
15,6,-0.0206589897344
16,6,-0.0261704270451
1,7,-0.076936300765
2,7,-0.0645171879366
3,7,-0.055529551014
4,7,-0.124204564084
5,7,-0.312843612974
6,7,0.0700261518039
7,7,1.0
8,7,0.0791628487382
9,7,-0.287037152343
10,7,-0.0824941468832
11,7,-0.024370193877
12,7,-0.0429162946332
13,7,-0.0335022155987
14,7,-0.0306671327281
15,7,-0.0299146914604
16,7,-0.0403755353615
1,8,-0.0786662831956
2,8,-0.0777474505005
3,8,-0.058728154705
4,8,-0.0287713256435
5,8,-0.145378359403
6,8,-0.294906974118
7,8,0.0791628487382
8,8,1.0
9,8,0.0835385383228
10,8,-0.286115209685
11,8,-0.0807859687431
12,8,-0.000452855552444
13,8,-0.0165565001723
14,8,-0.0298948262979
15,8,-0.0230848549347
16,8,-0.0417889725119
1,9,-0.0665595029392
2,9,-0.0641309546993
3,9,-0.0544811783752
4,9,-0.0597505425077
5,9,-0.0292675414706
6,9,-0.103108399718
7,9,-0.287037152343
8,9,0.0835385383228
9,9,1.0
10,9,0.0890431987896
11,9,-0.262220081346
12,9,-0.0850191566119
13,9,-0.0204096534865
14,9,-0.0279517690074
15,9,-0.0363527766603
16,9,-0.0326092710712
1,10,-0.0469556610971
2,10,-0.064425896653
3,10,-0.063647602034
4,10,-0.0638518397414
5,10,-0.0280554840584
6,10,-0.035919112146
7,10,-0.0824941468832
8,10,-0.286115209685
9,10,0.0890431987896
10,10,1.0
11,10,0.122118919376
12,10,-0.275344190647
13,10,-0.104685389379
14,10,-0.00287288227621
15,10,-0.00553235766442
16,10,-0.0288306079232
1,11,-0.0570469694007
2,11,-0.0480641050755
3,11,-0.064035721647
4,11,-0.0419587558738
5,11,-0.0418705170965
6,11,-0.0563175769152
7,11,-0.024370193877
8,11,-0.0807859687431
9,11,-0.262220081346
10,11,0.122118919376
11,11,1.0
12,11,0.114422827404
13,11,-0.253721984339
14,11,-0.0863357613333
15,11,0.0119064874895
16,11,-0.0410858821699
1,12,-0.0478854554903
2,12,-0.0605197216667
3,12,-0.0605984890604
4,12,-0.0390015841605
5,12,-0.0349511394785
6,12,-0.0419074567347
7,12,-0.0429162946332
8,12,-0.000452855552444
9,12,-0.0850191566119
10,12,-0.275344190647
11,12,0.114422827404
12,12,1.0
13,12,0.152988691176
14,12,-0.243065644929
15,12,-0.0724189992424
16,12,-0.0051645212508
1,13,-0.0400028174375
2,13,-0.0583230218799
3,13,-0.0404071780121
4,13,-0.0285460834973
5,13,-0.0511001119457
6,13,-0.0550521036323
7,13,-0.0335022155987
8,13,-0.0165565001723
9,13,-0.0204096534865
10,13,-0.104685389379
11,13,-0.253721984339
12,13,0.152988691176
13,13,1.0
14,13,0.163915950386
15,13,-0.237173219297
16,13,-0.0103300448055
1,14,-0.0229041898138
2,14,-0.0558119281684
3,14,-0.0412735054724
4,14,-0.0338248001139
5,14,-0.0359060345235
6,14,-0.0365337208856
7,14,-0.0306671327281
8,14,-0.0298948262979
9,14,-0.0279517690074
10,14,-0.00287288227621
11,14,-0.0863357613333
12,14,-0.243065644929
13,14,0.163915950386
14,14,1.0
15,14,0.17745513865
16,14,-0.185669368506
1,15,-0.00771907908615
2,15,-0.0425806358936
3,15,-0.0378422434306
4,15,-0.0312801846554
5,15,-0.0298005530512
6,15,-0.0206589897344
7,15,-0.0299146914604
8,15,-0.0230848549347
9,15,-0.0363527766603
10,15,-0.00553235766442
11,15,0.0119064874895
12,15,-0.0724189992424
13,15,-0.237173219297
14,15,0.17745513865
15,15,1.0
16,15,-0.158578486925
1,16,-0.0354112970301
2,16,-0.0616283781044
3,16,-0.0194509611812
4,16,-0.0252751029069
5,16,-0.0362690406842
6,16,-0.0261704270451
7,16,-0.0403755353615
8,16,-0.0417889725119
9,16,-0.0326092710712
10,16,-0.0288306079232
11,16,-0.0410858821699
12,16,-0.0051645212508
13,16,-0.0103300448055
14,16,-0.185669368506
15,16,-0.158578486925
16,16,1.0

