#: table_doi: 10.17182/hepdata.84154.v2/t52
#: name: Table 52
#: description: Relative statistics-only correlation matrix of the fiducial phase-space differential cross-section as a function of the the $t\bar{t$}$ system absolute rapidity $|y^{t\bar{t}}|$.

#: data_file: Table_52.yaml
#: keyword reactions: P P --> TOP TOPBAR X
#: keyword phrases: Inclusive | Top | Proton-Proton Scattering | Top Production
#: keyword cmenergies: 8000.0
#: RE,P P --> TOP TOPBAR X
#: SQRT(S) [GeV],8000.0
|y^{t\bar{t}}| bin,|y^{t\bar{t}}| bin,
6,14,-0.037038304032
7,14,-0.0459305510665
8,14,-0.0325521863061
9,14,-0.0123329293695
10,14,-0.00744239282589
11,14,-0.087463474269
12,14,-0.25021334892
13,14,0.160216519377
14,14,1.0
15,14,0.167921447489
16,14,-0.250076556384
17,14,-0.0458563327923
18,14,0.00938898264205
1,15,-0.0323649570225
2,15,-0.0186099765802
3,15,-0.0317436549781
4,15,-0.0301664619894
5,15,-0.0356181672437
6,15,-0.037821087697
7,15,-0.0251923861561
8,15,-0.0336882340133
9,15,-0.0269969620375
10,15,-0.00939280525388
11,15,-0.00315779976779
12,15,-0.0649383907368
13,15,-0.246050903954
14,15,0.167921447489
15,15,1.0
16,15,0.204875042741
17,15,-0.209858286163
18,15,-0.00266912969833
1,16,-0.0171081549608
2,16,-0.0154353565732
3,16,-0.0256289705013
4,16,-0.0482087069448
5,16,-0.0339245023484
6,16,-0.0234272471371
7,16,-0.0114517842818
8,16,-0.0195402532495
9,16,-0.0117887322125
10,16,-0.0175852820266
11,16,0.001039434092
12,16,0.00194732903178
13,16,-0.0801898712398
14,16,-0.250076556384
15,16,0.204875042741
16,16,1.0
17,16,-0.032212247057
18,16,-0.124141424927
1,17,0.000451136214857
2,17,-0.0445588574947
3,17,-0.0272362461098
4,17,-0.0294338802795
5,17,-0.0177982054506
6,17,-0.00953699524552
7,17,-0.00977698563947
8,17,-0.0179319415071
9,17,-0.0194882226015
10,17,-0.037182572092
11,17,-0.0305279240631
12,17,-0.0201630814289
13,17,0.00807330554187
14,17,-0.0458563327923
15,17,-0.209858286163
16,17,-0.032212247057
17,17,1.0
18,17,-0.118398853763
1,18,-0.0354166310791
2,18,-0.000116574991183
3,18,-0.00973868116969
4,18,-0.0245458973686
5,18,-0.0232038441712
6,18,-0.00427533480441
7,18,-0.00452650643948
8,18,-0.0122293471173
9,18,-0.00211405339572
10,18,-0.00553538289625
11,18,-0.00341901089257
12,18,-0.0124365925682
13,18,-0.0086948566838
14,18,0.00938898264205
15,18,-0.00266912969833
16,18,-0.124141424927
17,18,-0.118398853763
18,18,1.0

