#: table_doi: 10.17182/hepdata.84154.v2/t72
#: name: Table 72
#: description: Relative statistics-only correlation matrix of the fiducial phase-space differential cross-section as a function of the the scalar sum of the hadronic and leptonic top-quark transverse momenta $H_{T}^{t\bar{t}}$.

#: data_file: Table_72.yaml
#: keyword reactions: P P --> TOP TOPBAR X
#: keyword phrases: Inclusive | Top | Proton-Proton Scattering | Top Production
#: keyword cmenergies: 8000.0
#: RE,P P --> TOP TOPBAR X
#: SQRT(S) [GeV],8000.0
H_{T}^{t\bar{t}} bin,H_{T}^{t\bar{t}} bin,
1,7,-0.0606217895779
2,7,-0.0868948864432
3,7,-0.0453443917651
4,7,-0.0527400611395
5,7,-0.258507006721
6,7,-0.0360937060256
7,7,1.0
8,7,-0.029171662964
9,7,-0.210291778102
10,7,-0.00459296402177
11,7,0.00828016188166
12,7,0.00271906559377
13,7,-0.0217426519693
14,7,-0.0100432576297
15,7,-0.00419231931428
1,8,-0.043980459877
2,8,-0.0498883505308
3,8,-0.07204945375
4,8,-0.0452634928441
5,8,-0.0355782464505
6,8,-0.220511918445
7,8,-0.029171662964
8,8,1.0
9,8,-0.0379512827167
10,8,-0.183146853784
11,8,0.00515331003601
12,8,0.0250595712564
13,8,-0.00104797916483
14,8,0.00495855118511
15,8,0.0110443961618
1,9,-0.0390510522482
2,9,-0.0409974872605
3,9,-0.046359164643
4,9,-0.0358486319089
5,9,-0.0243595865713
6,9,-0.0117812194352
7,9,-0.210291778102
8,9,-0.0379512827167
9,9,1.0
10,9,-0.0196379480605
11,9,-0.176594911358
12,9,-0.00475166112452
13,9,0.0241507641624
14,9,-0.000714435692926
15,9,-0.0269376958332
1,10,-0.00940405161264
2,10,-0.0426203750915
3,10,-0.0296514557337
4,10,-0.0338562143733
5,10,-0.0519705597875
6,10,-0.0154842790131
7,10,-0.00459296402177
8,10,-0.183146853784
9,10,-0.0196379480605
10,10,1.0
11,10,0.0124887972538
12,10,-0.187269823855
13,10,-0.0131829698003
14,10,0.0168959953684
15,10,-0.016244666808
1,11,-0.0240119412305
2,11,-0.0162680069235
3,11,-0.0392499753516
4,11,-0.018560798284
5,11,-0.0337003453071
6,11,-0.033137350047
7,11,0.00828016188166
8,11,0.00515331003601
9,11,-0.176594911358
10,11,0.0124887972538
11,11,1.0
12,11,0.0373009167685
13,11,-0.191007632908
14,11,-0.00239092073
15,11,0.0152499081645
1,12,-0.0242687614434
2,12,-0.00716138355419
3,12,-0.0160391626987
4,12,-0.0461752503409
5,12,-0.0142006028029
6,12,-0.0224196141931
7,12,0.00271906559377
8,12,0.0250595712564
9,12,-0.00475166112452
10,12,-0.187269823855
11,12,0.0373009167685
12,12,1.0
13,12,0.0579679009802
14,12,-0.19063662361
15,12,0.0177341940947
1,13,-0.0271639114872
2,13,0.00461113914205
3,13,-0.00848786813064
4,13,-0.0207479762073
5,13,-0.0127544496834
6,13,-0.0156482729828
7,13,-0.0217426519693
8,13,-0.00104797916483
9,13,0.0241507641624
10,13,-0.0131829698003
11,13,-0.191007632908
12,13,0.0579679009802
13,13,1.0
14,13,0.138038325369
15,13,-0.17402596676
1,14,-0.0169227051309
2,14,-0.00773159221653
3,14,-0.013045432379
4,14,-0.00501934088436
5,14,-0.0205251093697
6,14,-0.011755678228
7,14,-0.0100432576297
8,14,0.00495855118511
9,14,-0.000714435692926
10,14,0.0168959953684
11,14,-0.00239092073
12,14,-0.19063662361
13,14,0.138038325369
14,14,1.0
15,14,-0.121732319261
1,15,-0.0118434657467
2,15,-0.0227711079539
3,15,-0.0287804664858
4,15,-0.0162152041567
5,15,-0.0109759665065
6,15,-0.000354714905724
7,15,-0.00419231931428
8,15,0.0110443961618
9,15,-0.0269376958332
10,15,-0.016244666808
11,15,0.0152499081645
12,15,0.0177341940947
13,15,-0.17402596676
14,15,-0.121732319261
15,15,1.0

