#: table_doi: 10.17182/hepdata.78403.v1/t18
#: name: Table 18
#: description: Correlation matrix obtained from the fit combining the ATLAS and CMS data using the generic parameterisation with 23 parameters, $\sigma_i\cdot\mathrm{B}^f$ for each specific channel $i\to H\to f$. Only 20 parameters are shown because the other three, corresponding to the $H\to ZZ$ decay channel for the $WH$, $ZH$, and $ttH$ production processes, are not measured with a meaningful precision.
#: data_file: data18.yaml
#: data_license:   
#: keyword reactions: P P --> HIGGS X
#: keyword observables: CORRELATION
#: keyword phrases: 
#: keyword cmenergies: 7000.0-8000.0
#: SQRT(S) [GEV],7000.0 TO 8000.0
$\sigma_i\cdot\mathrm{B}^f$,$\sigma_j\cdot\mathrm{B}^k$,Correlation
$\sigma_{gg\mathrm{F}}\cdot\mathrm{B}^{WW}$,$\sigma_{WH}\cdot\mathrm{B}^{\gamma\gamma}$ ,0.000
$\sigma_{gg\mathrm{F}}\cdot\mathrm{B}^{\tau\tau}$,$\sigma_{WH}\cdot\mathrm{B}^{\gamma\gamma}$ ,0.000
$\sigma_{\mathrm{VBF}}\cdot\mathrm{B}^{\gamma\gamma}$,$\sigma_{WH}\cdot\mathrm{B}^{\gamma\gamma}$ ,0.000
$\sigma_{\mathrm{VBF}}\cdot\mathrm{B}^{ZZ}$,$\sigma_{WH}\cdot\mathrm{B}^{\gamma\gamma}$ ,0.000
$\sigma_{\mathrm{VBF}}\cdot\mathrm{B}^{WW}$,$\sigma_{WH}\cdot\mathrm{B}^{\gamma\gamma}$ ,0.000
$\sigma_{\mathrm{VBF}}\cdot\mathrm{B}^{\tau\tau}$,$\sigma_{WH}\cdot\mathrm{B}^{\gamma\gamma}$ ,0.000
$\sigma_{WH}\cdot\mathrm{B}^{\gamma\gamma}$,$\sigma_{WH}\cdot\mathrm{B}^{\gamma\gamma}$ ,1
$\sigma_{WH}\cdot\mathrm{B}^{WW}$,$\sigma_{WH}\cdot\mathrm{B}^{\gamma\gamma}$ ,0.000
$\sigma_{WH}\cdot\mathrm{B}^{\tau\tau}$,$\sigma_{WH}\cdot\mathrm{B}^{\gamma\gamma}$ ,0.000
$\sigma_{WH}\cdot\mathrm{B}^{bb}$,$\sigma_{WH}\cdot\mathrm{B}^{\gamma\gamma}$ ,0.000
$\sigma_{ZH}\cdot\mathrm{B}^{\gamma\gamma}$,$\sigma_{WH}\cdot\mathrm{B}^{\gamma\gamma}$ ,-0.641
$\sigma_{ZH}\cdot\mathrm{B}^{WW}$,$\sigma_{WH}\cdot\mathrm{B}^{\gamma\gamma}$ ,0.000
$\sigma_{ZH}\cdot\mathrm{B}^{\tau\tau}$,$\sigma_{WH}\cdot\mathrm{B}^{\gamma\gamma}$ ,0.000
$\sigma_{ZH}\cdot\mathrm{B}^{bb}$,$\sigma_{WH}\cdot\mathrm{B}^{\gamma\gamma}$ ,0.000
$\sigma_{ttH}\cdot\mathrm{B}^{\gamma\gamma}$,$\sigma_{WH}\cdot\mathrm{B}^{\gamma\gamma}$ ,-0.028
$\sigma_{ttH}\cdot\mathrm{B}^{WW}$,$\sigma_{WH}\cdot\mathrm{B}^{\gamma\gamma}$ ,0.000
$\sigma_{ttH}\cdot\mathrm{B}^{\tau\tau}$,$\sigma_{WH}\cdot\mathrm{B}^{\gamma\gamma}$ ,0.000
$\sigma_{ttH}\cdot\mathrm{B}^{bb}$,$\sigma_{WH}\cdot\mathrm{B}^{\gamma\gamma}$ ,0.000
$\sigma_{gg\mathrm{F}}\cdot\mathrm{B}^{\gamma\gamma}$,$\sigma_{WH}\cdot\mathrm{B}^{WW}$ ,0.002
$\sigma_{gg\mathrm{F}}\cdot\mathrm{B}^{ZZ}$,$\sigma_{WH}\cdot\mathrm{B}^{WW}$ ,0.005
$\sigma_{gg\mathrm{F}}\cdot\mathrm{B}^{WW}$,$\sigma_{WH}\cdot\mathrm{B}^{WW}$ ,-0.065
$\sigma_{gg\mathrm{F}}\cdot\mathrm{B}^{\tau\tau}$,$\sigma_{WH}\cdot\mathrm{B}^{WW}$ ,0.032
$\sigma_{\mathrm{VBF}}\cdot\mathrm{B}^{\gamma\gamma}$,$\sigma_{WH}\cdot\mathrm{B}^{WW}$ ,0.001
$\sigma_{\mathrm{VBF}}\cdot\mathrm{B}^{ZZ}$,$\sigma_{WH}\cdot\mathrm{B}^{WW}$ ,-0.001
$\sigma_{\mathrm{VBF}}\cdot\mathrm{B}^{WW}$,$\sigma_{WH}\cdot\mathrm{B}^{WW}$ ,-0.001
$\sigma_{\mathrm{VBF}}\cdot\mathrm{B}^{\tau\tau}$,$\sigma_{WH}\cdot\mathrm{B}^{WW}$ ,-0.011
$\sigma_{WH}\cdot\mathrm{B}^{\gamma\gamma}$,$\sigma_{WH}\cdot\mathrm{B}^{WW}$ ,0.000
$\sigma_{WH}\cdot\mathrm{B}^{WW}$,$\sigma_{WH}\cdot\mathrm{B}^{WW}$ ,1
$\sigma_{WH}\cdot\mathrm{B}^{\tau\tau}$,$\sigma_{WH}\cdot\mathrm{B}^{WW}$ ,-0.123
$\sigma_{WH}\cdot\mathrm{B}^{bb}$,$\sigma_{WH}\cdot\mathrm{B}^{WW}$ ,0.002
$\sigma_{ZH}\cdot\mathrm{B}^{\gamma\gamma}$,$\sigma_{WH}\cdot\mathrm{B}^{WW}$ ,0.001
$\sigma_{ZH}\cdot\mathrm{B}^{WW}$,$\sigma_{WH}\cdot\mathrm{B}^{WW}$ ,-0.119
$\sigma_{ZH}\cdot\mathrm{B}^{\tau\tau}$,$\sigma_{WH}\cdot\mathrm{B}^{WW}$ ,0.015
$\sigma_{ZH}\cdot\mathrm{B}^{bb}$,$\sigma_{WH}\cdot\mathrm{B}^{WW}$ ,0.001
$\sigma_{ttH}\cdot\mathrm{B}^{\gamma\gamma}$,$\sigma_{WH}\cdot\mathrm{B}^{WW}$ ,0.001
$\sigma_{ttH}\cdot\mathrm{B}^{WW}$,$\sigma_{WH}\cdot\mathrm{B}^{WW}$ ,0.005
$\sigma_{ttH}\cdot\mathrm{B}^{\tau\tau}$,$\sigma_{WH}\cdot\mathrm{B}^{WW}$ ,0.001
$\sigma_{ttH}\cdot\mathrm{B}^{bb}$,$\sigma_{WH}\cdot\mathrm{B}^{WW}$ ,0.005
$\sigma_{gg\mathrm{F}}\cdot\mathrm{B}^{\gamma\gamma}$,$\sigma_{WH}\cdot\mathrm{B}^{\tau\tau}$ ,0.000
$\sigma_{gg\mathrm{F}}\cdot\mathrm{B}^{ZZ}$,$\sigma_{WH}\cdot\mathrm{B}^{\tau\tau}$ ,0.009
$\sigma_{gg\mathrm{F}}\cdot\mathrm{B}^{WW}$,$\sigma_{WH}\cdot\mathrm{B}^{\tau\tau}$ ,0.020
$\sigma_{gg\mathrm{F}}\cdot\mathrm{B}^{\tau\tau}$,$\sigma_{WH}\cdot\mathrm{B}^{\tau\tau}$ ,-0.247
$\sigma_{\mathrm{VBF}}\cdot\mathrm{B}^{\gamma\gamma}$,$\sigma_{WH}\cdot\mathrm{B}^{\tau\tau}$ ,-0.002
$\sigma_{\mathrm{VBF}}\cdot\mathrm{B}^{ZZ}$,$\sigma_{WH}\cdot\mathrm{B}^{\tau\tau}$ ,-0.005
$\sigma_{\mathrm{VBF}}\cdot\mathrm{B}^{WW}$,$\sigma_{WH}\cdot\mathrm{B}^{\tau\tau}$ ,0.002
$\sigma_{\mathrm{VBF}}\cdot\mathrm{B}^{\tau\tau}$,$\sigma_{WH}\cdot\mathrm{B}^{\tau\tau}$ ,0.049
$\sigma_{WH}\cdot\mathrm{B}^{\gamma\gamma}$,$\sigma_{WH}\cdot\mathrm{B}^{\tau\tau}$ ,0.000
$\sigma_{WH}\cdot\mathrm{B}^{WW}$,$\sigma_{WH}\cdot\mathrm{B}^{\tau\tau}$ ,-0.123
$\sigma_{WH}\cdot\mathrm{B}^{\tau\tau}$,$\sigma_{WH}\cdot\mathrm{B}^{\tau\tau}$ ,1
$\sigma_{WH}\cdot\mathrm{B}^{bb}$,$\sigma_{WH}\cdot\mathrm{B}^{\tau\tau}$ ,0.000
$\sigma_{ZH}\cdot\mathrm{B}^{\gamma\gamma}$,$\sigma_{WH}\cdot\mathrm{B}^{\tau\tau}$ ,0.001
$\sigma_{ZH}\cdot\mathrm{B}^{WW}$,$\sigma_{WH}\cdot\mathrm{B}^{\tau\tau}$ ,0.025
$\sigma_{ZH}\cdot\mathrm{B}^{\tau\tau}$,$\sigma_{WH}\cdot\mathrm{B}^{\tau\tau}$ ,-0.024
$\sigma_{ZH}\cdot\mathrm{B}^{bb}$,$\sigma_{WH}\cdot\mathrm{B}^{\tau\tau}$ ,0.000
$\sigma_{ttH}\cdot\mathrm{B}^{\gamma\gamma}$,$\sigma_{WH}\cdot\mathrm{B}^{\tau\tau}$ ,0.000
$\sigma_{ttH}\cdot\mathrm{B}^{WW}$,$\sigma_{WH}\cdot\mathrm{B}^{\tau\tau}$ ,0.010
$\sigma_{ttH}\cdot\mathrm{B}^{\tau\tau}$,$\sigma_{WH}\cdot\mathrm{B}^{\tau\tau}$ ,0.001
$\sigma_{ttH}\cdot\mathrm{B}^{bb}$,$\sigma_{WH}\cdot\mathrm{B}^{\tau\tau}$ ,0.003
$\sigma_{gg\mathrm{F}}\cdot\mathrm{B}^{\gamma\gamma}$,$\sigma_{WH}\cdot\mathrm{B}^{bb}$ ,0.004
$\sigma_{gg\mathrm{F}}\cdot\mathrm{B}^{ZZ}$,$\sigma_{WH}\cdot\mathrm{B}^{bb}$ ,0.005
$\sigma_{gg\mathrm{F}}\cdot\mathrm{B}^{WW}$,$\sigma_{WH}\cdot\mathrm{B}^{bb}$ ,0.003
$\sigma_{gg\mathrm{F}}\cdot\mathrm{B}^{\tau\tau}$,$\sigma_{WH}\cdot\mathrm{B}^{bb}$ ,0.002
$\sigma_{\mathrm{VBF}}\cdot\mathrm{B}^{\gamma\gamma}$,$\sigma_{WH}\cdot\mathrm{B}^{bb}$ ,0.002
$\sigma_{\mathrm{VBF}}\cdot\mathrm{B}^{ZZ}$,$\sigma_{WH}\cdot\mathrm{B}^{bb}$ ,0.000
$\sigma_{\mathrm{VBF}}\cdot\mathrm{B}^{WW}$,$\sigma_{WH}\cdot\mathrm{B}^{bb}$ ,0.003
$\sigma_{\mathrm{VBF}}\cdot\mathrm{B}^{\tau\tau}$,$\sigma_{WH}\cdot\mathrm{B}^{bb}$ ,0.002
$\sigma_{WH}\cdot\mathrm{B}^{\gamma\gamma}$,$\sigma_{WH}\cdot\mathrm{B}^{bb}$ ,0.000
$\sigma_{WH}\cdot\mathrm{B}^{WW}$,$\sigma_{WH}\cdot\mathrm{B}^{bb}$ ,0.002
$\sigma_{WH}\cdot\mathrm{B}^{\tau\tau}$,$\sigma_{WH}\cdot\mathrm{B}^{bb}$ ,0.000
$\sigma_{WH}\cdot\mathrm{B}^{bb}$,$\sigma_{WH}\cdot\mathrm{B}^{bb}$ ,1
$\sigma_{ZH}\cdot\mathrm{B}^{\gamma\gamma}$,$\sigma_{WH}\cdot\mathrm{B}^{bb}$ ,0.000
$\sigma_{ZH}\cdot\mathrm{B}^{WW}$,$\sigma_{WH}\cdot\mathrm{B}^{bb}$ ,0.003
$\sigma_{ZH}\cdot\mathrm{B}^{\tau\tau}$,$\sigma_{WH}\cdot\mathrm{B}^{bb}$ ,0.002
$\sigma_{ZH}\cdot\mathrm{B}^{bb}$,$\sigma_{WH}\cdot\mathrm{B}^{bb}$ ,-0.068
$\sigma_{ttH}\cdot\mathrm{B}^{\gamma\gamma}$,$\sigma_{WH}\cdot\mathrm{B}^{bb}$ ,0.002
$\sigma_{ttH}\cdot\mathrm{B}^{WW}$,$\sigma_{WH}\cdot\mathrm{B}^{bb}$ ,0.003
$\sigma_{ttH}\cdot\mathrm{B}^{\tau\tau}$,$\sigma_{WH}\cdot\mathrm{B}^{bb}$ ,0.002
$\sigma_{ttH}\cdot\mathrm{B}^{bb}$,$\sigma_{WH}\cdot\mathrm{B}^{bb}$ ,0.000
$\sigma_{gg\mathrm{F}}\cdot\mathrm{B}^{\gamma\gamma}$,$\sigma_{ZH}\cdot\mathrm{B}^{\gamma\gamma}$ ,-0.136
$\sigma_{gg\mathrm{F}}\cdot\mathrm{B}^{ZZ}$,$\sigma_{ZH}\cdot\mathrm{B}^{\gamma\gamma}$ ,0.000
$\sigma_{gg\mathrm{F}}\cdot\mathrm{B}^{WW}$,$\sigma_{ZH}\cdot\mathrm{B}^{\gamma\gamma}$ ,0.001
$\sigma_{gg\mathrm{F}}\cdot\mathrm{B}^{\tau\tau}$,$\sigma_{ZH}\cdot\mathrm{B}^{\gamma\gamma}$ ,0.001
$\sigma_{\mathrm{VBF}}\cdot\mathrm{B}^{\gamma\gamma}$,$\sigma_{ZH}\cdot\mathrm{B}^{\gamma\gamma}$ ,0.009
$\sigma_{\mathrm{VBF}}\cdot\mathrm{B}^{ZZ}$,$\sigma_{ZH}\cdot\mathrm{B}^{\gamma\gamma}$ ,0.001
$\sigma_{\mathrm{VBF}}\cdot\mathrm{B}^{WW}$,$\sigma_{ZH}\cdot\mathrm{B}^{\gamma\gamma}$ ,0.002
$\sigma_{\mathrm{VBF}}\cdot\mathrm{B}^{\tau\tau}$,$\sigma_{ZH}\cdot\mathrm{B}^{\gamma\gamma}$ ,0.001
$\sigma_{WH}\cdot\mathrm{B}^{\gamma\gamma}$,$\sigma_{ZH}\cdot\mathrm{B}^{\gamma\gamma}$ ,-0.641
$\sigma_{WH}\cdot\mathrm{B}^{WW}$,$\sigma_{ZH}\cdot\mathrm{B}^{\gamma\gamma}$ ,0.001
$\sigma_{WH}\cdot\mathrm{B}^{\tau\tau}$,$\sigma_{ZH}\cdot\mathrm{B}^{\gamma\gamma}$ ,0.001
$\sigma_{WH}\cdot\mathrm{B}^{bb}$,$\sigma_{ZH}\cdot\mathrm{B}^{\gamma\gamma}$ ,0.000
$\sigma_{ZH}\cdot\mathrm{B}^{\gamma\gamma}$,$\sigma_{ZH}\cdot\mathrm{B}^{\gamma\gamma}$ ,1
$\sigma_{ZH}\cdot\mathrm{B}^{WW}$,$\sigma_{ZH}\cdot\mathrm{B}^{\gamma\gamma}$ ,0.001
$\sigma_{ZH}\cdot\mathrm{B}^{\tau\tau}$,$\sigma_{ZH}\cdot\mathrm{B}^{\gamma\gamma}$ ,0.001
$\sigma_{ZH}\cdot\mathrm{B}^{bb}$,$\sigma_{ZH}\cdot\mathrm{B}^{\gamma\gamma}$ ,0.000
$\sigma_{ttH}\cdot\mathrm{B}^{\gamma\gamma}$,$\sigma_{ZH}\cdot\mathrm{B}^{\gamma\gamma}$ ,-0.114
$\sigma_{ttH}\cdot\mathrm{B}^{WW}$,$\sigma_{ZH}\cdot\mathrm{B}^{\gamma\gamma}$ ,0.000
$\sigma_{ttH}\cdot\mathrm{B}^{\tau\tau}$,$\sigma_{ZH}\cdot\mathrm{B}^{\gamma\gamma}$ ,0.000
$\sigma_{ttH}\cdot\mathrm{B}^{bb}$,$\sigma_{ZH}\cdot\mathrm{B}^{\gamma\gamma}$ ,0.000
$\sigma_{gg\mathrm{F}}\cdot\mathrm{B}^{\gamma\gamma}$,$\sigma_{ZH}\cdot\mathrm{B}^{WW}$ ,0.004
$\sigma_{gg\mathrm{F}}\cdot\mathrm{B}^{ZZ}$,$\sigma_{ZH}\cdot\mathrm{B}^{WW}$ ,0.006
$\sigma_{gg\mathrm{F}}\cdot\mathrm{B}^{WW}$,$\sigma_{ZH}\cdot\mathrm{B}^{WW}$ ,-0.072
$\sigma_{gg\mathrm{F}}\cdot\mathrm{B}^{\tau\tau}$,$\sigma_{ZH}\cdot\mathrm{B}^{WW}$ ,0.012
$\sigma_{\mathrm{VBF}}\cdot\mathrm{B}^{\gamma\gamma}$,$\sigma_{ZH}\cdot\mathrm{B}^{WW}$ ,0.003
$\sigma_{\mathrm{VBF}}\cdot\mathrm{B}^{ZZ}$,$\sigma_{ZH}\cdot\mathrm{B}^{WW}$ ,-0.001
$\sigma_{\mathrm{VBF}}\cdot\mathrm{B}^{WW}$,$\sigma_{ZH}\cdot\mathrm{B}^{WW}$ ,-0.002
$\sigma_{\mathrm{VBF}}\cdot\mathrm{B}^{\tau\tau}$,$\sigma_{ZH}\cdot\mathrm{B}^{WW}$ ,0.000
$\sigma_{WH}\cdot\mathrm{B}^{\gamma\gamma}$,$\sigma_{ZH}\cdot\mathrm{B}^{WW}$ ,0.000
$\sigma_{WH}\cdot\mathrm{B}^{WW}$,$\sigma_{ZH}\cdot\mathrm{B}^{WW}$ ,-0.119
$\sigma_{WH}\cdot\mathrm{B}^{\tau\tau}$,$\sigma_{ZH}\cdot\mathrm{B}^{WW}$ ,0.025
$\sigma_{WH}\cdot\mathrm{B}^{bb}$,$\sigma_{ZH}\cdot\mathrm{B}^{WW}$ ,0.003
$\sigma_{ZH}\cdot\mathrm{B}^{\gamma\gamma}$,$\sigma_{ZH}\cdot\mathrm{B}^{WW}$ ,0.001
$\sigma_{ZH}\cdot\mathrm{B}^{WW}$,$\sigma_{ZH}\cdot\mathrm{B}^{WW}$ ,1
$\sigma_{ZH}\cdot\mathrm{B}^{\tau\tau}$,$\sigma_{ZH}\cdot\mathrm{B}^{WW}$ ,-0.050
$\sigma_{ZH}\cdot\mathrm{B}^{bb}$,$\sigma_{ZH}\cdot\mathrm{B}^{WW}$ ,0.003
$\sigma_{ttH}\cdot\mathrm{B}^{\gamma\gamma}$,$\sigma_{ZH}\cdot\mathrm{B}^{WW}$ ,0.002
$\sigma_{ttH}\cdot\mathrm{B}^{WW}$,$\sigma_{ZH}\cdot\mathrm{B}^{WW}$ ,0.010
$\sigma_{ttH}\cdot\mathrm{B}^{\tau\tau}$,$\sigma_{ZH}\cdot\mathrm{B}^{WW}$ ,0.002
$\sigma_{ttH}\cdot\mathrm{B}^{bb}$,$\sigma_{ZH}\cdot\mathrm{B}^{WW}$ ,0.001
$\sigma_{gg\mathrm{F}}\cdot\mathrm{B}^{\gamma\gamma}$,$\sigma_{ZH}\cdot\mathrm{B}^{\tau\tau}$ ,0.004
$\sigma_{gg\mathrm{F}}\cdot\mathrm{B}^{ZZ}$,$\sigma_{ZH}\cdot\mathrm{B}^{\tau\tau}$ ,0.007
$\sigma_{gg\mathrm{F}}\cdot\mathrm{B}^{WW}$,$\sigma_{ZH}\cdot\mathrm{B}^{\tau\tau}$ ,0.013
$\sigma_{gg\mathrm{F}}\cdot\mathrm{B}^{\tau\tau}$,$\sigma_{ZH}\cdot\mathrm{B}^{\tau\tau}$ ,-0.211
$\sigma_{\mathrm{VBF}}\cdot\mathrm{B}^{\gamma\gamma}$,$\sigma_{ZH}\cdot\mathrm{B}^{\tau\tau}$ ,0.000
$\sigma_{\mathrm{VBF}}\cdot\mathrm{B}^{ZZ}$,$\sigma_{ZH}\cdot\mathrm{B}^{\tau\tau}$ ,-0.003
$\sigma_{\mathrm{VBF}}\cdot\mathrm{B}^{WW}$,$\sigma_{ZH}\cdot\mathrm{B}^{\tau\tau}$ ,0.003
$\sigma_{\mathrm{VBF}}\cdot\mathrm{B}^{\tau\tau}$,$\sigma_{ZH}\cdot\mathrm{B}^{\tau\tau}$ ,0.040
$\sigma_{WH}\cdot\mathrm{B}^{\gamma\gamma}$,$\sigma_{ZH}\cdot\mathrm{B}^{\tau\tau}$ ,0.000
$\sigma_{WH}\cdot\mathrm{B}^{WW}$,$\sigma_{ZH}\cdot\mathrm{B}^{\tau\tau}$ ,0.015
$\sigma_{WH}\cdot\mathrm{B}^{\tau\tau}$,$\sigma_{ZH}\cdot\mathrm{B}^{\tau\tau}$ ,-0.024
$\sigma_{WH}\cdot\mathrm{B}^{bb}$,$\sigma_{ZH}\cdot\mathrm{B}^{\tau\tau}$ ,0.002
$\sigma_{ZH}\cdot\mathrm{B}^{\gamma\gamma}$,$\sigma_{ZH}\cdot\mathrm{B}^{\tau\tau}$ ,0.001
$\sigma_{ZH}\cdot\mathrm{B}^{WW}$,$\sigma_{ZH}\cdot\mathrm{B}^{\tau\tau}$ ,-0.050
$\sigma_{ZH}\cdot\mathrm{B}^{\tau\tau}$,$\sigma_{ZH}\cdot\mathrm{B}^{\tau\tau}$ ,1
$\sigma_{ZH}\cdot\mathrm{B}^{bb}$,$\sigma_{ZH}\cdot\mathrm{B}^{\tau\tau}$ ,0.001
$\sigma_{ttH}\cdot\mathrm{B}^{\gamma\gamma}$,$\sigma_{ZH}\cdot\mathrm{B}^{\tau\tau}$ ,0.001
$\sigma_{ttH}\cdot\mathrm{B}^{WW}$,$\sigma_{ZH}\cdot\mathrm{B}^{\tau\tau}$ ,0.007
$\sigma_{ttH}\cdot\mathrm{B}^{\tau\tau}$,$\sigma_{ZH}\cdot\mathrm{B}^{\tau\tau}$ ,0.001
$\sigma_{ttH}\cdot\mathrm{B}^{bb}$,$\sigma_{ZH}\cdot\mathrm{B}^{\tau\tau}$ ,0.000
$\sigma_{gg\mathrm{F}}\cdot\mathrm{B}^{\gamma\gamma}$,$\sigma_{ZH}\cdot\mathrm{B}^{bb}$ ,0.001
$\sigma_{gg\mathrm{F}}\cdot\mathrm{B}^{ZZ}$,$\sigma_{ZH}\cdot\mathrm{B}^{bb}$ ,0.002
$\sigma_{gg\mathrm{F}}\cdot\mathrm{B}^{WW}$,$\sigma_{ZH}\cdot\mathrm{B}^{bb}$ ,0.001
$\sigma_{gg\mathrm{F}}\cdot\mathrm{B}^{\tau\tau}$,$\sigma_{ZH}\cdot\mathrm{B}^{bb}$ ,0.000
$\sigma_{\mathrm{VBF}}\cdot\mathrm{B}^{\gamma\gamma}$,$\sigma_{ZH}\cdot\mathrm{B}^{bb}$ ,0.001
$\sigma_{\mathrm{VBF}}\cdot\mathrm{B}^{ZZ}$,$\sigma_{ZH}\cdot\mathrm{B}^{bb}$ ,0.000
$\sigma_{\mathrm{VBF}}\cdot\mathrm{B}^{WW}$,$\sigma_{ZH}\cdot\mathrm{B}^{bb}$ ,0.001
$\sigma_{\mathrm{VBF}}\cdot\mathrm{B}^{\tau\tau}$,$\sigma_{ZH}\cdot\mathrm{B}^{bb}$ ,0.001
$\sigma_{WH}\cdot\mathrm{B}^{\gamma\gamma}$,$\sigma_{ZH}\cdot\mathrm{B}^{bb}$ ,0.000
$\sigma_{WH}\cdot\mathrm{B}^{WW}$,$\sigma_{ZH}\cdot\mathrm{B}^{bb}$ ,0.001
$\sigma_{WH}\cdot\mathrm{B}^{\tau\tau}$,$\sigma_{ZH}\cdot\mathrm{B}^{bb}$ ,0.000
$\sigma_{WH}\cdot\mathrm{B}^{bb}$,$\sigma_{ZH}\cdot\mathrm{B}^{bb}$ ,-0.068
$\sigma_{ZH}\cdot\mathrm{B}^{\gamma\gamma}$,$\sigma_{ZH}\cdot\mathrm{B}^{bb}$ ,0.000
$\sigma_{ZH}\cdot\mathrm{B}^{WW}$,$\sigma_{ZH}\cdot\mathrm{B}^{bb}$ ,0.003
$\sigma_{ZH}\cdot\mathrm{B}^{\tau\tau}$,$\sigma_{ZH}\cdot\mathrm{B}^{bb}$ ,0.001
$\sigma_{ZH}\cdot\mathrm{B}^{bb}$,$\sigma_{ZH}\cdot\mathrm{B}^{bb}$ ,1
$\sigma_{ttH}\cdot\mathrm{B}^{\gamma\gamma}$,$\sigma_{ZH}\cdot\mathrm{B}^{bb}$ ,0.001
$\sigma_{ttH}\cdot\mathrm{B}^{WW}$,$\sigma_{ZH}\cdot\mathrm{B}^{bb}$ ,0.001
$\sigma_{ttH}\cdot\mathrm{B}^{\tau\tau}$,$\sigma_{ZH}\cdot\mathrm{B}^{bb}$ ,0.001
$\sigma_{ttH}\cdot\mathrm{B}^{bb}$,$\sigma_{ZH}\cdot\mathrm{B}^{bb}$ ,0.000
$\sigma_{gg\mathrm{F}}\cdot\mathrm{B}^{\gamma\gamma}$,$\sigma_{ttH}\cdot\mathrm{B}^{\gamma\gamma}$ ,0.013
$\sigma_{gg\mathrm{F}}\cdot\mathrm{B}^{ZZ}$,$\sigma_{ttH}\cdot\mathrm{B}^{\gamma\gamma}$ ,0.002
$\sigma_{gg\mathrm{F}}\cdot\mathrm{B}^{WW}$,$\sigma_{ttH}\cdot\mathrm{B}^{\gamma\gamma}$ ,0.002
$\sigma_{gg\mathrm{F}}\cdot\mathrm{B}^{\tau\tau}$,$\sigma_{ttH}\cdot\mathrm{B}^{\gamma\gamma}$ ,0.001
$\sigma_{\mathrm{VBF}}\cdot\mathrm{B}^{\gamma\gamma}$,$\sigma_{ttH}\cdot\mathrm{B}^{\gamma\gamma}$ ,-0.005
$\sigma_{\mathrm{VBF}}\cdot\mathrm{B}^{ZZ}$,$\sigma_{ttH}\cdot\mathrm{B}^{\gamma\gamma}$ ,0.000
$\sigma_{\mathrm{VBF}}\cdot\mathrm{B}^{WW}$,$\sigma_{ttH}\cdot\mathrm{B}^{\gamma\gamma}$ ,0.002
$\sigma_{\mathrm{VBF}}\cdot\mathrm{B}^{\tau\tau}$,$\sigma_{ttH}\cdot\mathrm{B}^{\gamma\gamma}$ ,0.002
$\sigma_{WH}\cdot\mathrm{B}^{\gamma\gamma}$,$\sigma_{ttH}\cdot\mathrm{B}^{\gamma\gamma}$ ,-0.028
$\sigma_{WH}\cdot\mathrm{B}^{WW}$,$\sigma_{ttH}\cdot\mathrm{B}^{\gamma\gamma}$ ,0.001
$\sigma_{WH}\cdot\mathrm{B}^{\tau\tau}$,$\sigma_{ttH}\cdot\mathrm{B}^{\gamma\gamma}$ ,0.000
$\sigma_{WH}\cdot\mathrm{B}^{bb}$,$\sigma_{ttH}\cdot\mathrm{B}^{\gamma\gamma}$ ,0.002
$\sigma_{ZH}\cdot\mathrm{B}^{\gamma\gamma}$,$\sigma_{ttH}\cdot\mathrm{B}^{\gamma\gamma}$ ,-0.114
$\sigma_{ZH}\cdot\mathrm{B}^{WW}$,$\sigma_{ttH}\cdot\mathrm{B}^{\gamma\gamma}$ ,0.002
$\sigma_{ZH}\cdot\mathrm{B}^{\tau\tau}$,$\sigma_{ttH}\cdot\mathrm{B}^{\gamma\gamma}$ ,0.001
$\sigma_{ZH}\cdot\mathrm{B}^{bb}$,$\sigma_{ttH}\cdot\mathrm{B}^{\gamma\gamma}$ ,0.001
$\sigma_{ttH}\cdot\mathrm{B}^{\gamma\gamma}$,$\sigma_{ttH}\cdot\mathrm{B}^{\gamma\gamma}$ ,1
$\sigma_{ttH}\cdot\mathrm{B}^{WW}$,$\sigma_{ttH}\cdot\mathrm{B}^{\gamma\gamma}$ ,0.003
$\sigma_{ttH}\cdot\mathrm{B}^{\tau\tau}$,$\sigma_{ttH}\cdot\mathrm{B}^{\gamma\gamma}$ ,0.000
$\sigma_{ttH}\cdot\mathrm{B}^{bb}$,$\sigma_{ttH}\cdot\mathrm{B}^{\gamma\gamma}$ ,0.001
$\sigma_{gg\mathrm{F}}\cdot\mathrm{B}^{\gamma\gamma}$,$\sigma_{ttH}\cdot\mathrm{B}^{WW}$ ,0.007
$\sigma_{gg\mathrm{F}}\cdot\mathrm{B}^{ZZ}$,$\sigma_{ttH}\cdot\mathrm{B}^{WW}$ ,-0.083
$\sigma_{gg\mathrm{F}}\cdot\mathrm{B}^{WW}$,$\sigma_{ttH}\cdot\mathrm{B}^{WW}$ ,0.014
$\sigma_{gg\mathrm{F}}\cdot\mathrm{B}^{\tau\tau}$,$\sigma_{ttH}\cdot\mathrm{B}^{WW}$ ,0.001
$\sigma_{\mathrm{VBF}}\cdot\mathrm{B}^{\gamma\gamma}$,$\sigma_{ttH}\cdot\mathrm{B}^{WW}$ ,0.000
$\sigma_{\mathrm{VBF}}\cdot\mathrm{B}^{ZZ}$,$\sigma_{ttH}\cdot\mathrm{B}^{WW}$ ,0.045
