,rs,x,Q2,sigma,stat_u(%),syst_u(%),norm_c(%),sigma (unshifted),-0.468636153547753
28,140.71247,0.853973,130,-0.00223965194749,70.7107435120122,2,5.8,-0.001453929347917,
29,140.71247,0.0135346,200,0.515643335339597,4.77817935873861,2,5.8,0.555495738983154,
30,140.71247,0.0191181,200,0.632364387850832,4.58830816666437,2,5.8,0.606155931949616,
31,140.71247,0.027005,200,0.588399566700934,4.40653771524283,2,5.8,0.628994524478912,
32,140.71247,0.0381456,200,0.657015518141221,4.3519496755894,2,5.8,0.616508424282074,
33,140.71247,0.053882,200,0.611656294751845,4.48111008325624,2,5.8,0.577756822109222,
34,140.71247,0.0761104,200,0.479982145173547,4.91473185992938,2,5.8,0.523468792438507,
35,140.71247,0.107509,200,0.443737009847959,4.97518197157257,2,5.8,0.46029269695282,
36,140.71247,0.15186,200,0.368008268674247,5.22708245237129,2,5.8,0.38597109913826,
37,140.71247,0.214508,200,0.285477535913996,5.67048488908599,2,5.8,0.295738458633423,
38,140.71247,0.303001,200,0.18420027662946,6.34998286855586,2,5.8,0.189451098442078,
39,140.71247,0.428,200,0.082707951859686,8.70388112663562,2,5.8,0.08696161955595,
40,140.71247,0.604567,200,0.012562516307864,15.2498413247937,2,5.8,0.017270980402827,
41,140.71247,0.853973,200,-0.00253045011241,57.7350599587619,2,5.8,-0.001234326395206,
42,140.71247,0.027005,400,0.38167847000474,5.29256241107231,2,5.8,0.404959559440613,
43,140.71247,0.0381456,400,0.399465778696377,4.88531113200615,2,5.8,0.431706875562668,
44,140.71247,0.053882,400,0.450416194764942,4.85069113234708,2,5.8,0.44048610329628,
45,140.71247,0.0761104,400,0.382178811641272,5.08987551755297,2,5.8,0.424778699874878,
46,140.71247,0.107509,400,0.386094893368245,5.32247044020965,2,5.8,0.389891028404236,
47,140.71247,0.15186,400,0.324914842834527,5.48822381017933,2,5.8,0.336329340934753,
48,140.71247,0.214508,400,0.260716318904564,6.03025129381636,2,5.8,0.261900246143341,
49,140.71247,0.303001,400,0.163667113627383,6.93375978956179,2,5.8,0.168736279010773,
50,140.71247,0.428,400,0.079937596579097,9.40719900103109,2,5.8,0.076845295727253,
51,140.71247,0.604567,400,0.017958717626694,17.149893884203,2,5.8,0.014768701978028,
52,140.71247,0.853973,400,-0.001039229243733,100,2,5.8,-0.000999187352136,
53,140.71247,0.053882,700,0.276553127958731,5.77350781198173,2,5.8,0.290883600711823,
54,140.71247,0.0761104,700,0.318063123533261,5.93390377938842,2,5.8,0.303336560726166,
55,140.71247,0.107509,700,0.248357708519023,5.86210294898037,2,5.8,0.300136893987656,
56,140.71247,0.15186,700,0.243890503104667,6.10845189971048,2,5.8,0.274340510368347,
57,140.71247,0.214508,700,0.244486455600304,6.40184724176498,2,5.8,0.222434133291244,
58,140.71247,0.303001,700,0.169525087574729,8.00640613458462,2,5.8,0.14694020152092,
59,140.71247,0.428,700,0.057356647687115,9.85328516736348,2,5.8,0.067556999623776,
60,140.71247,0.604567,700,0.007006665824043,19.2449183380913,2,5.8,0.012752716429532,
61,140.71247,0.853973,700,-0.002287555264641,100,2,5.8,-0.000871466123499,
62,140.71247,0.0761104,1000,0.212980913199591,6.17801692106549,2,5.8,0.217418655753136,
63,140.71247,0.107509,1000,0.222846640715324,5.97614845629406,2,5.8,0.227859303355217,
64,140.71247,0.15186,1000,0.234393787145292,6.31196047110236,2,5.8,0.222185611724854,
65,140.71247,0.214508,1000,0.169874753613441,6.32457113345188,2,5.8,0.189410895109177,
66,140.71247,0.303001,1000,0.131361081729574,7.85673438945229,2,5.8,0.129450395703316,
67,140.71247,0.428,1000,0.068167238863066,11.1803215099918,2,5.8,0.060666028410196,
68,140.71247,0.604567,1000,0.010827664438076,24.2535294861691,2,5.8,0.011396483518183,
69,140.71247,0.853973,1000,-0.001373778262776,100,2,5.8,-0.000809719320387,
70,140.71247,0.107509,1400,0.151687274545807,2.1566567936028,2,5.8,0.157400861382484,
71,140.71247,0.15186,1400,0.160650071037476,2.18843989871604,2,5.8,0.165200918912888,
72,140.71247,0.214508,1400,0.155441107245896,2.31621576946388,2,5.8,0.151964291930199,
73,140.71247,0.303001,1400,0.109068371840602,2.74824526801535,2,5.8,0.109701968729496,
74,140.71247,0.428,1400,0.04799046347974,3.6226238224763,2,5.8,0.053185388445854,
75,140.71247,0.604567,1400,0.009868743649769,7.0534527664512,2,5.8,0.01001825556159,
76,140.71247,0.853973,1400,-0.000736502687263,33.3333116996904,2,5.8,-0.000763154530432,
77,140.71247,0.214508,3000,0.057118015912246,2.96825776427625,2,5.8,0.056633710861206,
78,140.71247,0.303001,3000,0.055163034227677,3.35767207882482,2,5.8,0.053740534931421,
79,140.71247,0.428,3000,0.033857619760495,4.51294113438389,2,5.8,0.031900897622109,
80,140.71247,0.604567,3000,0.006071943354726,8.63869353091662,2,5.8,0.006345354486257,
81,140.71247,0.853973,3000,-0.000654280636093,33.3333116996904,2,5.8,-0.00069594127126,
82,140.71247,0.303001,5000,0.018690699554238,3.52234484602884,2,5.8,0.019503327086568,
83,140.71247,0.428,5000,0.015010861276668,3.92834941631429,2,5.8,0.015494145452976,
84,140.71247,0.604567,5000,0.003269483836021,8.36241447714668,2,5.8,0.003415997838601,
85,140.71247,0.853973,5000,-0.000337870957052,50,2,5.8,-0.000679376302287,
86,140.71247,0.428,9000,0.005410469766765,8.16496124999268,2,5.8,0.005156186874956,
87,140.71247,0.604567,9000,0.000235796123318,5.10976559083827,2,5.8,0.000251523102634,
88,140.71247,0.853973,9000,-0.000412127789783,21.8218078448607,2,5.8,-0.000682578189299,
