,rs,x,Q2,sigma,stat_u(%),syst_u(%),norm_c(%),sigma (unshifted),0.21882890340205
25,140.712472794703,0.00205,8.15,0.718253698482277,0.004585302607244,1.5,2.5,0.717970728874206,
26,140.712472794703,0.00205,12.9,0.807229433353105,0.005755345341506,1.5,2.5,0.816643476486206,
27,140.712472794703,0.00205,20.5,0.914948868366492,0.007431352501396,1.5,2.5,0.902540385723114,
28,140.712472794703,0.00325,1.29,0,0.002311624969583,1.5,2.5,0,
29,140.712472794703,0.00325,2.05,0,0.002789128896269,1.5,2.5,0,
30,140.712472794703,0.00325,3.25,0.48823447941767,0.003257145989973,1.5,2.5,0.481951951980591,
31,140.712472794703,0.00325,5.15,0.56147173391761,0.003857978745405,1.5,2.5,0.565035581588745,
32,140.712472794703,0.00325,8.15,0.658829812519,0.004648548160448,1.5,2.5,0.650191724300385,
33,140.712472794703,0.00325,12.9,0.715771916671607,0.005755345341506,1.5,2.5,0.737196803092956,
34,140.712472794703,0.00325,20.5,0.821845997629266,0.007273238618387,1.5,2.5,0.821881413459778,
35,140.712472794703,0.00325,32.5,0.898068803853787,0.009486832980505,1.5,2.5,0.889886558055878,
36,140.712472794703,0.00515,1.29,0,0.002390681911087,1.5,2.5,0,
37,140.712472794703,0.00515,2.05,0,0.002883997226074,1.5,2.5,0,
38,140.712472794703,0.00515,3.25,0.44116413043981,0.003352014319778,1.5,2.5,0.448229402303696,
39,140.712472794703,0.00515,5.15,0.513209057276547,0.00395284707521,1.5,2.5,0.518220067024231,
40,140.712472794703,0.00515,8.15,0.581656843363254,0.004775039266854,1.5,2.5,0.589547634124756,
41,140.712472794703,0.00515,12.9,0.659604945578488,0.005850213671312,1.5,2.5,0.662217199802399,
42,140.712472794703,0.00515,20.5,0.735010113179487,0.007336484171591,1.5,2.5,0.734911441802979,
43,140.712472794703,0.00515,32.5,0.821113357288838,0.0093919646507,1.5,2.5,0.801805973052979,
44,140.712472794703,0.00515,51.5,0.835464585306339,0.012269637321453,1.5,2.5,0.854619383811951,
45,140.712472794703,0.00815,1.29,0,0.002460252019611,2.5,2.5,0,
46,140.712472794703,0.00815,2.05,0,0.002972541000558,1.5,2.5,0,
47,140.712472794703,0.00815,3.25,0.419623030001959,0.003446882649584,1.5,2.5,0.420732140541077,
48,140.712472794703,0.00815,5.15,0.479901947708282,0.004110960958219,1.5,2.5,0.478134125471115,
49,140.712472794703,0.00815,8.15,0.538943549043908,0.004964775926464,1.5,2.5,0.536456406116486,
50,140.712472794703,0.00815,12.9,0.599855268863248,0.006039950330922,1.5,2.5,0.59538346529007,
51,140.712472794703,0.00815,20.5,0.663686091006934,0.007494598054599,1.5,2.5,0.654341101646423,
52,140.712472794703,0.00815,32.5,0.697674698476824,0.009455210203903,1.5,2.5,0.710023880004883,
53,140.712472794703,0.00815,51.5,0.765388035675757,0.012174768991648,1.5,2.5,0.761367082595825,
54,140.712472794703,0.00815,81.5,0.814345618113403,0.016222484396664,1.5,2.5,0.798818349838257,
55,140.712472794703,0.0129,1.29,0,0.002532984405795,2.5,2.5,0,
56,140.712472794703,0.0129,2.05,0,0.003057922497383,2.5,2.5,0,
57,140.712472794703,0.0129,3.25,0.396552591912933,0.00357337375599,1.5,2.5,0.397257685661316,
58,140.712472794703,0.0129,5.15,0.446002729226922,0.004269074841227,1.5,2.5,0.443939656019211,
59,140.712472794703,0.0129,8.15,0.494151031823273,0.005154512586074,1.5,2.5,0.490426361560822,
60,140.712472794703,0.0129,12.9,0.538407334340985,0.006261309767133,1.5,2.5,0.537141084671021,
61,140.712472794703,0.0129,20.5,0.579896560620625,0.007779203044014,1.5,2.5,0.583002984523773,
