    i          rs           x          Q2       sigma        stat        syst        norm
  404      44.7213595       0.5150000      32.5000000       0.0971169       0.0232427       1.5000000       2.5000000
  405      44.7213595       0.5150000      51.5000000       0.0930571       0.0303579       1.5000000       2.5000000
  406      44.7213595       0.5150000      81.5000000       0.0888470       0.0404772       1.5000000       2.5000000
  407      44.7213595       0.5150000     129.0000000       0.0832627       0.0518614       1.5000000       2.5000000
  408      44.7213595       0.5150000     205.0000000       0.0766145       0.0705188       1.5000000       2.5000000
  409      44.7213595       0.5150000     325.0000000       0.0704066       0.0961332       1.5000000       2.5000000
  410      44.7213595       0.5150000     515.0000000       0.0665252       0.1381915       1.5000000       2.5000000
  411      44.7213595       0.8150000       5.1500000       0.0192531       0.1053038       2.5000000       2.5000000
  412      44.7213595       0.8150000       8.1500000       0.0136919       0.0414258       2.5000000       2.5000000
  413      44.7213595       0.8150000      12.9000000       0.0105465       0.0442719       2.5000000       2.5000000
  414      44.7213595       0.8150000      20.5000000       0.0084884       0.0559723       1.5000000       2.5000000
  415      44.7213595       0.8150000      32.5000000       0.0068829       0.0733648       1.5000000       2.5000000
  416      44.7213595       0.8150000      51.5000000       0.0056141       0.0939196       1.5000000       2.5000000
  417      44.7213595       0.8150000      81.5000000       0.0046733       0.1230126       1.5000000       2.5000000
  418      44.7213595       0.8150000     129.0000000       0.0040314       0.1634898       1.5000000       2.5000000
  419      44.7213595       0.8150000     205.0000000       0.0036227       0.2289489       1.5000000       2.5000000
  420      44.7213595       0.8150000     325.0000000       0.0033603       0.3019975       1.5000000       2.5000000
  421      44.7213595       0.8150000     515.0000000       0.0031610       0.4553680       1.5000000       2.5000000
  422      44.7213595       0.8150000     815.0000000       0.0030127       0.6229687       1.5000000       2.5000000
