    i          rs           x          Q2       sigma        stat        syst        norm
   36 140.7124700   0.1518600 200.0000000   0.6373156   5.2270825   2.0000000   5.8000000
   37 140.7124700   0.2145080 200.0000000   0.5345612   5.6704849   2.0000000   5.8000000
   38 140.7124700   0.3030010 200.0000000   0.4246935   6.3499829   2.0000000   5.8000000
   39 140.7124700   0.4280000 200.0000000   0.2707919   8.7038811   2.0000000   5.8000000
   40 140.7124700   0.6045670 200.0000000   0.0890209  15.2498413   2.0000000   5.8000000
   41 140.7124700   0.8539730 200.0000000   0.0059438  57.7350600   2.0000000   5.8000000
   42 140.7124700   0.0270050 400.0000000   0.7254354   5.2925624   2.0000000   5.8000000
   43 140.7124700   0.0381456 400.0000000   0.7273654   4.8853111   2.0000000   5.8000000
   44 140.7124700   0.0538820 400.0000000   0.7047991   4.8506911   2.0000000   5.8000000
   45 140.7124700   0.0761104 400.0000000   0.6914720   5.0898755   2.0000000   5.8000000
   46 140.7124700   0.1075090 400.0000000   0.7000409   5.3224704   2.0000000   5.8000000
   47 140.7124700   0.1518600 400.0000000   0.6914815   5.4882238   2.0000000   5.8000000
   48 140.7124700   0.2145080 400.0000000   0.6105585   6.0302513   2.0000000   5.8000000
   49 140.7124700   0.3030010 400.0000000   0.4431993   6.9337598   2.0000000   5.8000000
   50 140.7124700   0.4280000 400.0000000   0.2322389   9.4071990   2.0000000   5.8000000
   51 140.7124700   0.6045670 400.0000000   0.0646342  17.1498939   2.0000000   5.8000000
   52 140.7124700   0.8539730 400.0000000   0.0075103 100.0000000   2.0000000   5.8000000
   53 140.7124700   0.0538820 700.0000000   0.6337301   5.7735078   2.0000000   5.8000000
   54 140.7124700   0.0761104 700.0000000   0.6967378   5.9339038   2.0000000   5.8000000
   55 140.7124700   0.1075090 700.0000000   0.7236708   5.8621029   2.0000000   5.8000000
   56 140.7124700   0.1518600 700.0000000   0.6812863   6.1084519   2.0000000   5.8000000
   57 140.7124700   0.2145080 700.0000000   0.5621386   6.4018472   2.0000000   5.8000000
   58 140.7124700   0.3030010 700.0000000   0.3884881   8.0064061   2.0000000   5.8000000
   59 140.7124700   0.4280000 700.0000000   0.2084853   9.8532852   2.0000000   5.8000000
   60 140.7124700   0.6045670 700.0000000   0.0658613  19.2449183   2.0000000   5.8000000
   61 140.7124700   0.8539730 700.0000000   0.0102578 100.0000000   2.0000000   5.8000000
   62 140.7124700   0.07611041000.0000000   0.6678781   6.1780169   2.0000000   5.8000000
   63 140.7124700   0.10750901000.0000000   0.6945692   5.9761485   2.0000000   5.8000000
   64 140.7124700   0.15186001000.0000000   0.6497729   6.3119605   2.0000000   5.8000000
   65 140.7124700   0.21450801000.0000000   0.5351569   6.3245711   2.0000000   5.8000000
   66 140.7124700   0.30300101000.0000000   0.3712556   7.8567344   2.0000000   5.8000000
   67 140.7124700   0.42800001000.0000000   0.2021166  11.1803215   2.0000000   5.8000000
   68 140.7124700   0.60456701000.0000000   0.0674537  24.2535295   2.0000000   5.8000000
   69 140.7124700   0.85397301000.0000000   0.0096190 100.0000000   2.0000000   5.8000000
   70 140.7124700   0.10750901400.0000000   0.6350588   2.1566568   2.0000000   5.8000000
   71 140.7124700   0.15186001400.0000000   0.6422271   2.1884399   2.0000000   5.8000000
   72 140.7124700   0.21450801400.0000000   0.5582758   2.3162158   2.0000000   5.8000000
   73 140.7124700   0.30300101400.0000000   0.3917812   2.7482453   2.0000000   5.8000000
   74 140.7124700   0.42800001400.0000000   0.2000811   3.6226238   2.0000000   5.8000000
   75 140.7124700   0.60456701400.0000000   0.0560050   7.0534528   2.0000000   5.8000000
   76 140.7124700   0.85397301400.0000000   0.0056406  33.3333117   2.0000000   5.8000000
   77 140.7124700   0.21450803000.0000000   0.4804089   2.9682578   2.0000000   5.8000000
   78 140.7124700   0.30300103000.0000000   0.3875743   3.3576721   2.0000000   5.8000000
   79 140.7124700   0.42800003000.0000000   0.2147144   4.5129411   2.0000000   5.8000000
   80 140.7124700   0.60456703000.0000000   0.0550779   8.6386935   2.0000000   5.8000000
   81 140.7124700   0.85397303000.0000000   0.0028831  33.3333117   2.0000000   5.8000000
   82 140.7124700   0.30300105000.0000000   0.3186803   3.5223448   2.0000000   5.8000000
   83 140.7124700   0.42800005000.0000000   0.1722637   3.9283494   2.0000000   5.8000000
   84 140.7124700   0.60456705000.0000000   0.0517213   8.3624145   2.0000000   5.8000000
   85 140.7124700   0.85397305000.0000000   0.0041459  50.0000000   2.0000000   5.8000000
   86 140.7124700   0.42800009000.0000000   0.1936185   8.1649612   2.0000000   5.8000000
   87 140.7124700   0.60456709000.0000000   0.0508842   5.1097656   2.0000000   5.8000000
   88 140.7124700   0.85397309000.0000000   0.0019616  21.8218078   2.0000000   5.8000000
