	rs			x		Q2	stat_u(%)	syst_u(%)	norm_c(%)
31	140.712472794703	0.00325		5.15	0.0122	2.3	4.3
32	140.712472794703	0.00325		8.15	0.0148	2.3	4.3
33	140.712472794703	0.00325		12.9	0.0182	2.3	4.3
34	140.712472794703	0.00325		20.5	0.023	2.3	4.3
35	140.712472794703	0.00325		32.5	0.03	2.3	4.3
36	140.712472794703	0.00515		2.05	0.00912	2.3	4.3
37	140.712472794703	0.00515		3.25	0.0106	2.3	4.3
38	140.712472794703	0.00515		5.15	0.0125	2.3	4.3
39	140.712472794703	0.00515		8.15	0.015	2.3	4.3
40	140.712472794703	0.00515		12.9	0.0186	2.3	4.3
41	140.712472794703	0.00515		20.5	0.0231	2.3	4.3
42	140.712472794703	0.00515		32.5	0.0297	2.3	4.3
43	140.712472794703	0.00515		51.5	0.0391	2.3	4.3
44	140.712472794703	0.00815		3.25	0.0109	2.3	4.3
45	140.712472794703	0.00815		5.15	0.013	2.3	4.3
46	140.712472794703	0.00815		8.15	0.0157	2.3	4.3
47	140.712472794703	0.00815		12.9	0.0191	2.3	4.3
48	140.712472794703	0.00815		20.5	0.0238	2.3	4.3
49	140.712472794703	0.00815		32.5	0.03	2.3	4.3
50	140.712472794703	0.00815		51.5	0.0384	2.3	4.3
51	140.712472794703	0.00815		81.5	0.0516	2.3	4.3
52	140.712472794703	0.0129		5.15	0.0134	2.3	4.3
53	140.712472794703	0.0129		8.15	0.0162	2.3	4.3
54	140.712472794703	0.0129		12.9	0.0198	2.3	4.3
55	140.712472794703	0.0129		20.5	0.0246	2.3	4.3
56	140.712472794703	0.0129		32.5	0.0309	2.3	4.3
57	140.712472794703	0.0129		51.5	0.039	2.3	4.3
58	140.712472794703	0.0129		81.5	0.0514	2.3	4.3
59	140.712472794703	0.0129		129	0.0691	2.3	4.3
60	140.712472794703	0.0205		8.15	0.0168	2.3	4.3
61	140.712472794703	0.0205		12.9	0.0206	2.3	4.3
62	140.712472794703	0.0205		20.5	0.0256	2.3	4.3
63	140.712472794703	0.0205		32.5	0.0321	2.3	4.3
64	140.712472794703	0.0205		51.5	0.0412	2.3	4.3
65	140.712472794703	0.0205		81.5	0.0525	2.3	4.3
66	140.712472794703	0.0205		129	0.0668	2.3	4.3
67	140.712472794703	0.0205		205	0.0916	2.3	4.3
68	140.712472794703	0.0325		12.9	0.0216	2.3	4.3
69	140.712472794703	0.0325		20.5	0.0267	2.3	4.3
70	140.712472794703	0.0325		32.5	0.0333	2.3	4.3
71	140.712472794703	0.0325		51.5	0.042	2.3	4.3
72	140.712472794703	0.0325		81.5	0.0542	2.3	4.3
73	140.712472794703	0.0325		129	0.0694	2.3	4.3
74	140.712472794703	0.0325		205	0.09	2.3	4.3
75	140.712472794703	0.0325		325	0.122	2.3	4.3
76	140.712472794703	0.0515		20.5	0.0278	2.3	4.3
77	140.712472794703	0.0515		32.5	0.0348	2.3	4.3
78	140.712472794703	0.0515		51.5	0.0441	2.3	4.3
79	140.712472794703	0.0515		81.5	0.056	2.3	4.3
80	140.712472794703	0.0515		129	0.0717	2.3	4.3
81	140.712472794703	0.0515		205	0.0909	2.3	4.3
82	140.712472794703	0.0515		325	0.119	2.3	4.3
83	140.712472794703	0.0515		515	0.169	2.3	4.3
84	140.712472794703	0.0815		32.5	0.0364	2.3	4.3
85	140.712472794703	0.0815		51.5	0.046	2.3	4.3
86	140.712472794703	0.0815		81.5	0.0574	2.3	4.3
87	140.712472794703	0.0815		129	0.0757	2.3	4.3
88	140.712472794703	0.0815		205	0.0978	2.3	4.3
89	140.712472794703	0.0815		325	0.122	2.3	4.3
90	140.712472794703	0.0815		515	0.159	2.3	4.3
91	140.712472794703	0.0815		815	0.241	2.3	4.3
92	140.712472794703	0.129		51.5	0.0484	2.3	4.3
93	140.712472794703	0.129		81.5	0.0614	2.3	4.3
94	140.712472794703	0.129		129	0.0791	2.3	4.3
95	140.712472794703	0.129		205	0.103	2.3	4.3
96	140.712472794703	0.129		325	0.13	2.3	4.3
97	140.712472794703	0.129		515	0.172	2.3	4.3
98	140.712472794703	0.129		815	0.241	2.3	4.3
99	140.712472794703	0.129		1290	0.309	2.3	4.3
100	140.712472794703	0.205		81.5	0.0671	2.3	4.3
101	140.712472794703	0.205		129	0.0855	2.3	4.3
102	140.712472794703	0.205		205	0.109	2.3	4.3
103	140.712472794703	0.205		325	0.14	2.3	4.3
104	140.712472794703	0.205		515	0.185	2.3	4.3
105	140.712472794703	0.205		815	0.243	2.3	4.3
106	140.712472794703	0.205		1290	0.331	2.3	4.3
107	140.712472794703	0.205		2050	0.42	2.3	4.3
108	140.712472794703	0.325		129	0.102	2.3	4.3
109	140.712472794703	0.325		205	0.132	2.3	4.3
110	140.712472794703	0.325		325	0.17	2.3	4.3
111	140.712472794703	0.325		515	0.212	2.3	4.3
112	140.712472794703	0.325		815	0.316	2.3	4.3
113	140.712472794703	0.325		1290	0.329	2.3	4.3
114	140.712472794703	0.515		205	0.212	2.3	4.3
115	140.712472794703	0.515		325	0.27	2.3	4.3
116	140.712472794703	0.515		515	0.325	2.3	4.3
