,rs,x,Q2,sigma,stat_u(%),syst_u(%),norm_c(%),sigma (unshifted),0.871254700729057
23,140.71247,0.15186,130,0.686451447537494,1.57328893079022,2,5.8,0.692214369773865,
24,140.71247,0.214508,130,0.621364160250344,1.72259577723139,2,5.8,0.596057176589966,
25,140.71247,0.303001,130,0.474164538896321,1.95740304075658,2,5.8,0.456919372081757,
26,140.71247,0.428,130,0.279070600635752,2.77350525013381,2,5.8,0.272131234407425,
27,140.71247,0.604567,130,0.090805975088969,5.27046882090755,2,5.8,0.08804515004158,
28,140.71247,0.853973,130,0.004930876840551,22.3607004541932,2,5.8,0.008676454424858,
29,140.71247,0.0135346,200,0.77206174438669,1.51099298424168,2,5.8,0.765431463718414,
30,140.71247,0.0191181,200,0.872276382463992,1.45095044134109,2,5.8,0.835002601146698,
31,140.71247,0.027005,200,0.902611568050158,1.39346957756018,2,5.8,0.87334394454956,
32,140.71247,0.0381456,200,0.927650053927144,1.37620732372934,2,5.8,0.875611245632172,
33,140.71247,0.053882,200,0.893928606374455,1.41705143090365,2,5.8,0.848627626895904,
34,140.71247,0.0761104,200,0.841758350939866,1.55417467663725,2,5.8,0.803323268890381,
35,140.71247,0.107509,200,0.781342784584194,1.57329068039764,2,5.8,0.748444437980652,
36,140.71247,0.15186,200,0.737938137874465,1.65294860669919,2,5.8,0.680965960025787,
37,140.71247,0.214508,200,0.604449530059429,1.7931647687079,2,5.8,0.583701908588409,
38,140.71247,0.303001,200,0.463546634585605,2.00804089676861,2,5.8,0.443280577659607,
39,140.71247,0.428,200,0.282259026316823,2.7524088843521,2,5.8,0.259910941123962,
40,140.71247,0.604567,200,0.080467873783036,4.82242325425077,2,5.8,0.082082599401474,
41,140.71247,0.853973,200,0.009699961225476,18.2574290316075,2,5.8,0.007600212004036,
42,140.71247,0.027005,400,0.74387671406955,1.67365518775809,2,5.8,0.701888740062714,
43,140.71247,0.0381456,400,0.775887364521692,1.5448710255715,2,5.8,0.749217987060547,
44,140.71247,0.053882,400,0.765601282056802,1.5339232204198,2,5.8,0.767004370689392,
45,140.71247,0.0761104,400,0.805431313175056,1.60955996421957,2,5.8,0.752955377101898,
46,140.71247,0.107509,400,0.743968549477871,1.68311293699815,2,5.8,0.716209709644318,
47,140.71247,0.15186,400,0.701139114536829,1.73552875489343,2,5.8,0.657097399234772,
48,140.71247,0.214508,400,0.577289924598427,1.90693289516369,2,5.8,0.56236344575882,
49,140.71247,0.303001,400,0.432864624033239,2.1926473683505,2,5.8,0.422312349081039,
50,140.71247,0.428,400,0.251444479349294,2.97481752457189,2,5.8,0.242088228464127,
51,140.71247,0.604567,400,0.072816702088223,5.42327263042736,2,5.8,0.073886819183827,
52,140.71247,0.853973,400,0.007047953803658,31.6227766016838,2,5.8,0.006261257454753,
53,140.71247,0.053882,700,0.695166148375065,1.82574347746374,2,5.8,0.673176169395447,
54,140.71247,0.0761104,700,0.693158096331066,1.87646513591487,2,5.8,0.688195586204529,
55,140.71247,0.107509,700,0.712782596343593,1.85375971971678,2,5.8,0.67515242099762,
56,140.71247,0.15186,700,0.661759934660742,1.93166209806676,2,5.8,0.630499064922333,
57,140.71247,0.214508,700,0.546489214488995,2.0244418516444,2,5.8,0.54289835691452,
58,140.71247,0.303001,700,0.422805583994631,2.5318479257632,2,5.8,0.40587642788887,
59,140.71247,0.428,700,0.244168169660763,3.1158823564022,2,5.8,0.229091390967369,
60,140.71247,0.604567,700,0.071627657540383,6.0857775332311,2,5.8,0.068241573870182,
61,140.71247,0.853973,700,0.00360322696814,31.6227766016838,2,5.8,0.005410131067038,
62,140.71247,0.0761104,1000,0.633095147871206,1.95366048936276,2,5.8,0.640724360942841,
63,140.71247,0.107509,1000,0.695590580334193,1.88982407571884,2,5.8,0.641853630542755,
64,140.71247,0.15186,1000,0.650876004894819,1.99601715896329,2,5.8,0.60930073261261,
65,140.71247,0.214508,1000,0.545116470139594,2.00000500054607,2,5.8,0.5289506316185,
66,140.71247,0.303001,1000,0.411211075299245,2.48451756416416,2,5.8,0.395415961742401,
67,140.71247,0.428,1000,0.237834686248685,3.53552809445472,2,5.8,0.221334844827652,
68,140.71247,0.604567,1000,0.065092133985946,7.66963944743476,2,5.8,0.064995020627976,
69,140.71247,0.853973,1000,0.005372456464064,31.6227766016838,2,5.8,0.004939551465213,
70,140.71247,0.107509,1400,0.636840525934932,0.681994759906051,2,5.8,0.608505189418793,
71,140.71247,0.15186,1400,0.604479643688592,0.692045460233089,2,5.8,0.586525440216064,
72,140.71247,0.214508,1400,0.536727003463574,0.732451738390535,2,5.8,0.514496564865112,
73,140.71247,0.303001,1400,0.395861808870977,0.869071461570841,2,5.8,0.385433733463287,
