#        Ep        Ee   eCharge      ePol    Lumifb    lhapdf        NC        CC     itarg    erunco
#     7000.       60.        1.      0.00    100.00     21000         0         1         1      0.50
#     q2         x       y  thetaj    sigrCC    nevent   estat   eunco   esyst    etot
    2000. 0.05000000 0.02381 172.6   1.63792  0.44E+06    0.15    0.50    2.00    2.07
    2000. 0.08500000 0.01401 175.7   1.20375  0.25E+06    0.20    0.50    2.00    2.07
    2000. 0.20000000 0.00595 178.2   0.59473  0.96E+05    0.32    0.50    2.00    2.09
    2000. 0.30000001 0.00397 178.8   0.32825  0.35E+05    0.54    0.50    2.00    2.13
    2000. 0.40000001 0.00298 179.1   0.16137  0.13E+05    0.88    0.50    3.33    3.48
    2000. 0.50000000 0.00238 179.3   0.06593  0.43E+04    1.53    0.50    4.67    4.94
    2000. 0.60000002 0.00198 179.4   0.02066  0.11E+04    2.96    0.50    6.00    6.71
    2000. 0.69999999 0.00170 179.5   0.00432  0.12E+03    9.09    0.50    7.33   11.69
    5000. 0.00500000 0.59524  64.4   2.88864  0.12E+07    0.09    0.50    2.00    2.06
    5000. 0.00850000 0.35014 107.2   2.86844  0.49E+06    0.14    0.50    2.00    2.07
    5000. 0.02000000 0.14881 149.4   2.34321  0.12E+07    0.09    0.50    2.00    2.06
    5000. 0.05000000 0.05952 168.1   1.57333  0.64E+06    0.12    0.50    2.00    2.07
    5000. 0.08500000 0.03501 173.1   1.15790  0.36E+06    0.17    0.50    2.00    2.07
    5000. 0.20000000 0.01488 177.1   0.56231  0.14E+06    0.27    0.50    2.00    2.08
    5000. 0.30000001 0.00992 178.1   0.30476  0.49E+05    0.45    0.50    2.00    2.11
    5000. 0.40000001 0.00744 178.5   0.14702  0.18E+05    0.75    0.50    3.33    3.45
    5000. 0.50000000 0.00595 178.8   0.05889  0.58E+04    1.31    0.50    4.67    4.87
    5000. 0.60000002 0.00496 179.0   0.01807  0.15E+04    2.56    0.50    6.00    6.54
    5000. 0.69999999 0.00425 179.2   0.00369  0.28E+03    5.96    0.50    7.33    9.46
    5000. 0.80000001 0.00372 179.3   0.00037  0.28E+02   18.95    0.50    8.67   20.84
   10000. 0.00850000 0.70028  66.2   2.05583  0.31E+06    0.18    0.50    2.00    2.07
   10000. 0.02000000 0.29762 133.8   1.97413  0.89E+06    0.11    0.50    2.00    2.06
   10000. 0.05000000 0.11905 162.7   1.45350  0.51E+06    0.14    0.50    2.00    2.07
   10000. 0.08500000 0.07003 170.0   1.09094  0.29E+06    0.18    0.50    2.00    2.07
   10000. 0.20000000 0.02976 175.8   0.53211  0.11E+06    0.30    0.50    2.00    2.08
   10000. 0.30000001 0.01984 177.2   0.28606  0.40E+05    0.50    0.50    2.00    2.12
   10000. 0.40000001 0.01488 177.9   0.13647  0.14E+05    0.83    0.50    3.33    3.47
   10000. 0.50000000 0.01190 178.4   0.05401  0.46E+04    1.47    0.50    4.67    4.92
   10000. 0.60000002 0.00992 178.6   0.01635  0.12E+04    2.90    0.50    6.00    6.68
   10000. 0.69999999 0.00850 178.8   0.00329  0.22E+03    6.80    0.50    7.33   10.01
   10000. 0.80000001 0.00744 179.0   0.00032  0.21E+02   21.84    0.50    8.67   23.50
   20000. 0.02000000 0.59524 103.1   1.39715  0.49E+06    0.14    0.50    2.00    2.07
   20000. 0.05000000 0.23810 153.9   1.22747  0.36E+06    0.17    0.50    2.00    2.07
   20000. 0.08500000 0.14006 165.4   0.97191  0.22E+06    0.21    0.50    2.00    2.07
   20000. 0.20000000 0.05952 174.0   0.49099  0.87E+05    0.34    0.50    2.00    2.09
   20000. 0.30000001 0.03968 176.1   0.26414  0.31E+05    0.57    0.50    2.00    2.14
   20000. 0.40000001 0.02976 177.1   0.12529  0.11E+05    0.96    0.50    3.33    3.50
   20000. 0.50000000 0.02381 177.7   0.04916  0.35E+04    1.70    0.50    4.67    4.99
   20000. 0.60000002 0.01984 178.1   0.01472  0.89E+03    3.35    0.50    6.00    6.89
   20000. 0.69999999 0.01701 178.3   0.00292  0.16E+03    7.92    0.50    7.33   10.80
   20000. 0.80000001 0.01488 178.5   0.00028  0.15E+02   25.66    0.50    8.67   27.09
   50000. 0.05000000 0.59524 126.7   0.73726  0.17E+06    0.25    0.50    2.00    2.08
   50000. 0.08500000 0.35014 153.8   0.68383  0.12E+06    0.29    0.50    2.00    2.08
   50000. 0.20000000 0.14881 170.1   0.40284  0.51E+05    0.44    0.50    2.00    2.11
   50000. 0.30000001 0.09921 173.6   0.22366  0.18E+05    0.74    0.50    2.00    2.19
   50000. 0.40000001 0.07440 175.2   0.10701  0.66E+04    1.23    0.50    3.33    3.59
   50000. 0.50000000 0.05952 176.2   0.04193  0.21E+04    2.19    0.50    4.67    5.18
   50000. 0.60000002 0.04960 176.9   0.01247  0.53E+03    4.34    0.50    6.00    7.42
   50000. 0.69999999 0.04252 177.3   0.00245  0.94E+02   10.31    0.50    7.33   12.66
   50000. 0.80000001 0.03720 177.7   0.00023  0.88E+01   33.67    0.50    8.67   34.77
  100000. 0.08500000 0.70028 128.2   0.38920  0.34E+05    0.54    0.50    2.00    2.13
  100000. 0.20000000 0.29762 164.7   0.29312  0.17E+05    0.77    0.50    2.00    2.20
  100000. 0.30000001 0.19841 170.4   0.17639  0.67E+04    1.22    0.50    2.00    2.40
  100000. 0.40000001 0.14881 173.0   0.08742  0.25E+04    2.01    0.50    3.33    3.92
  100000. 0.50000000 0.11905 174.5   0.03483  0.79E+03    3.55    0.50    4.67    5.88
  100000. 0.60000002 0.09921 175.5   0.01044  0.20E+03    7.02    0.50    6.00    9.25
  100000. 0.69999999 0.08503 176.1   0.00205  0.36E+02   16.67    0.50    7.33   18.22
  200000. 0.20000000 0.59524 151.8   0.14806  0.50E+04    1.42    0.50    2.00    2.50
  200000. 0.30000001 0.39683 164.4   0.10847  0.23E+04    2.08    0.50    2.00    2.93
  200000. 0.40000001 0.29762 169.1   0.05955  0.94E+03    3.27    0.50    3.33    4.69
  200000. 0.50000000 0.23810 171.6   0.02513  0.32E+03    5.62    0.50    4.67    7.32
  200000. 0.60000002 0.19841 173.2   0.00780  0.84E+02   10.94    0.50    6.00   12.49
  200000. 0.69999999 0.17007 174.3   0.00157  0.15E+02   25.73    0.50    7.33   26.76
  500000. 0.40000001 0.74405 152.0   0.01488  0.18E+03    7.38    0.50    3.33    8.11
  500000. 0.50000000 0.59524 162.0   0.00820  0.77E+02   11.42    0.50    4.67   12.35
  500000. 0.60000002 0.49603 166.5   0.00312  0.23E+02   20.85    0.50    6.00   21.71
  500000. 0.69999999 0.42517 169.1   0.00072  0.46E+01   46.79    0.50    7.33   47.36
