coalition_labels,size,chi2,is_outlier
sbar|dbar|d|u|s,5,0.01054276,0
cbar|dbar|g|u,4,0.01050696,0
sbar|ubar|d|u|c,5,0.01047347,0
cbar|dbar|g|d|u|s,6,0.01044447,0
cbar|ubar|d|c,4,0.01041244,0
cbar|sbar|ubar|dbar|g|d,6,0.01036739,0
cbar|ubar|g|d,4,0.01036077,0
cbar|d|s,3,0.01033556,0
sbar|ubar|dbar|s|c,5,0.01027093,0
dbar|g|u,3,0.01022223,0
sbar|ubar|u|s|c,5,0.01019074,0
cbar|ubar|dbar|d|s,5,0.01012667,0
sbar|dbar|d|u,4,0.01009786,0
ubar|dbar|g|u|s,5,0.01009638,0
sbar|ubar|g|u|c,5,0.01006768,0
cbar|sbar|g|d|s|c,6,0.01004131,0
d|u|s|c,4,0.01003094,0
cbar|dbar|d|u|c,5,0.01000440,0
cbar|sbar|ubar|d|c,5,0.01000117,0
sbar|d|u|s|c,5,0.00999483,0
cbar|ubar|g|u|c,5,0.00993031,0
sbar|ubar|dbar|g|d|s,6,0.00990116,0
cbar|sbar|ubar|g|u,5,0.00987622,0
cbar|sbar|g|u|s|c,6,0.00983983,0
cbar|sbar|g|d|u|c,6,0.00983171,0
ubar|dbar|g|d|s|c,6,0.00982859,0
cbar|sbar|ubar|g|s|c,6,0.00982813,0
dbar|d|u|s|c,5,0.00976126,0
cbar|sbar|dbar|d|s|c,6,0.00973440,0
cbar|sbar|dbar|s|c,5,0.00972450,0
cbar|sbar|ubar|dbar|s,5,0.00970055,0
sbar|dbar|g|s|c,5,0.00967501,0
cbar|ubar|dbar|g|d|c,6,0.00966256,0
cbar|ubar|dbar|g|c,5,0.00964774,0
cbar|ubar|dbar|g|s|c,6,0.00963464,0
cbar|ubar|u|s,4,0.00961552,0
sbar|dbar,2,0.00960849,0
sbar|ubar|dbar,3,0.00955532,0
ubar|g|u|s|c,5,0.00953359,0
cbar|sbar|dbar|g|d|c,6,0.00949926,0
ubar|dbar|g|d|u,5,0.00948659,0
cbar|sbar|d|s|c,5,0.00947484,0
dbar|u|s|c,4,0.00946463,0
cbar|ubar|d,3,0.00945710,0
cbar|dbar|d|u|s,5,0.00945486,0
g|d|u|s,4,0.00945330,0
dbar|g|d|u|c,5,0.00943604,0
cbar|sbar|dbar,3,0.00940759,0
ubar|d|u|c,4,0.00939922,0
sbar|ubar|g|d|u,5,0.00937028,0
cbar|ubar|g|s|c,5,0.00936546,0
cbar|sbar|ubar|g|d,5,0.00929852,0
sbar|ubar|dbar|d|c,5,0.00927578,0
ubar|dbar|u,3,0.00925691,0
cbar|sbar|ubar|dbar|d,5,0.00919200,0
cbar|dbar|u,3,0.00910718,0
cbar|dbar|g|u|s,5,0.00908732,0
cbar|sbar|g|u|c,5,0.00902719,0
sbar|ubar|dbar|g|s,5,0.00900212,0
ubar|g|d|u,4,0.00894724,0
sbar|ubar|dbar|d|s,5,0.00888850,0
sbar|ubar|g|u|s,5,0.00884725,0
cbar|sbar|d|u|c,5,0.00884206,0
cbar|sbar|u|s|c,5,0.00880501,0
dbar|u,2,0.00880293,0
cbar|sbar|ubar|s|c,5,0.00879696,0
sbar|g|d|u|s,5,0.00876617,0
ubar|dbar|d|s|c,5,0.00874791,0
cbar|g|d|u|c,5,0.00872951,0
d|u|s,3,0.00870872,0
cbar|sbar|g|d|s,5,0.00864705,0
ubar|dbar|u|s,4,0.00862257,0
g|d|s|c,4,0.00860535,0
sbar|dbar|s|c,4,0.00859674,0
sbar|ubar|u|c,4,0.00859364,0
cbar|sbar|ubar|u,4,0.00849710,0
cbar|sbar|dbar|d|c,5,0.00848570,0
cbar|ubar|u|c,4,0.00848309,0
sbar|dbar|g|d|s|c,6,0.00843900,0
cbar|ubar|dbar|d|c,5,0.00841909,0
cbar|sbar|ubar|d,4,0.00838777,0
g|d|s,3,0.00838201,0
cbar|ubar|dbar|s|c,5,0.00834603,0
cbar|ubar|s|c,4,0.00834136,0
dbar|g|d|u|s,5,0.00832569,0
ubar|u|s|c,4,0.00824915,0
sbar|ubar|dbar|g|d,5,0.00824720,0
cbar|dbar|g|d|u,5,0.00823324,0
sbar|ubar|d|u,4,0.00819916,0
sbar|dbar|g|d|c,5,0.00818937,0
cbar|ubar|dbar|c,4,0.00817664,0
ubar|dbar|g|d|s,5,0.00817392,0
dbar|d|u|c,4,0.00816952,0
cbar|dbar|g|d|s|c,6,0.00815897,0
cbar|sbar|d|s,4,0.00815567,0
ubar|dbar|d|u,4,0.00805803,0
cbar|ubar|g|s,4,0.00804985,0
cbar|sbar|dbar|g|d|s,6,0.00804756,0
ubar|dbar|g|c,4,0.00803016,0
d|s|c,3,0.00802627,0
sbar|d|u|s,4,0.00801451,0
cbar|sbar|dbar|g|s,5,0.00799469,0
dbar|g|u|s,4,0.00798672,0
ubar|g|d|c,4,0.00793521,0
d|s,2,0.00787796,0
cbar|g|u|s|c,5,0.00787084,0
cbar|dbar|u|s,4,0.00787004,0
cbar|sbar|ubar|g|s,5,0.00785421,0
cbar|sbar|u|c,4,0.00780979,0
cbar|dbar|g|c,4,0.00780947,0
ubar|d|u,3,0.00778321,0
sbar|ubar|dbar|s,4,0.00776175,0
cbar|d|u|c,4,0.00774693,0
sbar|ubar|u|s,4,0.00763085,0
cbar|sbar|ubar|g|c,5,0.00762373,0
sbar|dbar|d|s|c,5,0.00758842,0
ubar|g|u|s,4,0.00755714,0
sbar|ubar|g|d|c,5,0.00753224,0
dbar|g|c,3,0.00751563,0
cbar|ubar|dbar|g|d,5,0.00750928,0
cbar|ubar|g|u,4,0.00745512,0
sbar|ubar|g|u,4,0.00744713,0
ubar|g|d,3,0.00741806,0
sbar|g|u|c,4,0.00740849,0
sbar|g|u|s|c,5,0.00740434,0
sbar|dbar|g|s,4,0.00739955,0
cbar|dbar|d|s|c,5,0.00733500,0
dbar|d|u|s,4,0.00731657,0
cbar|sbar|dbar|d|s,5,0.00729154,0
cbar|sbar|g|d|u,5,0.00727751,0
cbar|ubar|dbar|g,4,0.00722432,0
ubar|dbar|g|s|c,5,0.00720094,0
cbar|ubar|dbar|g|s,5,0.00719647,0
sbar|g|d|u|c,5,0.00719600,0
ubar|dbar|d|s,4,0.00716831,0
sbar|dbar|d|c,4,0.00715629,0
cbar|ubar|s,3,0.00710097,0
sbar|g|d|s|c,5,0.00709202,0
cbar|dbar|d|u,4,0.00706112,0
sbar|ubar|dbar|d,4,0.00705206,0
ubar|dbar|g|d|c,5,0.00702783,0
cbar|sbar|dbar|s,4,0.00701101,0
cbar|sbar|g|u|s,5,0.00700052,0
cbar|sbar|dbar|g|d,5,0.00699576,0
ubar|g|u|c,4,0.00698657,0
ubar|d|c,3,0.00693648,0
dbar|g|d|u,4,0.00693141,0
cbar|sbar|ubar|s,4,0.00689825,0
cbar|u|s|c,4,0.00684308,0
cbar|g|d|u,4,0.00683362,0
dbar|u|s,3,0.00674989,0
cbar|dbar|c,3,0.00657535,0
sbar|ubar|g|s|c,5,0.00657295,0
ubar|dbar|c,3,0.00653932,0
sbar|ubar|d|c,4,0.00652642,0
sbar|d|s|c,4,0.00650586,0
ubar|d,2,0.00649451,0
sbar|dbar|g|d|s,5,0.00643423,0
cbar|sbar|ubar|c,4,0.00640999,0
sbar|dbar|s,3,0.00639620,0
cbar|dbar|g|s|c,5,0.00637737,0
cbar|sbar|d|u,4,0.00636291,0
sbar|ubar|g|d,4,0.00635689,0
sbar|u|s|c,4,0.00634991,0
ubar|u|s,3,0.00634781,0
cbar|ubar|dbar|d,4,0.00634096,0
cbar|dbar|g|d|s,5,0.00629988,0
