#: table_doi: 10.17182/hepdata.80076.v1/t10
#: name: Table 10
#: description: Statistical correlation between bins in data for the differential cross sections for the production of W<sup>-</sup> bosons as a function of the H<sub> T</sub> for events with N<sub> jets</sub> &ge; 1.
#: data_file: data10.yaml
#: keyword reactions: P P --> W JET(S) X
#: keyword observables: CORR
#: keyword phrases: Inclusive | Statistical Correlation | Cross Section | Proton-Proton Scattering | W Production | Jet Production
#: keyword cmenergies: 8000.0
#: PT(LEPTON) [GEV],,,,,> 25
#: RE,,,,,P P --> W JET(S) X
#: PT(JET) [GEV],,,,,> 30
#: Correlation for cross section,,,,,W- (electron channel)
#: SQRT(S) [GEV],,,,,8000.0
#: ABS(ETARAP(ELECTRON)),,,,,< 2.5
#: ABS(YRAP(JET)),,,,,< 4.4
$H_\text{T}\text{ [GeV]}$,$H_\text{T}\text{ [GeV]}$ LOW,$H_\text{T}\text{ [GeV]}$ HIGH,$H_\text{T}\text{ [GeV]}$,$H_\text{T}\text{ [GeV]}$ LOW,$H_\text{T}\text{ [GeV]}$ HIGH,$\rho^{W^-}(H_\text{T})$
125.0,100.0,150.0,425.0,400.0,450.0,-0.00013
125.0,100.0,150.0,475.0,450.0,500.0,-9.8e-05
125.0,100.0,150.0,525.0,500.0,550.0,-4e-06
125.0,100.0,150.0,575.0,550.0,600.0,1.9e-05
125.0,100.0,150.0,625.0,600.0,650.0,-6e-06
125.0,100.0,150.0,675.0,650.0,700.0,-1.6e-05
125.0,100.0,150.0,750.0,700.0,800.0,-1e-06
125.0,100.0,150.0,850.0,800.0,900.0,0.0
125.0,100.0,150.0,950.0,900.0,1000.0,0.0
125.0,100.0,150.0,1050.0,1000.0,1100.0,-4e-06
125.0,100.0,150.0,1150.0,1100.0,1200.0,-1.5e-05
125.0,100.0,150.0,1300.0,1200.0,1400.0,-3e-06
125.0,100.0,150.0,1500.0,1400.0,1600.0,-1.1e-05
125.0,100.0,150.0,2050.0,1600.0,2500.0,4.5e-05
175.0,150.0,200.0,75.0,50.0,100.0,-0.024526
175.0,150.0,200.0,125.0,100.0,150.0,0.205844
175.0,150.0,200.0,175.0,150.0,200.0,1.0
175.0,150.0,200.0,225.0,200.0,250.0,0.246319
175.0,150.0,200.0,275.0,250.0,300.0,-0.067782
175.0,150.0,200.0,325.0,300.0,350.0,-0.029457
175.0,150.0,200.0,375.0,350.0,400.0,-0.004025
175.0,150.0,200.0,425.0,400.0,450.0,-0.000201
175.0,150.0,200.0,475.0,450.0,500.0,9.1e-05
175.0,150.0,200.0,525.0,500.0,550.0,-2e-05
175.0,150.0,200.0,575.0,550.0,600.0,-6.4e-05
175.0,150.0,200.0,625.0,600.0,650.0,-2.4e-05
175.0,150.0,200.0,675.0,650.0,700.0,-5e-06
175.0,150.0,200.0,750.0,700.0,800.0,-4e-06
175.0,150.0,200.0,850.0,800.0,900.0,-2e-06
175.0,150.0,200.0,950.0,900.0,1000.0,-8e-06
175.0,150.0,200.0,1050.0,1000.0,1100.0,-6e-06
175.0,150.0,200.0,1150.0,1100.0,1200.0,2.7e-05
175.0,150.0,200.0,1300.0,1200.0,1400.0,-1.5e-05
175.0,150.0,200.0,1500.0,1400.0,1600.0,-5e-06
175.0,150.0,200.0,2050.0,1600.0,2500.0,-1.1e-05
225.0,200.0,250.0,75.0,50.0,100.0,-0.023707
225.0,200.0,250.0,125.0,100.0,150.0,-0.061819
225.0,200.0,250.0,175.0,150.0,200.0,0.246319
225.0,200.0,250.0,225.0,200.0,250.0,1.0
225.0,200.0,250.0,275.0,250.0,300.0,0.276934
225.0,200.0,250.0,325.0,300.0,350.0,-0.074324
225.0,200.0,250.0,375.0,350.0,400.0,-0.037241
225.0,200.0,250.0,425.0,400.0,450.0,-0.005398
225.0,200.0,250.0,475.0,450.0,500.0,-0.000309
225.0,200.0,250.0,525.0,500.0,550.0,-2.9e-05
225.0,200.0,250.0,575.0,550.0,600.0,-3.6e-05
225.0,200.0,250.0,625.0,600.0,650.0,-8.6e-05
225.0,200.0,250.0,675.0,650.0,700.0,-1e-05
225.0,200.0,250.0,750.0,700.0,800.0,5e-06
225.0,200.0,250.0,850.0,800.0,900.0,-0.0
225.0,200.0,250.0,950.0,900.0,1000.0,5e-06
225.0,200.0,250.0,1050.0,1000.0,1100.0,-8e-06
225.0,200.0,250.0,1150.0,1100.0,1200.0,-1.9e-05
225.0,200.0,250.0,1300.0,1200.0,1400.0,-3e-06
225.0,200.0,250.0,1500.0,1400.0,1600.0,-1e-05
225.0,200.0,250.0,2050.0,1600.0,2500.0,-0.000229
275.0,250.0,300.0,75.0,50.0,100.0,-0.003944
275.0,250.0,300.0,125.0,100.0,150.0,-0.022416
275.0,250.0,300.0,175.0,150.0,200.0,-0.067782
275.0,250.0,300.0,225.0,200.0,250.0,0.276934
275.0,250.0,300.0,275.0,250.0,300.0,1.0
275.0,250.0,300.0,325.0,300.0,350.0,0.305181
275.0,250.0,300.0,375.0,350.0,400.0,-0.078312
275.0,250.0,300.0,425.0,400.0,450.0,-0.045413
275.0,250.0,300.0,475.0,450.0,500.0,-0.006785
275.0,250.0,300.0,525.0,500.0,550.0,7.4e-05
275.0,250.0,300.0,575.0,550.0,600.0,0.000363
275.0,250.0,300.0,625.0,600.0,650.0,0.000249
275.0,250.0,300.0,675.0,650.0,700.0,5.2e-05
275.0,250.0,300.0,750.0,700.0,800.0,-2.1e-05
275.0,250.0,300.0,850.0,800.0,900.0,-3e-06
275.0,250.0,300.0,950.0,900.0,1000.0,-2e-06
275.0,250.0,300.0,1050.0,1000.0,1100.0,0.0
275.0,250.0,300.0,1150.0,1100.0,1200.0,-3e-06
275.0,250.0,300.0,1300.0,1200.0,1400.0,-2.4e-05
275.0,250.0,300.0,1500.0,1400.0,1600.0,-9.6e-05
275.0,250.0,300.0,2050.0,1600.0,2500.0,0.00019
325.0,300.0,350.0,75.0,50.0,100.0,-0.000355
325.0,300.0,350.0,125.0,100.0,150.0,-0.003034
325.0,300.0,350.0,175.0,150.0,200.0,-0.029457
325.0,300.0,350.0,225.0,200.0,250.0,-0.074324
325.0,300.0,350.0,275.0,250.0,300.0,0.305181
325.0,300.0,350.0,325.0,300.0,350.0,1.0
325.0,300.0,350.0,375.0,350.0,400.0,0.337391
325.0,300.0,350.0,425.0,400.0,450.0,-0.079393
325.0,300.0,350.0,475.0,450.0,500.0,-0.053411
325.0,300.0,350.0,525.0,500.0,550.0,-0.009292
325.0,300.0,350.0,575.0,550.0,600.0,-0.000593
325.0,300.0,350.0,625.0,600.0,650.0,0.000175
325.0,300.0,350.0,675.0,650.0,700.0,4.2e-05
325.0,300.0,350.0,750.0,700.0,800.0,-4.8e-05
325.0,300.0,350.0,850.0,800.0,900.0,-3.6e-05
325.0,300.0,350.0,950.0,900.0,1000.0,-1e-06
325.0,300.0,350.0,1050.0,1000.0,1100.0,1e-06
325.0,300.0,350.0,1150.0,1100.0,1200.0,1e-06
325.0,300.0,350.0,1300.0,1200.0,1400.0,-5e-06
325.0,300.0,350.0,1500.0,1400.0,1600.0,-2.8e-05
325.0,300.0,350.0,2050.0,1600.0,2500.0,-0.000244
375.0,350.0,400.0,75.0,50.0,100.0,-0.00016
375.0,350.0,400.0,125.0,100.0,150.0,-0.000354
375.0,350.0,400.0,175.0,150.0,200.0,-0.004025
375.0,350.0,400.0,225.0,200.0,250.0,-0.037241
375.0,350.0,400.0,275.0,250.0,300.0,-0.078312
375.0,350.0,400.0,325.0,300.0,350.0,0.337391
375.0,350.0,400.0,375.0,350.0,400.0,1.0
375.0,350.0,400.0,425.0,400.0,450.0,0.364504
375.0,350.0,400.0,475.0,450.0,500.0,-0.077573
375.0,350.0,400.0,525.0,500.0,550.0,-0.06009
375.0,350.0,400.0,575.0,550.0,600.0,-0.011395
375.0,350.0,400.0,625.0,600.0,650.0,-0.000477
375.0,350.0,400.0,675.0,650.0,700.0,0.000302
375.0,350.0,400.0,750.0,700.0,800.0,8.7e-05
375.0,350.0,400.0,850.0,800.0,900.0,8e-05
375.0,350.0,400.0,950.0,900.0,1000.0,-2.7e-05
375.0,350.0,400.0,1050.0,1000.0,1100.0,-8e-06
375.0,350.0,400.0,1150.0,1100.0,1200.0,1e-06
375.0,350.0,400.0,1300.0,1200.0,1400.0,2e-06
375.0,350.0,400.0,1500.0,1400.0,1600.0,-5.7e-05
375.0,350.0,400.0,2050.0,1600.0,2500.0,-0.000382
425.0,400.0,450.0,75.0,50.0,100.0,-8.5e-05
425.0,400.0,450.0,125.0,100.0,150.0,-0.00013
425.0,400.0,450.0,175.0,150.0,200.0,-0.000201
425.0,400.0,450.0,225.0,200.0,250.0,-0.005398
425.0,400.0,450.0,275.0,250.0,300.0,-0.045413
425.0,400.0,450.0,325.0,300.0,350.0,-0.079393
425.0,400.0,450.0,375.0,350.0,400.0,0.364504
425.0,400.0,450.0,425.0,400.0,450.0,1.0
425.0,400.0,450.0,475.0,450.0,500.0,0.383837
425.0,400.0,450.0,525.0,500.0,550.0,-0.072935
425.0,400.0,450.0,575.0,550.0,600.0,-0.066338
425.0,400.0,450.0,625.0,600.0,650.0,-0.013899
425.0,400.0,450.0,675.0,650.0,700.0,-0.001547
425.0,400.0,450.0,750.0,700.0,800.0,0.000432
425.0,400.0,450.0,850.0,800.0,900.0,-7e-06
425.0,400.0,450.0,950.0,900.0,1000.0,-1e-06
425.0,400.0,450.0,1050.0,1000.0,1100.0,3e-06
425.0,400.0,450.0,1150.0,1100.0,1200.0,1e-06
425.0,400.0,450.0,1300.0,1200.0,1400.0,-3.8e-05
425.0,400.0,450.0,1500.0,1400.0,1600.0,-0.0001
425.0,400.0,450.0,2050.0,1600.0,2500.0,0.000231
475.0,450.0,500.0,75.0,50.0,100.0,-3.7e-05
475.0,450.0,500.0,125.0,100.0,150.0,-9.8e-05
475.0,450.0,500.0,175.0,150.0,200.0,9.1e-05
475.0,450.0,500.0,225.0,200.0,250.0,-0.000309
475.0,450.0,500.0,275.0,250.0,300.0,-0.006785
475.0,450.0,500.0,325.0,300.0,350.0,-0.053411
475.0,450.0,500.0,375.0,350.0,400.0,-0.077573
475.0,450.0,500.0,425.0,400.0,450.0,0.383837
475.0,450.0,500.0,475.0,450.0,500.0,1.0
475.0,450.0,500.0,525.0,500.0,550.0,0.405859
475.0,450.0,500.0,575.0,550.0,600.0,-0.068505
475.0,450.0,500.0,625.0,600.0,650.0,-0.071715
475.0,450.0,500.0,675.0,650.0,700.0,-0.019119
475.0,450.0,500.0,750.0,700.0,800.0,-0.00101
475.0,450.0,500.0,850.0,800.0,900.0,0.000186
475.0,450.0,500.0,950.0,900.0,1000.0,6.6e-05
475.0,450.0,500.0,1050.0,1000.0,1100.0,-5e-06
475.0,450.0,500.0,1150.0,1100.0,1200.0,2e-06
475.0,450.0,500.0,1300.0,1200.0,1400.0,3e-06
475.0,450.0,500.0,1500.0,1400.0,1600.0,-4.6e-05
475.0,450.0,500.0,2050.0,1600.0,2500.0,-0.000328
525.0,500.0,550.0,75.0,50.0,100.0,-2.4e-05
525.0,500.0,550.0,125.0,100.0,150.0,-4e-06
525.0,500.0,550.0,175.0,150.0,200.0,-2e-05
525.0,500.0,550.0,225.0,200.0,250.0,-2.9e-05
525.0,500.0,550.0,275.0,250.0,300.0,7.4e-05
525.0,500.0,550.0,325.0,300.0,350.0,-0.009292
525.0,500.0,550.0,375.0,350.0,400.0,-0.06009
525.0,500.0,550.0,425.0,400.0,450.0,-0.072935
525.0,500.0,550.0,475.0,450.0,500.0,0.405859
525.0,500.0,550.0,525.0,500.0,550.0,1.0
525.0,500.0,550.0,575.0,550.0,600.0,0.443073
525.0,500.0,550.0,625.0,600.0,650.0,-0.062112
525.0,500.0,550.0,675.0,650.0,700.0,-0.082336
525.0,500.0,550.0,750.0,700.0,800.0,-0.016618
525.0,500.0,550.0,850.0,800.0,900.0,0.000244
525.0,500.0,550.0,950.0,900.0,1000.0,0.000202
525.0,500.0,550.0,1050.0,1000.0,1100.0,-4e-05
525.0,500.0,550.0,1150.0,1100.0,1200.0,4e-06
525.0,500.0,550.0,1300.0,1200.0,1400.0,3e-06
525.0,500.0,550.0,1500.0,1400.0,1600.0,-6e-06
525.0,500.0,550.0,2050.0,1600.0,2500.0,-5.3e-05
575.0,550.0,600.0,75.0,50.0,100.0,-1.4e-05
575.0,550.0,600.0,125.0,100.0,150.0,1.9e-05
575.0,550.0,600.0,175.0,150.0,200.0,-6.4e-05
575.0,550.0,600.0,225.0,200.0,250.0,-3.6e-05
575.0,550.0,600.0,275.0,250.0,300.0,0.000363
575.0,550.0,600.0,325.0,300.0,350.0,-0.000593
575.0,550.0,600.0,375.0,350.0,400.0,-0.011395
575.0,550.0,600.0,425.0,400.0,450.0,-0.066338
575.0,550.0,600.0,475.0,450.0,500.0,-0.068505
575.0,550.0,600.0,525.0,500.0,550.0,0.443073
575.0,550.0,600.0,575.0,550.0,600.0,1.0
575.0,550.0,600.0,625.0,600.0,650.0,0.455755
575.0,550.0,600.0,675.0,650.0,700.0,-0.035424
575.0,550.0,600.0,750.0,700.0,800.0,-0.078428
575.0,550.0,600.0,850.0,800.0,900.0,-0.007215
575.0,550.0,600.0,950.0,900.0,1000.0,0.000622
575.0,550.0,600.0,1050.0,1000.0,1100.0,0.000377
575.0,550.0,600.0,1150.0,1100.0,1200.0,1e-06
575.0,550.0,600.0,1300.0,1200.0,1400.0,-2e-06
575.0,550.0,600.0,1500.0,1400.0,1600.0,2e-06
575.0,550.0,600.0,2050.0,1600.0,2500.0,5e-06
625.0,600.0,650.0,75.0,50.0,100.0,-5e-06
625.0,600.0,650.0,125.0,100.0,150.0,-6e-06
625.0,600.0,650.0,175.0,150.0,200.0,-2.4e-05
625.0,600.0,650.0,225.0,200.0,250.0,-8.6e-05
625.0,600.0,650.0,275.0,250.0,300.0,0.000249
625.0,600.0,650.0,325.0,300.0,350.0,0.000175
625.0,600.0,650.0,375.0,350.0,400.0,-0.000477
625.0,600.0,650.0,425.0,400.0,450.0,-0.013899
625.0,600.0,650.0,475.0,450.0,500.0,-0.071715
625.0,600.0,650.0,525.0,500.0,550.0,-0.062112
625.0,600.0,650.0,575.0,550.0,600.0,0.455755
625.0,600.0,650.0,625.0,600.0,650.0,1.0
625.0,600.0,650.0,675.0,650.0,700.0,0.49496
625.0,600.0,650.0,750.0,700.0,800.0,-0.081988
625.0,600.0,650.0,850.0,800.0,900.0,-0.038289
625.0,600.0,650.0,950.0,900.0,1000.0,-0.002435
625.0,600.0,650.0,1050.0,1000.0,1100.0,0.000374
625.0,600.0,650.0,1150.0,1100.0,1200.0,0.000153
625.0,600.0,650.0,1300.0,1200.0,1400.0,2.3e-05
625.0,600.0,650.0,1500.0,1400.0,1600.0,1e-06
625.0,600.0,650.0,2050.0,1600.0,2500.0,-1.3e-05
675.0,650.0,700.0,75.0,50.0,100.0,-0.0
675.0,650.0,700.0,125.0,100.0,150.0,-1.6e-05
675.0,650.0,700.0,175.0,150.0,200.0,-5e-06
675.0,650.0,700.0,225.0,200.0,250.0,-1e-05
675.0,650.0,700.0,275.0,250.0,300.0,5.2e-05
675.0,650.0,700.0,325.0,300.0,350.0,4.2e-05
675.0,650.0,700.0,375.0,350.0,400.0,0.000302
675.0,650.0,700.0,425.0,400.0,450.0,-0.001547
675.0,650.0,700.0,475.0,450.0,500.0,-0.019119
675.0,650.0,700.0,525.0,500.0,550.0,-0.082336
675.0,650.0,700.0,575.0,550.0,600.0,-0.035424
675.0,650.0,700.0,625.0,600.0,650.0,0.49496
675.0,650.0,700.0,675.0,650.0,700.0,1.0
675.0,650.0,700.0,750.0,700.0,800.0,0.367729
675.0,650.0,700.0,850.0,800.0,900.0,-0.111441
675.0,650.0,700.0,950.0,900.0,1000.0,-0.023082
675.0,650.0,700.0,1050.0,1000.0,1100.0,0.000447
675.0,650.0,700.0,1150.0,1100.0,1200.0,0.000539
675.0,650.0,700.0,1300.0,1200.0,1400.0,8.7e-05
675.0,650.0,700.0,1500.0,1400.0,1600.0,3e-06
675.0,650.0,700.0,2050.0,1600.0,2500.0,-8.6e-05
750.0,700.0,800.0,75.0,50.0,100.0,0.0
750.0,700.0,800.0,125.0,100.0,150.0,-1e-06
750.0,700.0,800.0,175.0,150.0,200.0,-4e-06
750.0,700.0,800.0,225.0,200.0,250.0,5e-06
750.0,700.0,800.0,275.0,250.0,300.0,-2.1e-05
750.0,700.0,800.0,325.0,300.0,350.0,-4.8e-05
750.0,700.0,800.0,375.0,350.0,400.0,8.7e-05
750.0,700.0,800.0,425.0,400.0,450.0,0.000432
750.0,700.0,800.0,475.0,450.0,500.0,-0.00101
750.0,700.0,800.0,525.0,500.0,550.0,-0.016618
750.0,700.0,800.0,575.0,550.0,600.0,-0.078428
750.0,700.0,800.0,625.0,600.0,650.0,-0.081988
750.0,700.0,800.0,675.0,650.0,700.0,0.367729
750.0,700.0,800.0,750.0,700.0,800.0,1.0
750.0,700.0,800.0,850.0,800.0,900.0,0.132705
750.0,700.0,800.0,950.0,900.0,1000.0,-0.080296
750.0,700.0,800.0,1050.0,1000.0,1100.0,-0.016155
750.0,700.0,800.0,1150.0,1100.0,1200.0,6.4e-05
750.0,700.0,800.0,1300.0,1200.0,1400.0,0.000239
750.0,700.0,800.0,1500.0,1400.0,1600.0,1.5e-05
750.0,700.0,800.0,2050.0,1600.0,2500.0,-1.3e-05
850.0,800.0,900.0,75.0,50.0,100.0,0.0
850.0,800.0,900.0,125.0,100.0,150.0,0.0
850.0,800.0,900.0,175.0,150.0,200.0,-2e-06
850.0,800.0,900.0,225.0,200.0,250.0,-0.0
850.0,800.0,900.0,275.0,250.0,300.0,-3e-06
850.0,800.0,900.0,325.0,300.0,350.0,-3.6e-05
850.0,800.0,900.0,375.0,350.0,400.0,8e-05
850.0,800.0,900.0,425.0,400.0,450.0,-7e-06
850.0,800.0,900.0,475.0,450.0,500.0,0.000186
850.0,800.0,900.0,525.0,500.0,550.0,0.000244
850.0,800.0,900.0,575.0,550.0,600.0,-0.007215
850.0,800.0,900.0,625.0,600.0,650.0,-0.038289
850.0,800.0,900.0,675.0,650.0,700.0,-0.111441
850.0,800.0,900.0,750.0,700.0,800.0,0.132705
850.0,800.0,900.0,850.0,800.0,900.0,1.0
850.0,800.0,900.0,950.0,900.0,1000.0,0.163572
850.0,800.0,900.0,1050.0,1000.0,1100.0,-0.083595
850.0,800.0,900.0,1150.0,1100.0,1200.0,-0.021207
850.0,800.0,900.0,1300.0,1200.0,1400.0,-0.000892
850.0,800.0,900.0,1500.0,1400.0,1600.0,0.000196
850.0,800.0,900.0,2050.0,1600.0,2500.0,-2.6e-05
950.0,900.0,1000.0,75.0,50.0,100.0,0.0
950.0,900.0,1000.0,125.0,100.0,150.0,0.0
950.0,900.0,1000.0,175.0,150.0,200.0,-8e-06
950.0,900.0,1000.0,225.0,200.0,250.0,5e-06
950.0,900.0,1000.0,275.0,250.0,300.0,-2e-06
950.0,900.0,1000.0,325.0,300.0,350.0,-1e-06
950.0,900.0,1000.0,375.0,350.0,400.0,-2.7e-05
950.0,900.0,1000.0,425.0,400.0,450.0,-1e-06
950.0,900.0,1000.0,475.0,450.0,500.0,6.6e-05
950.0,900.0,1000.0,525.0,500.0,550.0,0.000202
950.0,900.0,1000.0,575.0,550.0,600.0,0.000622
950.0,900.0,1000.0,625.0,600.0,650.0,-0.002435
950.0,900.0,1000.0,675.0,650.0,700.0,-0.023082
950.0,900.0,1000.0,750.0,700.0,800.0,-0.080296
950.0,900.0,1000.0,850.0,800.0,900.0,0.163572
950.0,900.0,1000.0,950.0,900.0,1000.0,1.0
950.0,900.0,1000.0,1050.0,1000.0,1100.0,0.168975
950.0,900.0,1000.0,1150.0,1100.0,1200.0,-0.091434
950.0,900.0,1000.0,1300.0,1200.0,1400.0,-0.012187
950.0,900.0,1000.0,1500.0,1400.0,1600.0,-0.00042
950.0,900.0,1000.0,2050.0,1600.0,2500.0,9.4e-05
1050.0,1000.0,1100.0,75.0,50.0,100.0,-1e-06
1050.0,1000.0,1100.0,125.0,100.0,150.0,-4e-06
1050.0,1000.0,1100.0,175.0,150.0,200.0,-6e-06
1050.0,1000.0,1100.0,225.0,200.0,250.0,-8e-06
1050.0,1000.0,1100.0,275.0,250.0,300.0,0.0
1050.0,1000.0,1100.0,325.0,300.0,350.0,1e-06
1050.0,1000.0,1100.0,375.0,350.0,400.0,-8e-06
1050.0,1000.0,1100.0,425.0,400.0,450.0,3e-06
1050.0,1000.0,1100.0,475.0,450.0,500.0,-5e-06
1050.0,1000.0,1100.0,525.0,500.0,550.0,-4e-05
1050.0,1000.0,1100.0,575.0,550.0,600.0,0.000377
1050.0,1000.0,1100.0,625.0,600.0,650.0,0.000374
1050.0,1000.0,1100.0,675.0,650.0,700.0,0.000447
1050.0,1000.0,1100.0,750.0,700.0,800.0,-0.016155
1050.0,1000.0,1100.0,850.0,800.0,900.0,-0.083595
1050.0,1000.0,1100.0,950.0,900.0,1000.0,0.168975
1050.0,1000.0,1100.0,1050.0,1000.0,1100.0,1.0
1050.0,1000.0,1100.0,1150.0,1100.0,1200.0,0.225019
1050.0,1000.0,1100.0,1300.0,1200.0,1400.0,-0.082828
1050.0,1000.0,1100.0,1500.0,1400.0,1600.0,-0.009504
1050.0,1000.0,1100.0,2050.0,1600.0,2500.0,0.000603
1150.0,1100.0,1200.0,75.0,50.0,100.0,-3e-06
1150.0,1100.0,1200.0,125.0,100.0,150.0,-1.5e-05
1150.0,1100.0,1200.0,175.0,150.0,200.0,2.7e-05
1150.0,1100.0,1200.0,225.0,200.0,250.0,-1.9e-05
1150.0,1100.0,1200.0,275.0,250.0,300.0,-3e-06
1150.0,1100.0,1200.0,325.0,300.0,350.0,1e-06
1150.0,1100.0,1200.0,375.0,350.0,400.0,1e-06
1150.0,1100.0,1200.0,425.0,400.0,450.0,1e-06
1150.0,1100.0,1200.0,475.0,450.0,500.0,2e-06
1150.0,1100.0,1200.0,525.0,500.0,550.0,4e-06
1150.0,1100.0,1200.0,575.0,550.0,600.0,1e-06
1150.0,1100.0,1200.0,625.0,600.0,650.0,0.000153
1150.0,1100.0,1200.0,675.0,650.0,700.0,0.000539
1150.0,1100.0,1200.0,750.0,700.0,800.0,6.4e-05
1150.0,1100.0,1200.0,850.0,800.0,900.0,-0.021207
1150.0,1100.0,1200.0,950.0,900.0,1000.0,-0.091434
1150.0,1100.0,1200.0,1050.0,1000.0,1100.0,0.225019
1150.0,1100.0,1200.0,1150.0,1100.0,1200.0,1.0
1150.0,1100.0,1200.0,1300.0,1200.0,1400.0,0.086236
1150.0,1100.0,1200.0,1500.0,1400.0,1600.0,-0.058221
1150.0,1100.0,1200.0,2050.0,1600.0,2500.0,-0.002726
1300.0,1200.0,1400.0,75.0,50.0,100.0,-1e-06
1300.0,1200.0,1400.0,125.0,100.0,150.0,-3e-06
1300.0,1200.0,1400.0,175.0,150.0,200.0,-1.5e-05
1300.0,1200.0,1400.0,225.0,200.0,250.0,-3e-06
1300.0,1200.0,1400.0,275.0,250.0,300.0,-2.4e-05
1300.0,1200.0,1400.0,325.0,300.0,350.0,-5e-06
1300.0,1200.0,1400.0,375.0,350.0,400.0,2e-06
1300.0,1200.0,1400.0,425.0,400.0,450.0,-3.8e-05
1300.0,1200.0,1400.0,475.0,450.0,500.0,3e-06
1300.0,1200.0,1400.0,525.0,500.0,550.0,3e-06
1300.0,1200.0,1400.0,575.0,550.0,600.0,-2e-06
1300.0,1200.0,1400.0,625.0,600.0,650.0,2.3e-05
1300.0,1200.0,1400.0,675.0,650.0,700.0,8.7e-05
1300.0,1200.0,1400.0,750.0,700.0,800.0,0.000239
1300.0,1200.0,1400.0,850.0,800.0,900.0,-0.000892
1300.0,1200.0,1400.0,950.0,900.0,1000.0,-0.012187
1300.0,1200.0,1400.0,1050.0,1000.0,1100.0,-0.082828
1300.0,1200.0,1400.0,1150.0,1100.0,1200.0,0.086236
1300.0,1200.0,1400.0,1300.0,1200.0,1400.0,1.0
1300.0,1200.0,1400.0,1500.0,1400.0,1600.0,0.042768
1300.0,1200.0,1400.0,2050.0,1600.0,2500.0,-0.037757
1500.0,1400.0,1600.0,75.0,50.0,100.0,-0.0
1500.0,1400.0,1600.0,125.0,100.0,150.0,-1.1e-05
1500.0,1400.0,1600.0,175.0,150.0,200.0,-5e-06
1500.0,1400.0,1600.0,225.0,200.0,250.0,-1e-05
1500.0,1400.0,1600.0,275.0,250.0,300.0,-9.6e-05
1500.0,1400.0,1600.0,325.0,300.0,350.0,-2.8e-05
1500.0,1400.0,1600.0,375.0,350.0,400.0,-5.7e-05
1500.0,1400.0,1600.0,425.0,400.0,450.0,-0.0001
1500.0,1400.0,1600.0,475.0,450.0,500.0,-4.6e-05
1500.0,1400.0,1600.0,525.0,500.0,550.0,-6e-06
1500.0,1400.0,1600.0,575.0,550.0,600.0,2e-06
1500.0,1400.0,1600.0,625.0,600.0,650.0,1e-06
1500.0,1400.0,1600.0,675.0,650.0,700.0,3e-06
