#: table_doi: 10.17182/hepdata.80076.v1/t14
#: name: Table 14
#: description: Statistical correlation between bins in data for the differential cross sections for the production of W<sup>+</sup> bosons as a function of the W p<sub>T</sub> for events with N<sub> jets</sub> &ge; 1.
#: data_file: data14.yaml
#: keyword reactions: P P --> W JET(S) X
#: keyword observables: CORR
#: keyword phrases: Inclusive | Statistical Correlation | Cross Section | Proton-Proton Scattering | W Production | Jet Production
#: keyword cmenergies: 8000.0
#: PT(LEPTON) [GEV],,,,,> 25
#: RE,,,,,P P --> W JET(S) X
#: PT(JET) [GEV],,,,,> 30
#: Correlation for cross section,,,,,W+ (electron channel)
#: SQRT(S) [GEV],,,,,8000.0
#: ABS(ETARAP(ELECTRON)),,,,,< 2.5
#: ABS(YRAP(JET)),,,,,< 4.4
$p_\text{T}^\text{W}\text{ [GeV]}$,$p_\text{T}^\text{W}\text{ [GeV]}$ LOW,$p_\text{T}^\text{W}\text{ [GeV]}$ HIGH,$p_\text{T}^\text{W}\text{ [GeV]}$,$p_\text{T}^\text{W}\text{ [GeV]}$ LOW,$p_\text{T}^\text{W}\text{ [GeV]}$ HIGH,$\rho^{W^+}(p_\text{T}^\text{W})$
425.0,400.0,450.0,275.0,250.0,300.0,-0.024344
425.0,400.0,450.0,325.0,300.0,350.0,-0.088239
425.0,400.0,450.0,375.0,350.0,400.0,0.245531
425.0,400.0,450.0,425.0,400.0,450.0,1.0
425.0,400.0,450.0,475.0,450.0,500.0,0.28261
425.0,400.0,450.0,550.0,500.0,600.0,-0.089259
425.0,400.0,450.0,700.0,600.0,800.0,-0.00919
475.0,450.0,500.0,12.5,0.0,25.0,-4e-06
475.0,450.0,500.0,37.5,25.0,50.0,-7e-06
475.0,450.0,500.0,62.5,50.0,75.0,-2.2e-05
475.0,450.0,500.0,87.5,75.0,100.0,-3e-06
475.0,450.0,500.0,112.5,100.0,125.0,-0.0
475.0,450.0,500.0,137.5,125.0,150.0,1e-06
475.0,450.0,500.0,162.5,150.0,175.0,-6e-06
475.0,450.0,500.0,187.5,175.0,200.0,5.9e-05
475.0,450.0,500.0,225.0,200.0,250.0,0.000362
475.0,450.0,500.0,275.0,250.0,300.0,-0.000477
475.0,450.0,500.0,325.0,300.0,350.0,-0.029429
475.0,450.0,500.0,375.0,350.0,400.0,-0.094095
475.0,450.0,500.0,425.0,400.0,450.0,0.28261
475.0,450.0,500.0,475.0,450.0,500.0,1.0
475.0,450.0,500.0,550.0,500.0,600.0,0.123969
475.0,450.0,500.0,700.0,600.0,800.0,-0.050583
550.0,500.0,600.0,12.5,0.0,25.0,-7e-06
550.0,500.0,600.0,37.5,25.0,50.0,-2.1e-05
550.0,500.0,600.0,62.5,50.0,75.0,2e-05
550.0,500.0,600.0,87.5,75.0,100.0,-2.5e-05
550.0,500.0,600.0,112.5,100.0,125.0,-4e-06
550.0,500.0,600.0,137.5,125.0,150.0,-1e-05
550.0,500.0,600.0,162.5,150.0,175.0,-2.4e-05
550.0,500.0,600.0,187.5,175.0,200.0,-0.000122
550.0,500.0,600.0,225.0,200.0,250.0,8.7e-05
550.0,500.0,600.0,275.0,250.0,300.0,0.000269
550.0,500.0,600.0,325.0,300.0,350.0,-0.001028
550.0,500.0,600.0,375.0,350.0,400.0,-0.024182
550.0,500.0,600.0,425.0,400.0,450.0,-0.089259
550.0,500.0,600.0,475.0,450.0,500.0,0.123969
550.0,500.0,600.0,550.0,500.0,600.0,1.0
550.0,500.0,600.0,700.0,600.0,800.0,-0.01156
700.0,600.0,800.0,12.5,0.0,25.0,-1.7e-05
700.0,600.0,800.0,37.5,25.0,50.0,-2.8e-05
700.0,600.0,800.0,62.5,50.0,75.0,-4.1e-05
700.0,600.0,800.0,87.5,75.0,100.0,-5.1e-05
700.0,600.0,800.0,112.5,100.0,125.0,-1.8e-05
700.0,600.0,800.0,137.5,125.0,150.0,-9e-06
700.0,600.0,800.0,162.5,150.0,175.0,-2.1e-05
700.0,600.0,800.0,187.5,175.0,200.0,-6.4e-05
700.0,600.0,800.0,225.0,200.0,250.0,-0.000132
700.0,600.0,800.0,275.0,250.0,300.0,3.4e-05
700.0,600.0,800.0,325.0,300.0,350.0,0.000115
700.0,600.0,800.0,375.0,350.0,400.0,0.000293
700.0,600.0,800.0,425.0,400.0,450.0,-0.00919
700.0,600.0,800.0,475.0,450.0,500.0,-0.050583
700.0,600.0,800.0,550.0,500.0,600.0,-0.01156
700.0,600.0,800.0,700.0,600.0,800.0,1.0

