#: table_doi: 10.17182/hepdata.80076.v1/t9
#: name: Table 9
#: description: Statistical correlation between bins in data for the differential cross sections for the production of W<sup>+</sup> bosons as a function of the H<sub> T</sub> for events with N<sub> jets</sub> &ge; 1.
#: data_file: data9.yaml
#: keyword reactions: P P --> W JET(S) X
#: keyword observables: CORR
#: keyword phrases: Inclusive | Statistical Correlation | Cross Section | Proton-Proton Scattering | W Production | Jet Production
#: keyword cmenergies: 8000.0
#: PT(LEPTON) [GEV],,,,,> 25
#: RE,,,,,P P --> W JET(S) X
#: PT(JET) [GEV],,,,,> 30
#: Correlation for cross section,,,,,W+ (electron channel)
#: SQRT(S) [GEV],,,,,8000.0
#: ABS(ETARAP(ELECTRON)),,,,,< 2.5
#: ABS(YRAP(JET)),,,,,< 4.4
$H_\text{T}\text{ [GeV]}$,$H_\text{T}\text{ [GeV]}$ LOW,$H_\text{T}\text{ [GeV]}$ HIGH,$H_\text{T}\text{ [GeV]}$,$H_\text{T}\text{ [GeV]}$ LOW,$H_\text{T}\text{ [GeV]}$ HIGH,$\rho^{W^+}(H_\text{T})$
375.0,350.0,400.0,1500.0,1400.0,1600.0,-6.8e-05
375.0,350.0,400.0,2050.0,1600.0,2500.0,7.6e-05
425.0,400.0,450.0,75.0,50.0,100.0,-8.2e-05
425.0,400.0,450.0,125.0,100.0,150.0,-0.000107
425.0,400.0,450.0,175.0,150.0,200.0,-0.000181
425.0,400.0,450.0,225.0,200.0,250.0,-0.005939
425.0,400.0,450.0,275.0,250.0,300.0,-0.047853
425.0,400.0,450.0,325.0,300.0,350.0,-0.079034
425.0,400.0,450.0,375.0,350.0,400.0,0.363724
425.0,400.0,450.0,425.0,400.0,450.0,1.0
425.0,400.0,450.0,475.0,450.0,500.0,0.395646
425.0,400.0,450.0,525.0,500.0,550.0,-0.07015
425.0,400.0,450.0,575.0,550.0,600.0,-0.071403
425.0,400.0,450.0,625.0,600.0,650.0,-0.016556
425.0,400.0,450.0,675.0,650.0,700.0,-0.001113
425.0,400.0,450.0,750.0,700.0,800.0,0.000235
425.0,400.0,450.0,850.0,800.0,900.0,0.000168
425.0,400.0,450.0,950.0,900.0,1000.0,3.5e-05
425.0,400.0,450.0,1050.0,1000.0,1100.0,-7e-06
425.0,400.0,450.0,1150.0,1100.0,1200.0,-1e-05
425.0,400.0,450.0,1300.0,1200.0,1400.0,-0.0
425.0,400.0,450.0,1500.0,1400.0,1600.0,-1e-05
425.0,400.0,450.0,2050.0,1600.0,2500.0,-0.000188
475.0,450.0,500.0,75.0,50.0,100.0,5e-06
475.0,450.0,500.0,125.0,100.0,150.0,-3.6e-05
475.0,450.0,500.0,175.0,150.0,200.0,1e-06
475.0,450.0,500.0,225.0,200.0,250.0,-0.000178
475.0,450.0,500.0,275.0,250.0,300.0,-0.007674
475.0,450.0,500.0,325.0,300.0,350.0,-0.055852
475.0,450.0,500.0,375.0,350.0,400.0,-0.077839
475.0,450.0,500.0,425.0,400.0,450.0,0.395646
475.0,450.0,500.0,475.0,450.0,500.0,1.0
475.0,450.0,500.0,525.0,500.0,550.0,0.410654
475.0,450.0,500.0,575.0,550.0,600.0,-0.06376
475.0,450.0,500.0,625.0,600.0,650.0,-0.077763
475.0,450.0,500.0,675.0,650.0,700.0,-0.020523
475.0,450.0,500.0,750.0,700.0,800.0,-0.00063
475.0,450.0,500.0,850.0,800.0,900.0,0.000247
475.0,450.0,500.0,950.0,900.0,1000.0,1.4e-05
475.0,450.0,500.0,1050.0,1000.0,1100.0,-2e-06
475.0,450.0,500.0,1150.0,1100.0,1200.0,-2e-06
475.0,450.0,500.0,1300.0,1200.0,1400.0,1e-06
475.0,450.0,500.0,1500.0,1400.0,1600.0,-1e-06
475.0,450.0,500.0,2050.0,1600.0,2500.0,-3.9e-05
525.0,500.0,550.0,75.0,50.0,100.0,9.4e-05
525.0,500.0,550.0,125.0,100.0,150.0,-4.2e-05
525.0,500.0,550.0,175.0,150.0,200.0,-8e-06
525.0,500.0,550.0,225.0,200.0,250.0,1.6e-05
525.0,500.0,550.0,275.0,250.0,300.0,-0.000204
525.0,500.0,550.0,325.0,300.0,350.0,-0.009908
525.0,500.0,550.0,375.0,350.0,400.0,-0.06274
525.0,500.0,550.0,425.0,400.0,450.0,-0.07015
525.0,500.0,550.0,475.0,450.0,500.0,0.410654
525.0,500.0,550.0,525.0,500.0,550.0,1.0
525.0,500.0,550.0,575.0,550.0,600.0,0.448173
525.0,500.0,550.0,625.0,600.0,650.0,-0.05418
525.0,500.0,550.0,675.0,650.0,700.0,-0.085094
525.0,500.0,550.0,750.0,700.0,800.0,-0.018571
525.0,500.0,550.0,850.0,800.0,900.0,0.000172
525.0,500.0,550.0,950.0,900.0,1000.0,0.000338
525.0,500.0,550.0,1050.0,1000.0,1100.0,5.8e-05
525.0,500.0,550.0,1150.0,1100.0,1200.0,-5e-06
525.0,500.0,550.0,1300.0,1200.0,1400.0,1e-06
525.0,500.0,550.0,1500.0,1400.0,1600.0,-2e-06
525.0,500.0,550.0,2050.0,1600.0,2500.0,-5.4e-05
575.0,550.0,600.0,75.0,50.0,100.0,-1e-06
575.0,550.0,600.0,125.0,100.0,150.0,-9e-06
575.0,550.0,600.0,175.0,150.0,200.0,-3.4e-05
575.0,550.0,600.0,225.0,200.0,250.0,1.2e-05
575.0,550.0,600.0,275.0,250.0,300.0,0.000192
575.0,550.0,600.0,325.0,300.0,350.0,-0.000417
575.0,550.0,600.0,375.0,350.0,400.0,-0.013045
575.0,550.0,600.0,425.0,400.0,450.0,-0.071403
575.0,550.0,600.0,475.0,450.0,500.0,-0.06376
575.0,550.0,600.0,525.0,500.0,550.0,0.448173
575.0,550.0,600.0,575.0,550.0,600.0,1.0
575.0,550.0,600.0,625.0,600.0,650.0,0.464389
575.0,550.0,600.0,675.0,650.0,700.0,-0.04068
575.0,550.0,600.0,750.0,700.0,800.0,-0.075283
575.0,550.0,600.0,850.0,800.0,900.0,-0.007042
