  950     0.015      3.98    +0.99  -0.81     +0.15  -0.24     1e-1       9.15    +1.18  -1.05     +0.26  -0.50     1e-1   6.73    +0.75  -0.68     +0.20  -0.37     1e-1      
  950     0.032      4.30    +0.69  -0.60     +0.10  -0.12     1e-1       1.04    +0.09  -0.08     +0.02  -0.03     1e0     7.57    +0.55  -0.51     +0.17  -0.20     1e-1      
  950     0.068      4.37    +0.66  -0.58     +0.07  -0.08     1e-1       6.75    +0.67  -0.62     +0.10  -0.10     1e-1   5.55    +0.45  -0.42     +0.09  -0.08     1e-1      
  950     0.130      3.04    +0.69  -0.57     +0.05  -0.06     1e-1       5.98    +0.77  -0.69     +0.10  -0.11     1e-1   4.58    +0.50  -0.45     +0.07  -0.08     1e-1      
  950     0.240      1.12    +0.67  -0.44     +0.01  -0.01     1e-1       2.31    +0.71  -0.56     +0.01  -0.02     1e-1   1.75    +0.45  -0.36     +0.01  -0.01     1e-1      
  1700   0.032      3.12    +0.52  -0.45     +0.09  -0.07     1e-1       7.20    +0.64  -0.59     +0.13  -0.18     1e-1   5.29    +0.41  -0.38     +0.10  -0.11     1e-1      
  1700   0.068      2.48    +0.42  -0.36     +0.03  -0.04     1e-1       7.10    +0.57  -0.53     +0.09  -0.10     1e-1   4.98    +0.35  -0.33     +0.06  -0.06     1e-1      
  1700   0.130      2.68    +0.52  -0.44     +0.03  -0.04     1e-1       3.66    +0.50  -0.45     +0.04  -0.03     1e-1   3.14    +0.34  -0.31     +0.03  -0.03     1e-1      
  1700   0.240      1.65    +0.46  -0.37     +0.05  -0.03     1e-1       2.66    +0.46  -0.40     +0.02  -0.04     1e-1   2.16    +0.30  -0.27     +0.03  -0.03     1e-1      
  1700   0.420      1.80    +4.14  -1.49     +0.08  -0.08     1e-2       9.47    +5.10  -3.49     +0.32  -0.44     1e-2   6.03    +2.97  -2.09     +0.22  -0.27     1e-2      
  3000   0.032      3.10    +0.79  -0.64     +0.14  -0.19     1e-1       4.73    +0.79  -0.68     +0.23  -0.17     1e-1   3.91    +0.52  -0.46     +0.18  -0.15     1e-1      
  3000   0.068      2.47    +0.38  -0.33     +0.06  -0.08     1e-1       5.24    +0.44  -0.41     +0.12  -0.15     1e-1   3.93    +0.28  -0.27     +0.09  -0.12     1e-1      
  3000   0.130      2.08    +0.39  -0.34     +0.05  -0.03     1e-1       3.41    +0.41  -0.37     +0.07  -0.05     1e-1   2.75    +0.27  -0.25     +0.06  -0.04     1e-1      
  3000   0.240      9.08    +2.87  -2.25     +0.51  -0.31     1e-2       2.63    +0.37  -0.33     +0.07  -0.07     1e-1   1.84    +0.23  -0.21     +0.06  -0.05     1e-1      
  3000   0.420      2.95    +2.33  -1.41     +0.12  -0.20     1e-2       6.47    +2.46  -1.84     +0.26  -0.39     1e-2   4.82    +1.53  -1.19     +0.18  -0.30     1e-2      
  5300   0.068      1.68    +0.37  -0.31     +0.10  -0.10     1e-1       3.05    +0.40  -0.35     +0.19  -0.16     1e-1   2.39    +0.26  -0.23     +0.15  -0.13     1e-1      
  5300   0.130      1.55    +0.33  -0.27     +0.08  -0.08     1e-1       2.45    +0.33  -0.29     +0.12  -0.12     1e-1   2.00    +0.22  -0.20     +0.10  -0.10     1e-1      
  5300   0.240      9.97    +2.76  -2.21     +0.53  -0.57     1e-2       1.83    +0.30  -0.26     +0.10  -0.10     1e-1   1.43    +0.19  -0.17     +0.07  -0.08     1e-1      
  5300   0.420      2.12    +1.67  -1.01     +0.22  -0.13     1e-2       1.17    +0.25  -0.21     +0.11  -0.08     1e-1   7.39    +1.50  -1.26     +0.68  -0.48     1e-2      
  9500   0.130      4.54    +2.07  -1.48     +0.56  -0.45     1e-2       1.42    +0.27  -0.23     +0.18  -0.14     1e-1   9.79    +1.64  -1.42     +1.21  -0.97     1e-2      
  9500   0.240      3.50    +1.89  -1.29     +0.39  -0.26     1e-2       1.33    +0.26  -0.22     +0.13  -0.10     1e-1   8.84    +1.56  -1.34     +0.84  -0.65     1e-2      
  9500   0.420      3.66    +1.97  -1.35     +0.59  -0.37     1e-2       4.20    +1.69  -1.25     +0.48  -0.43     1e-2   3.84    +1.14  -0.90     +0.43  -0.38     1e-2      
  17000 0.240      3.02    +1.80  -1.20     +0.57  -0.46     1e-2       3.69    +1.58  -1.14     +0.70  -0.57     1e-2   3.29    +1.04  -0.82     +0.63  -0.51     1e-2      
  17000 0.420      1.10    +1.45  -0.71     +0.19  -0.14     1e-2       3.21    +1.58  -1.11     +0.57  -0.42     1e-2   2.24    +0.96  -0.70     +0.43  -0.29     1e-2      
  30000 0.420      5.32    +12.24  -4.41     +1.85  -1.47     1e-3       1.17    +1.14  -0.64     +0.41  -0.32   1e-2   8.71    +6.89  -4.17     +3.03  -2.40     1e-3      


