player,coalition_without,v_without,v_with,delta_v,is_outlier
s,cbar|ubar|d|c,0.04434526,0.06666190,0.02231663,0
s,ubar|g|d|c,0.04360537,0.06577440,0.02216903,0
u,cbar|sbar|dbar|c,0.01834549,0.04040524,0.02205975,0
s,cbar|ubar|dbar|g|d,0.04771822,0.06977152,0.02205330,0
d,sbar|ubar|u|s|c,0.02413518,0.04618076,0.02204557,0
s,cbar|ubar|g|d|u|c,0.04952498,0.07156593,0.02204095,0
ubar,cbar|sbar|g|s|c,0.01455930,0.03657408,0.02201478,0
d,cbar|ubar|u|c,0.01523134,0.03712409,0.02189276,0
ubar,cbar|sbar|dbar|g|d|c,0.02792756,0.04979306,0.02186549,0
ubar,cbar|g|u|s,0.01352450,0.03536205,0.02183755,0
dbar,cbar|sbar|u|c,0.01857871,0.04040524,0.02182653,0
ubar,cbar|sbar|dbar|d|u|s,0.03373050,0.05551662,0.02178613,0
d,sbar|ubar,0.00948610,0.03123846,0.02175236,0
dbar,sbar|g|u|s|c,0.02620117,0.04795322,0.02175206,0
d,cbar|sbar|g|s|c,0.01455930,0.03630311,0.02174381,0
d,cbar|g|u|s,0.01352450,0.03522737,0.02170287,0
ubar,cbar|dbar|g|d|u,0.02443560,0.04612644,0.02169083,0
dbar,sbar|u,0.01560114,0.03728863,0.02168750,0
u,sbar|dbar|s|c,0.01857515,0.04023553,0.02166038,0
d,g|s|c,0.00737772,0.02901205,0.02163433,0
ubar,cbar|sbar|d|u,0.01586252,0.03748470,0.02162218,0
s,cbar|sbar|ubar|d,0.04178818,0.06324175,0.02145358,0
ubar,dbar|g|d|u|s|c,0.03498109,0.05638674,0.02140565,0
u,sbar|dbar|g,0.02111415,0.04250439,0.02139023,0
ubar,sbar|d|u|s|c,0.02484606,0.04618076,0.02133469,0
s,sbar|ubar|g|d,0.04290688,0.06421606,0.02130918,0
d,cbar|sbar|ubar|g|u|c,0.03071926,0.05199062,0.02127136,0
ubar,g|d|u|c,0.01803594,0.03928833,0.02125239,0
sbar,dbar|g|u|c,0.03071056,0.05193228,0.02122172,0
d,cbar|sbar|ubar|dbar|u|s,0.03429630,0.05551662,0.02122032,0
s,cbar|sbar|ubar|g|d|u,0.05089441,0.07207796,0.02118355,0
d,ubar|g|u|c,0.01811764,0.03928833,0.02117069,0
d,sbar|ubar|dbar|s|c,0.02231623,0.04346168,0.02114545,0
d,ubar|dbar|u|s,0.01945899,0.04056243,0.02110344,0
s,cbar|ubar|dbar|g|d|c,0.04591601,0.06701121,0.02109520,0
d,cbar|ubar|dbar|c,0.01246006,0.03345191,0.02099184,0
dbar,sbar|u|s|c,0.01926763,0.04023553,0.02096790,0
s,ubar|d,0.03703747,0.05784052,0.02080305,0
d,cbar|dbar|g|s,0.01176067,0.03255878,0.02079811,0
ubar,cbar|dbar|g|s,0.01176067,0.03247736,0.02071669,0
s,cbar|ubar|d|u,0.03833493,0.05900961,0.02067469,0
u,sbar|dbar,0.01662444,0.03728863,0.02066419,0
ubar,cbar|sbar|s,0.00616431,0.02681328,0.02064897,0
ubar,cbar|g,0.00454968,0.02510534,0.02055566,0
s,ubar|g|d|u,0.03961988,0.06014864,0.02052876,0
ubar,cbar|sbar|dbar|d,0.01549458,0.03599719,0.02050262,0
s,cbar|sbar|ubar|d|c,0.03911096,0.05960520,0.02049424,0
d,sbar|ubar|dbar|g|u|s,0.04237402,0.06286741,0.02049339,0
d,cbar|sbar|ubar|dbar|g|c,0.02941926,0.04979306,0.02037380,0
s,sbar|ubar|g|d|c,0.04111193,0.06146220,0.02035027,0
d,cbar|ubar|dbar|g|u,0.02578809,0.04612644,0.02033835,0
ubar,g|s|c,0.00737772,0.02765111,0.02027339,0
d,ubar|dbar|g|c,0.01589500,0.03616637,0.02027138,0
s,cbar|sbar|ubar|dbar|g|d,0.04946945,0.06970762,0.02023818,0
s,cbar|sbar|ubar|g|d|u|c,0.05199062,0.07221444,0.02022382,0
ubar,sbar|dbar|d|s|c,0.02324878,0.04346168,0.02021289,0
u,cbar|sbar|dbar|g|s|c,0.02511013,0.04529707,0.02018694,0
ubar,dbar|g|d|c,0.01602908,0.03616637,0.02013729,0
ubar,sbar|d|c,0.00921113,0.02926486,0.02005373,0
ubar,dbar|d|u|s,0.02053267,0.04056243,0.02002976,0
sbar,dbar|u|c,0.02651612,0.04652966,0.02001354,0
d,cbar|sbar|s,0.00616431,0.02611103,0.01994672,0
ubar,d|u,0.00854205,0.02842342,0.01988136,0
s,ubar|d|c,0.03294264,0.05278959,0.01984695,0
d,s,0.00262572,0.02245739,0.01983166,0
dbar,cbar|sbar|g|u,0.01831144,0.03809802,0.01978658,0
s,cbar|ubar|dbar|d,0.03543012,0.05515764,0.01972752,0
s,cbar|ubar|d|u|c,0.03712409,0.05684190,0.01971780,0
sbar,cbar|dbar|g|u|c,0.02715918,0.04682165,0.01966247,0
s,ubar|dbar|g|d,0.03726732,0.05684858,0.01958126,0
s,ubar|g|d|u|c,0.03928833,0.05886059,0.01957226,0
d,cbar|sbar|ubar|u,0.01801262,0.03748470,0.01947209,0
u,cbar|sbar|dbar|s|c,0.01710107,0.03656288,0.01946181,0
s,cbar|ubar|dbar|g|d|u,0.04612644,0.06557730,0.01945086,0
sbar,dbar|g|u|s|c,0.02855246,0.04795322,0.01940077,0
d,sbar|ubar|c,0.00986575,0.02926486,0.01939910,0
ubar,cbar|g|u|s|c,0.01632315,0.03571894,0.01939579,0
ubar,sbar|dbar|g|d|u|s,0.04350048,0.06286741,0.01936693,0
d,ubar|u,0.00905808,0.02842342,0.01936533,0
d,cbar|g|u|s|c,0.01632315,0.03568221,0.01935906,0
ubar,cbar|sbar|dbar|d|u|s|c,0.03896160,0.05829616,0.01933456,0
s,cbar|sbar|ubar|dbar|g|d|c,0.04979306,0.06907113,0.01927807,0
ubar,cbar|dbar|g|d|u|c,0.02866773,0.04791398,0.01924625,0
d,sbar|g|s,0.01027698,0.02949660,0.01921962,0
ubar,sbar|g|d|u,0.02230622,0.04151293,0.01920671,0
u,cbar|sbar|dbar|g,0.01890568,0.03809802,0.01919233,0
ubar,cbar|sbar|d|u|c,0.01922989,0.03839971,0.01916982,0
sbar,dbar|g|u,0.02343320,0.04250439,0.01907119,0
dbar,cbar|sbar|g|u|s|c,0.02623024,0.04529707,0.01906682,0
d,cbar|g,0.00454968,0.02360714,0.01905746,0
dbar,cbar|sbar|u,0.01286315,0.03186767,0.01900452,0
s,sbar|ubar|d,0.03123846,0.05022350,0.01898504,0
dbar,sbar|g|u|s,0.02055453,0.03948372,0.01892919,0
ubar,s,0.00262572,0.02152429,0.01889857,0
d,cbar|sbar|ubar|dbar|u|s|c,0.03942719,0.05829616,0.01886897,0
s,cbar|sbar|ubar|d|u,0.03748470,0.05634302,0.01885831,0
u,sbar|dbar|g|s,0.02068972,0.03948372,0.01879400,0
s,cbar|ubar|dbar|d|c,0.03345191,0.05222217,0.01877027,0
ubar,dbar|d,0.00724220,0.02600715,0.01876495,0
d,ubar|dbar|u|s|c,0.02315774,0.04191472,0.01875698,0
