#: table_doi: 10.17182/hepdata.80076.v1/t69
#: name: Table 69
#: description: Non-perturbative corrections for the differential cross sections for the production of W<sup>+</sup> bosons and W<sup>-</sup> bosons as a function of the leading jet p<sub>T</sub> for events with N<sub> jets</sub> &ge; 1.
#: data_file: data69.yaml
#: keyword reactions: P P --> W JET(S) X
#: keyword observables: NPC
#: keyword phrases: Inclusive | Non-perturbative Correction | Cross Section | Proton-Proton Scattering | W Production | Jet Production
#: keyword cmenergies: 8000.0
#: ABS(YRAP(JET)),,,< 4.4
#: PT(JET) [GEV],,,> 30
#: SQRT(S) [GEV],,,8000.0
#: RE,,,P P --> W JET(S) X
#: Non-perturbative correction for cross section,,,W+ production
#: PT(LEPTON) [GEV],,,> 25
#: ABS(ETARAP(ELECTRON)),,,< 2.5
$p_\text{T}^\text{jet1}\text{ [GeV]}$,$p_\text{T}^\text{jet1}\text{ [GeV]}$ LOW,$p_\text{T}^\text{jet1}\text{ [GeV]}$ HIGH,$c_{NPC}^{W^+}(p_\text{T}^\text{jet1})$,Stat +,Stat -,NumberOfPartons +,NumberOfPartons -,QFS +,QFS -,CSSKIN +,CSSKIN -,CSSEVO +,CSSEVO -
525.0,500.0,550.0,0.998,0.0014,-0.0014,0.0066,-0.0066,0.0328,0.0045,0.0032,-0.0032,0.0207,-0.0207
575.0,550.0,600.0,0.998,0.0014,-0.0014,0.0066,-0.0066,0.0328,0.0045,0.0032,-0.0032,0.0207,-0.0207
650.0,600.0,700.0,0.998,0.0014,-0.0014,0.0066,-0.0066,0.0328,0.0045,0.0032,-0.0032,0.0207,-0.0207
850.0,700.0,1000.0,0.998,0.0014,-0.0014,0.0066,-0.0066,0.0328,0.0045,0.0032,-0.0032,0.0207,-0.0207
1250.0,1000.0,1500.0,0.998,0.0014,-0.0014,0.0066,-0.0066,0.0328,0.0045,0.0032,-0.0032,0.0207,-0.0207

#: ABS(YRAP(JET)),,,< 4.4
#: PT(JET) [GEV],,,> 30
#: SQRT(S) [GEV],,,8000.0
#: RE,,,P P --> W JET(S) X
#: Non-perturbative correction for cross section,,,W- production
#: PT(LEPTON) [GEV],,,> 25
#: ABS(ETARAP(ELECTRON)),,,< 2.5
$p_\text{T}^\text{jet1}\text{ [GeV]}$,$p_\text{T}^\text{jet1}\text{ [GeV]}$ LOW,$p_\text{T}^\text{jet1}\text{ [GeV]}$ HIGH,$c_{NPC}^{W^-}(p_\text{T}^\text{jet1})$,Stat +,Stat -,NumberOfPartons +,NumberOfPartons -,QFS +,QFS -,CSSKIN +,CSSKIN -,CSSEVO +,CSSEVO -
35.0,30.0,40.0,1.043,0.0002,-0.0002,0.002,-0.002,0.0004,-0.002,0.01,-0.01,0.009,-0.009
50.0,40.0,60.0,1.026,0.0001,-0.0001,-0.001,0.001,-0.001,-0.017,0.004,-0.004,0.005,-0.005
70.0,60.0,80.0,1.016,0.0002,-0.0002,-0.001,0.001,-0.001,-0.011,0.003,-0.003,-0.0003,0.0003
90.0,80.0,100.0,1.007,0.0002,-0.0002,0.003,-0.003,0.007,0.001,0.005,-0.005,0.007,-0.007
110.0,100.0,120.0,1.011,0.0003,-0.0003,0.003,-0.003,0.001,0.0005,-0.01,0.01,-0.001,0.001
130.0,120.0,140.0,1.014,0.0005,-0.0005,-0.0005,0.0005,-0.007,-0.005,-0.005,0.005,-0.005,0.005
150.0,140.0,160.0,1.004,0.0003,-0.0003,0.01,-0.01,0.013,0.006,0.003,-0.003,0.008,-0.008
170.0,160.0,180.0,1.021,0.001,-0.001,-0.015,0.015,0.007,0.005,-0.005,0.005,-0.017,0.017
190.0,180.0,200.0,1.027,0.002,-0.002,-0.026,0.026,-0.014,0.002,-0.024,0.024,-0.012,0.012
210.0,200.0,220.0,1.038,0.002,-0.002,-0.035,0.035,-0.051,-0.028,-0.029,0.029,-0.03,0.03
230.0,220.0,240.0,1.025,0.002,-0.002,-0.008,0.008,-0.011,0.031,-0.015,0.015,0.001,-0.001
250.0,240.0,260.0,1.004,0.001,-0.001,0.011,-0.011,-0.013,0.029,0.039,-0.039,0.018,-0.018
270.0,260.0,280.0,1.01,0.003,-0.003,0.003,-0.003,0.006,0.03,0.042,-0.042,0.04,-0.04
290.0,280.0,300.0,1.043,0.005,-0.005,-0.082,0.082,-0.062,-0.034,0.045,-0.045,-0.034,0.034
325.0,300.0,350.0,0.9975,0.0011,-0.0011,0.0061,-0.0061,0.0132,0.0406,0.0328,-0.0328,0.004,-0.004
375.0,350.0,400.0,1.001,0.001,-0.001,0.051,-0.051,0.028,0.037,-0.002,0.002,0.028,-0.028
425.0,400.0,450.0,1.001,0.001,-0.001,0.051,-0.051,0.028,0.037,-0.002,0.002,0.028,-0.028
475.0,450.0,500.0,1.001,0.001,-0.001,0.051,-0.051,0.028,0.037,-0.002,0.002,0.028,-0.028
525.0,500.0,550.0,1.001,0.001,-0.001,0.051,-0.051,0.028,0.037,-0.002,0.002,0.028,-0.028
575.0,550.0,600.0,1.001,0.001,-0.001,0.051,-0.051,0.028,0.037,-0.002,0.002,0.028,-0.028
650.0,600.0,700.0,1.001,0.001,-0.001,0.051,-0.051,0.028,0.037,-0.002,0.002,0.028,-0.028
850.0,700.0,1000.0,1.001,0.001,-0.001,0.051,-0.051,0.028,0.037,-0.002,0.002,0.028,-0.028
1250.0,1000.0,1500.0,1.001,0.001,-0.001,0.051,-0.051,0.028,0.037,-0.002,0.002,0.028,-0.028

