#: table_doi: 10.17182/hepdata.89225.v1/t8
#: name: Table 8
#: description: Statistical correlation between bins in data for the measured fiducial cross-section of $WW\rightarrow e\mu$ production for the observable $m_{e\mu}$.

#: data_file: data8.yaml
#: keyword reactions: P P --> W+ W-
#: keyword observables: CORR
#: keyword phrases: Correlation | Proton-Proton Scattering | W pair Production
#: keyword cmenergies: 13000.0
#: PT(JET) [GEV],,,,,> 35
#: M(ELECTRON,MUON) [GEV],,,,,> 55
#: Statistical correlation for cross section,,,,,WW production
#: ABS(ETARAP(JET)),,,,,< 4.5
#: ETMISS [GEV],,,,,> 20
#: N(JET),,,,,= 0
#: PT(ELECTRON,MUON) [GEV],,,,,> 30
#: RE,,,,,P P --> W+ W-
#: SQRT(S) [GEV],,,,,13000.0
#: ABS(ETARAP(LEPTON)),,,,,< 2.5
#: PT(LEPTON) [GEV],,,,,> 27
$m_{e\mu}\text{ [GeV]}$,$m_{e\mu}\text{ [GeV]}$ LOW,$m_{e\mu}\text{ [GeV]}$ HIGH,$m_{e\mu}\text{ [GeV]}$,$m_{e\mu}\text{ [GeV]}$ LOW,$m_{e\mu}\text{ [GeV]}$ HIGH,$\rho(m_{e\mu})$
117.5,110.0,125.0,250.0,220.0,280.0,0.0332
117.5,110.0,125.0,330.0,280.0,380.0,-0.0047
117.5,110.0,125.0,490.0,380.0,600.0,0.0045
117.5,110.0,125.0,1050.0,600.0,1500.0,-0.0039
132.5,125.0,140.0,65.0,55.0,75.0,0.0303
132.5,125.0,140.0,80.0,75.0,85.0,0.0037
132.5,125.0,140.0,90.0,85.0,95.0,-0.0206
132.5,125.0,140.0,102.5,95.0,110.0,-0.0002
132.5,125.0,140.0,117.5,110.0,125.0,0.1406
132.5,125.0,140.0,132.5,125.0,140.0,1.0
132.5,125.0,140.0,150.0,140.0,160.0,0.2004
132.5,125.0,140.0,172.5,160.0,185.0,0.0462
132.5,125.0,140.0,202.5,185.0,220.0,0.0456
132.5,125.0,140.0,250.0,220.0,280.0,-0.001
132.5,125.0,140.0,330.0,280.0,380.0,0.0118
132.5,125.0,140.0,490.0,380.0,600.0,0.0019
132.5,125.0,140.0,1050.0,600.0,1500.0,0.0008
150.0,140.0,160.0,65.0,55.0,75.0,-0.0151
150.0,140.0,160.0,80.0,75.0,85.0,-0.0034
150.0,140.0,160.0,90.0,85.0,95.0,-0.0129
150.0,140.0,160.0,102.5,95.0,110.0,0.0221
150.0,140.0,160.0,117.5,110.0,125.0,-0.0186
150.0,140.0,160.0,132.5,125.0,140.0,0.2004
150.0,140.0,160.0,150.0,140.0,160.0,1.0
150.0,140.0,160.0,172.5,160.0,185.0,0.1361
150.0,140.0,160.0,202.5,185.0,220.0,-0.0272
150.0,140.0,160.0,250.0,220.0,280.0,-0.0167
150.0,140.0,160.0,330.0,280.0,380.0,0.0139
150.0,140.0,160.0,490.0,380.0,600.0,0.0117
150.0,140.0,160.0,1050.0,600.0,1500.0,0.0225
172.5,160.0,185.0,65.0,55.0,75.0,0.0001
172.5,160.0,185.0,80.0,75.0,85.0,-0.016
172.5,160.0,185.0,90.0,85.0,95.0,-0.0018
172.5,160.0,185.0,102.5,95.0,110.0,-0.008
172.5,160.0,185.0,117.5,110.0,125.0,-0.01
172.5,160.0,185.0,132.5,125.0,140.0,0.0462
172.5,160.0,185.0,150.0,140.0,160.0,0.1361
172.5,160.0,185.0,172.5,160.0,185.0,1.0
172.5,160.0,185.0,202.5,185.0,220.0,0.1687
172.5,160.0,185.0,250.0,220.0,280.0,0.0167
172.5,160.0,185.0,330.0,280.0,380.0,-0.0184
172.5,160.0,185.0,490.0,380.0,600.0,-0.0078
172.5,160.0,185.0,1050.0,600.0,1500.0,0.0139
202.5,185.0,220.0,65.0,55.0,75.0,-0.0542
202.5,185.0,220.0,80.0,75.0,85.0,-0.0003
202.5,185.0,220.0,90.0,85.0,95.0,-0.0025
202.5,185.0,220.0,102.5,95.0,110.0,0.009
202.5,185.0,220.0,117.5,110.0,125.0,-0.0041
202.5,185.0,220.0,132.5,125.0,140.0,0.0456
202.5,185.0,220.0,150.0,140.0,160.0,-0.0272
202.5,185.0,220.0,172.5,160.0,185.0,0.1687
202.5,185.0,220.0,202.5,185.0,220.0,1.0
202.5,185.0,220.0,250.0,220.0,280.0,0.0936
202.5,185.0,220.0,330.0,280.0,380.0,0.0355
202.5,185.0,220.0,490.0,380.0,600.0,0.0255
202.5,185.0,220.0,1050.0,600.0,1500.0,0.0101
250.0,220.0,280.0,65.0,55.0,75.0,-0.0315
250.0,220.0,280.0,80.0,75.0,85.0,-0.0716
250.0,220.0,280.0,90.0,85.0,95.0,-0.0157
250.0,220.0,280.0,102.5,95.0,110.0,0.008
250.0,220.0,280.0,117.5,110.0,125.0,0.0332
250.0,220.0,280.0,132.5,125.0,140.0,-0.001
250.0,220.0,280.0,150.0,140.0,160.0,-0.0167
250.0,220.0,280.0,172.5,160.0,185.0,0.0167
250.0,220.0,280.0,202.5,185.0,220.0,0.0936
250.0,220.0,280.0,250.0,220.0,280.0,1.0
250.0,220.0,280.0,330.0,280.0,380.0,0.0812
250.0,220.0,280.0,490.0,380.0,600.0,0.0073
250.0,220.0,280.0,1050.0,600.0,1500.0,0.0289
330.0,280.0,380.0,65.0,55.0,75.0,-0.0115
330.0,280.0,380.0,80.0,75.0,85.0,-0.0226
330.0,280.0,380.0,90.0,85.0,95.0,-0.0163
330.0,280.0,380.0,102.5,95.0,110.0,0.0105
330.0,280.0,380.0,117.5,110.0,125.0,-0.0047
330.0,280.0,380.0,132.5,125.0,140.0,0.0118
330.0,280.0,380.0,150.0,140.0,160.0,0.0139
330.0,280.0,380.0,172.5,160.0,185.0,-0.0184
330.0,280.0,380.0,202.5,185.0,220.0,0.0355
330.0,280.0,380.0,250.0,220.0,280.0,0.0812
330.0,280.0,380.0,330.0,280.0,380.0,1.0
330.0,280.0,380.0,490.0,380.0,600.0,0.0541
330.0,280.0,380.0,1050.0,600.0,1500.0,-0.0171
490.0,380.0,600.0,65.0,55.0,75.0,0.0127
490.0,380.0,600.0,80.0,75.0,85.0,-0.0046
490.0,380.0,600.0,90.0,85.0,95.0,-0.0103
490.0,380.0,600.0,102.5,95.0,110.0,0.0047
490.0,380.0,600.0,117.5,110.0,125.0,0.0045
490.0,380.0,600.0,132.5,125.0,140.0,0.0019
490.0,380.0,600.0,150.0,140.0,160.0,0.0117
490.0,380.0,600.0,172.5,160.0,185.0,-0.0078
490.0,380.0,600.0,202.5,185.0,220.0,0.0255
490.0,380.0,600.0,250.0,220.0,280.0,0.0073
490.0,380.0,600.0,330.0,280.0,380.0,0.0541
490.0,380.0,600.0,490.0,380.0,600.0,1.0
490.0,380.0,600.0,1050.0,600.0,1500.0,0.0254
1050.0,600.0,1500.0,65.0,55.0,75.0,-0.0318
1050.0,600.0,1500.0,80.0,75.0,85.0,0.0177
1050.0,600.0,1500.0,90.0,85.0,95.0,-0.0236
1050.0,600.0,1500.0,102.5,95.0,110.0,-0.0225
1050.0,600.0,1500.0,117.5,110.0,125.0,-0.0039
1050.0,600.0,1500.0,132.5,125.0,140.0,0.0008
1050.0,600.0,1500.0,150.0,140.0,160.0,0.0225
1050.0,600.0,1500.0,172.5,160.0,185.0,0.0139
1050.0,600.0,1500.0,202.5,185.0,220.0,0.0101
1050.0,600.0,1500.0,250.0,220.0,280.0,0.0289
1050.0,600.0,1500.0,330.0,280.0,380.0,-0.0171
1050.0,600.0,1500.0,490.0,380.0,600.0,0.0254
1050.0,600.0,1500.0,1050.0,600.0,1500.0,1.0

