#: table_doi: 10.17182/hepdata.89225.v1/t5
#: name: Table 5
#: description: Statistical correlation between bins in data for the measured fiducial cross-section of $WW\rightarrow e\mu$ production for the observable $p_\text{T}^{\text{lead }\ell}$.

#: data_file: data5.yaml
#: keyword reactions: P P --> W+ W-
#: keyword observables: CORR
#: keyword phrases: Correlation | Proton-Proton Scattering | W pair Production
#: keyword cmenergies: 13000.0
#: PT(JET) [GEV],,,,,> 35
#: M(ELECTRON,MUON) [GEV],,,,,> 55
#: Statistical correlation for cross section,,,,,WW production
#: ABS(ETARAP(JET)),,,,,< 4.5
#: ETMISS [GEV],,,,,> 20
#: N(JET),,,,,= 0
#: PT(ELECTRON,MUON) [GEV],,,,,> 30
#: RE,,,,,P P --> W+ W-
#: SQRT(S) [GEV],,,,,13000.0
#: ABS(ETARAP(LEPTON)),,,,,< 2.5
#: PT(LEPTON) [GEV],,,,,> 27
"$p_{T}^{lead\,l}\text{ [GeV]}$","$p_{T}^{lead\,l}\text{ [GeV]}$ LOW","$p_{T}^{lead\,l}\text{ [GeV]}$ HIGH","$p_{T}^{lead\,l}\text{ [GeV]}$","$p_{T}^{lead\,l}\text{ [GeV]}$ LOW","$p_{T}^{lead\,l}\text{ [GeV]}$ HIGH","$\rho(p_{T}^{lead\,l})$"
162.5,150.0,175.0,140.0,130.0,150.0,0.171
162.5,150.0,175.0,162.5,150.0,175.0,1.0
162.5,150.0,175.0,197.5,175.0,220.0,0.2344
162.5,150.0,175.0,260.0,220.0,300.0,-0.0004
162.5,150.0,175.0,649.5,300.0,999.0,0.0223
197.5,175.0,220.0,33.5,27.0,40.0,-0.0245
197.5,175.0,220.0,45.0,40.0,50.0,-0.0057
197.5,175.0,220.0,55.0,50.0,60.0,0.0266
197.5,175.0,220.0,65.0,60.0,70.0,-0.021
197.5,175.0,220.0,75.0,70.0,80.0,-0.0269
197.5,175.0,220.0,85.0,80.0,90.0,-0.0424
197.5,175.0,220.0,95.0,90.0,100.0,-0.029
197.5,175.0,220.0,105.0,100.0,110.0,-0.0175
197.5,175.0,220.0,120.0,110.0,130.0,-0.0198
197.5,175.0,220.0,140.0,130.0,150.0,0.0002
197.5,175.0,220.0,162.5,150.0,175.0,0.2344
197.5,175.0,220.0,197.5,175.0,220.0,1.0
197.5,175.0,220.0,260.0,220.0,300.0,0.1068
197.5,175.0,220.0,649.5,300.0,999.0,0.0221
260.0,220.0,300.0,33.5,27.0,40.0,0.0081
260.0,220.0,300.0,45.0,40.0,50.0,0.0055
260.0,220.0,300.0,55.0,50.0,60.0,-0.0203
